,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
L0_354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009759055883025562,0.016008503965481168,0.021921623992770336,0.029769396421458774,0.03936034910247528,0.041282220579797434,0.04748762259795007,0.053171059691457086,0.05100499261639945,0.04956334819081601,0.049737394409218386,0.048084355272484766,0.04571279992781523,0.048461221386291276,0.04274571649351111,0.04158693961158997,0.03815583178633557,0.0354269090986832,0.03213294545084668,0.030105274446886956,0.02894501747599449,0.028307134113997587,0.024200696636016497,0.019868003526703364,0.019879827938810296,0.017024057690542972
L0_378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008185941573045866,0.010459587474914146,0.018292339546387645,0.02877903587765706,0.037335206040745354,0.041886203880396225,0.05459771808005798,0.060370776508078275,0.06183521576760389,0.05437226855243213,0.05023129580522365,0.04499134909830536,0.043806566976067614,0.047525418310275666,0.04556470720461476,0.039296226180831444,0.03317882673884753,0.03285087762395202,0.03531837963214389,0.030304961696151704,0.0264204358180089,0.03000691998205028,0.022727308628212504,0.020089894144382073,0.017188529792220693,0.017485086358190318
L0_402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004974508060465531,0.012185737675971071,0.02024172096180841,0.03024475999978314,0.036671684728601786,0.038970149690029,0.056624641476596016,0.07441555436178318,0.08006908439240318,0.08121761517564888,0.07958278727918262,0.070362126639952,0.06103516078132968,0.056612345286338926,0.049158196210788194,0.04174073477599017,0.03680605888510782,0.02990104609868466,0.024567860561927286,0.019885050189707064,0.01712476289699671,0.01667306676369015,0.01446630065538315,0.010896108070585343,0.008156488273440116,0.007143188584673652
L0_426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007334764256764959,0.01829246405144542,0.042353923715369855,0.05215322404875365,0.05070197895002288,0.057156519385183305,0.08348040323432211,0.11736294228813843,0.1158242265637227,0.10722553188150134,0.09680200943083002,0.07492132489835118,0.052105182656215825,0.03258726367260343,0.03414921529219251,0.024625155442403467,0.015932800945225676,0.006847289186792702,0.006621547347454268,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L0_450,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02378432014873737,0.06688629881355965,0.10762510974177304,0.0932998772335252,0.07469245688544972,0.08452841334758368,0.10258990316882878,0.10369098202139523,0.08787483681092234,0.07923528332405871,0.06533499465138946,0.042191274559228525,0.024793847954813236,0.019147939813559292,0.01102693515195759,0.005403508582068023,0.003135199119180197,0.000911041320147781,0.003847777351822165,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L0_orig,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010794166963952813,0.02215216545979034,0.029976662596463935,0.04207338311560749,0.04998633899919417,0.04941579754640227,0.05677224172955645,0.05974316757439725,0.051585070182560255,0.055565922828272114,0.055102084953860674,0.05026856922198281,0.048678232905272956,0.04838886292847788,0.04612899866832276,0.03798703585366378,0.03956839363561423,0.03467178292932596,0.029900212933887896,0.026425560703025607,0.02536643565807072,0.021277122095286323,0.020060092658080557,0.018223102725522817,0.013153319955298443,0.013977014100398822
L2_354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004893920020808962,0.010405124097901676,0.021968739704677907,0.036846925820417015,0.041652109449205194,0.045531680635281305,0.05697154497172225,0.07059893769405215,0.06742391128234164,0.06542403448966602,0.061470058329520495,0.05868855034884084,0.05421632958902863,0.04936323104141778,0.043461972294025465,0.03911378472546641,0.03664186833213202,0.03154130215549556,0.029168181963445658,0.02529523498045438,0.02261317713746257,0.02097296048651523,0.018328892519539796,0.017129332903588253,0.01332053813287036,0.0119899911512269
L2_378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0038252420174019236,0.008125153863402563,0.016344190740684626,0.02734585864507936,0.03244929142093649,0.0361950641789138,0.05280808694479682,0.06987681051315756,0.07517223017130048,0.07595126963071794,0.06948016469238426,0.06530396721387972,0.05707288321130091,0.051991388872178086,0.046163353062799506,0.04099161395468915,0.03659747577833717,0.031293826017491394,0.0346441579243169,0.020970339657341203,0.020061845958723314,0.017221559913791123,0.015324473975440974,0.015824743821693434,0.014156915367933036,0.012530711663228047
L2_402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009223014375535308,0.01660862721716749,0.030597095137501175,0.05177217503697493,0.05356915006690699,0.05299720494042582,0.07509955947060615,0.09192327685142372,0.0915782337625998,0.07664331977766681,0.06737628991336979,0.061057095398158796,0.05168540118461583,0.04499388641573411,0.03777584870868011,0.030840690176534583,0.024792870215020746,0.019789704556749017,0.022004361698658787,0.013020950777154436,0.011348093370519261,0.010281099457860876,0.00941001657112877,0.007688916773707031,0.007023452640523084,0.006793779524817597
L2_426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011139899471720182,0.022887901940412243,0.05555139719755218,0.07731424241125397,0.06422422229437227,0.06224193169914691,0.09872254178733304,0.1224545833612149,0.1075119600243738,0.08904423444206568,0.07632574551225116,0.06370914563512274,0.04467908175621192,0.03266187452789181,0.024246180711822007,0.01632184374047181,0.010458953345755244,0.007312332167572119,0.0074649577977197595,0.0026269543423369855,0.0016827315668580174,0.0008711476396885765,0.0002934377175194212,0.0002526989093332712,0.0,0.0
