,lda1,lda2
L0_330,-1.913568308708075,2.667267312923075
L0_354,-1.9631059204528172,2.89689585798966
L0_378,-1.9566352761057966,2.783382718051274
L0_402,-1.9978511455754573,2.4855388193961327
L0_426,-2.124633201487873,1.7964373876046036
L0_450,0.3741833195201524,-0.6377830836023609
L2_330,-1.059974822751435,-1.74170127990754
L2_354,-1.0321204552956336,-1.119577147651241
L2_378,-0.8874882598196725,-0.9711778705953471
L2_402,-1.2291351039740308,-0.5964078565228229
L2_426,0.7470886744470123,0.7684022996595353
L2_450,-1.5192515098856645,-0.5848599940644329
L5_330,-0.9158246787462243,-2.1677564264876827
L5_354,-1.0708112676927806,-2.2335432090620237
L5_378,-0.3391364126049773,-1.67738942420336
L5_402,-0.6282497328101193,-2.0192421171614603
L5_426,-1.766999490883584,-2.782544727896207
L5_450,0.21016721376985026,0.6403652393465206
L8_330,3.1873529274499948,0.4004965010588997
L8_354,3.9027705522200216,0.5157386087253798
L8_378,3.41861350823665,0.12293027453935457
L8_402,3.776338484715132,0.3818385937758158
L8_426,4.350245760546677,0.5908829171418548
L8_450,0.43802514588865216,0.48180660694238503
