m/z,I,S/N,em,dbe,error,C,H,Class
208.11316,11928419,99.2,208.113173,9,1.30E-05,15,14,N1
216.08189,3212210,24.7,216.0818729,12,1.71E-05,16,10,N1
220.11315,1339057,8.8,220.113173,10,2.30E-05,16,14,N1
222.12883,19928650,164.6,222.1288231,9,6.90E-06,16,16,N1
230.09756,15996668,130.8,230.097523,12,3.70E-05,17,12,N1
234.1288,3000585,22.3,234.1288231,10,2.31E-05,17,16,N1
236.14449,14129360,114.5,236.1444732,9,1.68E-05,17,18,N1
244.11317,31050124,252,244.113173,12,3.03E-06,18,14,N1
248.14446,4352185,33,248.1444732,10,1.32E-05,18,18,N1
250.16016,11092149,87.7,250.1601232,9,3.68E-05,18,20,N1
256.11317,1998343,13.7,256.113173,13,3.03E-06,19,14,N1
258.12884,36408740,291.5,258.1288231,12,1.69E-05,19,16,N1
262.16013,7262854,55.9,262.1601232,10,6.77E-06,19,20,N1
264.17581,9568971,74.5,264.1757733,9,3.67E-05,19,22,N1
266.09753,2005467,13.5,266.097523,15,7.03E-06,20,12,N1
268.11318,1063276,6,268.113173,14,6.97E-06,20,14,N1
270.12887,4422372,32.8,270.1288231,13,4.69E-05,20,16,N1
272.14451,26879172,212,272.1444732,12,3.68E-05,20,18,N1
274.16014,1720589,11.2,274.1601232,11,1.68E-05,20,20,N1
276.1758,8588353,65.7,276.1757733,10,2.67E-05,20,22,N1
278.19143,9929185,76.1,278.1914234,9,6.64E-06,20,24,N1
280.11319,8411996,64,280.113173,15,1.70E-05,21,14,N1
282.12877,2210265,14.9,282.1288231,14,5.31E-05,21,16,N1
284.14451,8077893,61.1,284.1444732,13,3.68E-05,21,18,N1
286.16016,21702560,168.5,286.1601232,12,3.68E-05,21,20,N1
288.17579,3039215,21.3,288.1757733,11,1.67E-05,21,22,N1
290.19146,8135216,61.3,290.1914234,10,3.66E-05,21,24,N1
292.2071,9961318,75.2,292.2070734,9,2.66E-05,21,26,N1
294.12888,13732995,104.7,294.1288231,15,5.69E-05,22,16,N1
296.14455,2480038,16.8,296.1444732,14,7.68E-05,22,18,N1
296.2385,1199411,6.8,296.2383735,7,0.00012645,21,30,N1
298.16014,10175168,76.5,298.1601232,13,1.68E-05,22,20,N1
300.17581,16586707,126.3,300.1757733,12,3.67E-05,22,22,N1
302.19143,4266209,30.5,302.1914234,11,6.64E-06,22,24,N1
304.20707,8241131,61.2,304.2070734,10,3.42E-06,22,26,N1
306.12881,1797477,11.3,306.1288231,16,1.31E-05,23,16,N1
306.22278,10538737,78.6,306.2227235,9,5.65E-05,22,28,N1
308.1445,13393897,100.5,308.1444732,15,2.68E-05,23,18,N1
310.16017,3421420,23.8,310.1601232,14,4.68E-05,23,20,N1
312.17581,8696304,64,312.1757733,13,3.67E-05,23,22,N1
314.19146,10644213,78.9,314.1914234,12,3.66E-05,23,24,N1
316.20716,4093438,28.8,316.2070734,11,8.66E-05,23,26,N1
318.12891,1675901,10.3,318.1288231,17,8.69E-05,24,16,N1
318.22283,6588682,47.7,318.2227235,10,0.000106515,23,28,N1
320.14443,3140366,21.4,320.1444732,16,4.32E-05,24,18,N1
320.23837,8370203,61.2,320.2383735,9,3.55E-06,23,30,N1
322.16017,9930534,73.1,322.1601232,15,4.68E-05,24,20,N1
324.17588,4100165,28.5,324.1757733,14,0.000106708,24,22,N1
326.19149,9600365,70.1,326.1914234,13,6.66E-05,24,24,N1
328.20709,10547871,77.3,328.2070734,12,1.66E-05,24,26,N1
330.12876,1601485,9.6,330.1288231,18,6.31E-05,25,16,N1
330.22279,4365277,30.3,330.2227235,11,6.65E-05,24,28,N1
332.14451,2331925,15,332.1444732,17,3.68E-05,25,18,N1
332.23843,7070501,50.6,332.2383735,10,5.65E-05,24,30,N1
334.16022,4739175,33.1,334.1601232,16,9.68E-05,25,20,N1
334.25408,10973815,79.9,334.2540236,9,5.64E-05,24,32,N1
336.17589,7195588,51.1,336.1757733,15,0.000116708,25,22,N1
338.19144,5427498,38,338.1914234,14,1.66E-05,25,24,N1
340.20708,8112793,58,340.2070734,13,6.58E-06,25,26,N1
342.22275,10227729,73.1,342.2227235,12,2.65E-05,25,28,N1
344.14453,2650496,17.2,344.1444732,18,5.68E-05,26,18,N1
344.23837,4437906,30.4,344.2383735,11,3.55E-06,25,30,N1
346.16022,2807816,18.3,346.1601232,17,9.68E-05,26,20,N1
346.25404,6318875,44.2,346.2540236,10,1.64E-05,25,32,N1
348.17586,5111961,35.3,348.1757733,16,8.67E-05,26,22,N1
348.26964,10499243,74.5,348.2696737,9,3.37E-05,25,34,N1
350.19142,5039153,34.5,350.1914234,15,3.36E-06,26,24,N1
352.20706,4981199,34.1,352.2070734,14,1.34E-05,26,26,N1
354.22265,6223732,43.2,354.2227235,13,7.35E-05,26,28,N1
356.23837,9148191,64.1,356.2383735,12,3.55E-06,26,30,N1
358.16012,2378940,14.9,358.1601232,18,3.23E-06,27,20,N1
358.2541,3285456,21.5,358.2540236,11,7.64E-05,26,32,N1
360.17585,3001969,19.4,360.1757733,17,7.67E-05,27,22,N1
360.26964,5580422,38.1,360.2696737,10,3.37E-05,26,34,N1
362.19136,4807724,32.5,362.1914234,16,6.34E-05,27,24,N1
362.28537,10722369,75.5,362.2853237,9,4.63E-05,26,36,N1
364.20703,4426732,29.5,364.2070734,15,4.34E-05,27,26,N1
366.2228,4428207,29.5,366.2227235,14,7.65E-05,27,28,N1
368.23838,5905270,40.1,368.2383735,13,6.45E-06,27,30,N1
370.1601,1717290,9.9,370.1601232,19,2.32E-05,28,20,N1
370.2541,9350976,64.4,370.2540236,12,7.64E-05,27,32,N1
372.17578,2825975,17.8,372.1757733,18,6.71E-06,28,22,N1
372.26977,3485453,22.5,372.2696737,11,9.63E-05,27,34,N1
374.28541,6099677,41.2,374.2853237,10,8.63E-05,27,36,N1
376.20702,4228248,27.8,376.2070734,16,5.34E-05,28,26,N1
376.30105,9908398,68.3,376.3009738,9,7.62E-05,27,38,N1
378.22275,5151851,34.1,378.2227235,15,2.65E-05,28,28,N1
380.23847,4827712,31.8,380.2383735,14,9.65E-05,28,30,N1
382.25403,5879317,39.2,382.2540236,13,6.39E-06,28,32,N1
384.17502,1198036,6.1,384.1757733,19,0.000753292,29,22,N1
384.26973,8967146,61,384.2696737,12,5.63E-05,28,34,N1
386.19137,2074538,12.3,386.1914234,18,5.34E-05,29,24,N1
386.28547,3963328,25.6,386.2853237,11,0.000146257,28,36,N1
388.20726,2093695,12.3,388.2070734,17,0.000186579,29,26,N1
388.30101,5039509,32.9,388.3009738,10,3.62E-05,28,38,N1
390.22269,3114836,19.5,390.2227235,16,3.35E-05,29,28,N1
390.31672,10873193,73.8,390.3166239,9,9.61E-05,28,40,N1
392.23831,4247847,27.4,392.2383735,15,6.35E-05,29,30,N1
394.25402,3742456,23.8,394.2540236,14,3.61E-06,29,32,N1
396.26972,5331144,34.7,396.2696737,13,4.63E-05,29,34,N1
398.1915,1501824,8.1,398.1914234,19,7.66E-05,30,24,N1
398.28541,8832149,59,398.2853237,12,8.63E-05,29,36,N1
400.20694,1575882,8.6,400.2070734,18,0.000133421,30,26,N1
400.30097,2826464,17.3,400.3009738,11,3.81E-06,29,38,N1
402.2228,1815954,10.3,402.2227235,17,7.65E-05,30,28,N1
402.31662,4597800,29.6,402.3166239,10,3.87E-06,29,40,N1
404.23845,3130328,19.2,404.2383735,16,7.65E-05,30,30,N1
404.33231,11502060,77,404.3322739,9,3.61E-05,29,42,N1
406.25411,3391130,21,406.2540236,15,8.64E-05,30,32,N1
408.26981,3669850,22.9,408.2696737,14,0.000136321,30,34,N1
410.28543,3836184,24.1,410.2853237,13,0.000106257,30,36,N1
410.37937,1415213,7.4,410.3792241,6,0.000145871,29,48,N1
412.20721,1246655,6.2,412.2070734,19,0.000136579,31,26,N1
412.30094,7520468,49.5,412.3009738,12,3.38E-05,30,38,N1
414.22283,1762424,9.7,414.2227235,18,0.000106515,31,28,N1
414.31673,2399117,14.1,414.3166239,11,0.000106128,30,40,N1
416.23823,2038319,11.6,416.2383735,17,0.00014355,31,30,N1
416.33218,4335172,27.3,416.3322739,10,9.39E-05,30,42,N1
418.25416,2497252,14.7,418.2540236,16,0.000136386,31,32,N1
418.34797,8802808,57.8,418.347924,9,4.60E-05,30,44,N1
420.26985,3616151,22.4,420.2696737,15,0.000176321,31,34,N1
422.28541,3340103,20.5,422.2853237,14,8.63E-05,31,36,N1
424.30093,4630774,29,424.3009738,13,4.38E-05,31,38,N1
426.22244,1608335,8.6,426.2227235,19,0.000283485,32,28,N1
