m/z,I,S/N,em,dbe,error,C,H,Class
256.1555,1129718,6.6,256.1554318,3,6.82E-05,13,22,O4N1
258.07727,1267955,7.7,258.0771815,9,8.85E-05,14,12,O4N1
270.17125,1317867,8,270.1710818,3,0.000168163,14,24,O4N1
272.09292,1356358,8.3,272.0928315,9,8.85E-05,15,14,O4N1
284.18676,1373027,8.3,284.1867319,3,2.81E-05,15,26,O4N1
290.13991,1503463,9.3,290.1397817,7,0.000128292,16,20,O4N1
294.17111,1208052,6.9,294.1710818,5,2.82E-05,16,24,O4N1
296.18692,1198092,6.8,296.1867319,4,0.000188099,16,26,O4N1
298.20246,2345309,15.7,298.202382,3,7.80E-05,16,28,O4N1
306.17112,1183925,6.6,306.1710818,6,3.82E-05,17,24,O4N1
310.20257,2350089,15.5,310.202382,4,0.000188035,17,28,O4N1
312.125,1188431,6.6,312.1241316,10,0.000868357,18,18,O4N1
312.21816,3465689,24,312.218032,3,0.00012797,17,30,O4N1
316.15561,1138308,6.2,316.1554318,8,0.000178228,18,22,O4N1
324.21823,2603124,17.1,324.218032,4,0.00019797,18,30,O4N1
326.13989,1244808,6.9,326.1397817,10,0.000108292,19,20,O4N1
326.23373,6754454,48.4,326.2336821,3,4.79E-05,18,32,O4N1
328.15542,1258427,7,328.1554318,9,1.18E-05,19,22,O4N1
330.17126,1709058,10.3,330.1710818,8,0.000178163,19,24,O4N1
332.18707,1224733,6.7,332.1867319,7,0.000338099,19,26,O4N1
334.20258,1385803,7.9,334.202382,6,0.000198034,19,28,O4N1
336.21787,1342154,7.5,336.218032,5,0.00016203,19,30,O4N1
338.23382,3302875,22,338.2336821,4,0.000137906,19,32,O4N1
340.24947,9391228,66.9,340.2493322,3,0.000137841,19,34,O4N1
342.17116,1651993,9.7,342.1710818,9,7.82E-05,20,24,O4N1
344.18688,1284823,7,344.1867319,8,0.000148099,20,26,O4N1
346.20243,1173668,6.2,346.202382,7,4.80E-05,20,28,O4N1
348.21809,2101374,13,348.218032,6,5.80E-05,20,30,O4N1
350.23379,2351461,14.6,350.2336821,5,0.000107906,20,32,O4N1
352.15558,1354559,7.4,352.1554318,11,0.000148228,21,22,O4N1
352.24938,5072727,34.4,352.2493322,4,4.78E-05,20,34,O4N1
354.17142,1290172,7,354.1710818,10,0.000338163,21,24,O4N1
354.26508,13106515,92.5,354.2649822,3,9.78E-05,20,36,O4N1
358.20248,1798993,10.5,358.202382,8,9.80E-05,21,28,O4N1
362.23356,1550729,8.7,362.2336821,6,0.000122094,21,32,O4N1
364.24943,2357552,14.4,364.2493322,5,9.78E-05,21,34,O4N1
366.26497,6035420,40.4,366.2649822,4,1.22E-05,21,36,O4N1
368.28072,15900685,110.4,368.2806323,3,8.77E-05,21,38,O4N1
372.21826,2300515,13.8,372.218032,8,0.00022797,22,30,O4N1
374.23378,1823007,10.4,374.2336821,7,9.79E-05,22,32,O4N1
376.24933,2622174,16,376.2493322,6,2.16E-06,22,34,O4N1
378.26502,3262237,20.3,378.2649822,5,3.78E-05,22,36,O4N1
380.28074,6460765,42.5,380.2806323,4,0.000107712,22,38,O4N1
382.20208,1214594,6.1,382.202382,10,0.000301965,23,28,O4N1
382.29628,17878940,121.7,382.2962824,3,2.35E-06,22,40,O4N1
384.21802,2078145,12.1,384.218032,9,1.20E-05,23,30,O4N1
386.23359,2380541,14.2,386.2336821,8,9.21E-05,23,32,O4N1
388.24956,1637943,8.9,388.2493322,7,0.000227841,23,34,O4N1
390.26486,2124654,12.2,390.2649822,6,0.000122223,23,36,O4N1
392.28073,3373472,20.8,392.2806323,5,9.77E-05,23,38,O4N1
394.20229,1219507,6,394.202382,11,9.20E-05,24,28,O4N1
394.29644,8390861,55.2,394.2962824,4,0.000157648,23,40,O4N1
