m/z,I,S/N,em,dbe,error,C,H,Class
712.67626,2056964.75,6.2,712.6765754,9,0.000315353,51,86,N1
698.66171,2198663.15,6.8,698.6609253,9,0.000784711,50,84,N1
684.64524,2620973.05,8.6,684.6452752,9,3.52E-05,49,82,N1
670.6296,3419840.1,11.8,670.6296252,9,2.52E-05,48,80,N1
656.61384,3237002.75,11.2,656.6139751,9,0.000135096,47,78,N1
642.59859,3895892.95,13.9,642.598325,9,0.000264969,46,76,N1
628.58249,4994853.65,18.1,628.582675,9,0.000184967,45,74,N1
614.56713,4992313.3,17.9,614.5670249,9,0.000105098,44,72,N1
600.55106,5098163.9,18.3,600.5513748,9,0.000314838,43,70,N1
586.53542,4953745.75,17.7,586.5357248,9,0.000304774,42,68,N1
572.51985,6852960.4,26.6,572.5200747,9,0.000224709,41,66,N1
558.50433,6731261.65,26.1,558.5044246,9,9.46E-05,40,64,N1
544.48869,8365147.15,34.7,544.4887746,9,8.46E-05,39,62,N1
530.47296,8542067.75,37.5,530.4731245,9,0.000164516,38,60,N1
516.45744,9325212,42.8,516.4574745,9,3.45E-05,37,58,N1
502.44181,11363561.7,53.7,502.4418244,9,1.44E-05,36,56,N1
488.42625,12538744.4,60.6,488.4261743,9,7.57E-05,35,54,N1
474.41052,11629717.7,57.1,474.4105243,9,4.26E-06,34,52,N1
460.39488,14013525.1,70.4,460.3948742,9,5.81E-06,33,50,N1
446.37923,15356583.65,78.6,446.3792241,9,5.87E-06,32,48,N1
432.36364,17330941.6,91.6,432.3635741,9,6.59E-05,31,46,N1
418.34802,18254836.65,97.9,418.347924,9,9.60E-05,30,44,N1
404.33229,21510186.5,117.3,404.3322739,9,1.61E-05,29,42,N1
390.31678,20629477.4,115.2,390.3166239,9,0.000156128,28,40,N1
376.30112,21279393,122.1,376.3009738,9,0.000146193,27,38,N1
362.28544,20650441.9,121.5,362.2853237,9,0.000116257,26,36,N1
348.26973,20935584.4,124.7,348.2696737,9,5.63E-05,25,34,N1
334.25413,21039919.3,129.6,334.2540236,9,0.000106386,24,32,N1
320.23835,21750322.6,136.8,320.2383735,9,2.35E-05,23,30,N1
306.22278,26222571.4,167.8,306.2227235,9,5.65E-05,22,28,N1
292.20707,22816713,148.7,292.2070734,9,3.42E-06,21,26,N1
278.19146,22107036.5,146.7,278.1914234,9,3.66E-05,20,24,N1
264.1758,24753612,168.4,264.1757733,9,2.67E-05,19,22,N1
250.16015,22688200.5,156.5,250.1601232,9,2.68E-05,18,20,N1
236.14449,20387213.8,143.2,236.1444732,9,1.68E-05,17,18,N1
222.12886,14423689.85,102.1,222.1288231,9,3.69E-05,16,16,N1
208.11314,6744207.2,47.4,208.113173,9,3.30E-05,15,14,N1
710.66135,2723700,10.5,710.6609253,10,0.000424711,51,84,N1
696.64572,2544059,9.7,696.6452752,10,0.000444776,50,82,N1
682.62985,2851407,11.2,682.6296252,10,0.00022484,49,80,N1
668.61463,3390479,13.8,668.6139751,10,0.000654904,48,78,N1
654.59851,3492657,14.4,654.598325,10,0.000184969,47,76,N1
640.58286,3948903,16.5,640.582675,10,0.000185033,46,74,N1
626.56715,5018209,21.2,626.5670249,10,0.000125098,45,72,N1
612.55101,4992459,20.8,612.5513748,10,0.000364838,44,70,N1
598.5358,5724502,24.2,598.5357248,10,7.52E-05,43,68,N1
584.5198,4868289,20.2,584.5200747,10,0.000274709,42,66,N1
570.50434,6269909,28.1,570.5044246,10,8.46E-05,41,64,N1
556.48876,6652508,31.6,556.4887746,10,1.46E-05,40,62,N1
542.47321,8261663,39.7,542.4731245,10,8.55E-05,39,60,N1
528.45734,9506031,48.5,528.4574745,10,0.000134452,38,58,N1
514.44174,9796861,52.2,514.4418244,10,8.44E-05,37,56,N1
500.42614,10327222,56.2,500.4261743,10,3.43E-05,36,54,N1
486.41054,9388171,51.9,486.4105243,10,1.57E-05,35,52,N1
472.39492,11169004,63.2,472.3948742,10,4.58E-05,34,50,N1
458.37924,11109949,64,458.3792241,10,1.59E-05,33,48,N1
444.36362,11835479,70.4,444.3635741,10,4.59E-05,32,46,N1
430.34802,11565754,69.8,430.347924,10,9.60E-05,31,44,N1
416.33229,14036197,86.3,416.3322739,10,1.61E-05,30,42,N1
402.31666,15130198,95.7,402.3166239,10,3.61E-05,29,40,N1
388.30089,16322208,104.7,388.3009738,10,8.38E-05,28,38,N1
374.28546,16719403,110.1,374.2853237,10,0.000136257,27,36,N1
