C,H,O,N,em,DBE
10,4,4,1,{202.0145811927: 'C10'},9.0
10,6,4,1,{204.0302312571: 'C10'},8.0
10,8,4,1,{206.0458813215: 'C10'},7.0
10,10,4,1,{208.0615313859: 'C10'},6.0
10,12,4,1,{210.0771814503: 'C10'},5.0
10,14,4,1,{212.0928315147: 'C10'},4.0
10,16,4,1,{214.10848157910002: 'C10'},3.0
10,17,4,0,{201.1132326073: 'C10'},2.0
10,18,3,1,{200.1292170235: 'C10'},2.0
10,18,4,1,{216.12413164350002: 'C10'},2.0
10,19,4,0,{203.1288826717: 'C10'},1.0
10,20,3,1,{202.1448670879: 'C10'},1.0
10,20,4,1,{218.13978170790003: 'C10'},1.0
10,21,4,0,{205.14453273610002: 'C10'},0.0
10,22,3,1,{204.1605171523: 'C10'},0.0
10,22,4,1,{220.15543177230003: 'C10'},0.0
11,4,4,1,{214.01458119270004: 'C11'},10.0
11,5,4,0,{201.01933222089997: 'C11'},9.0
11,6,3,1,{200.0353166371: 'C11'},9.0
11,6,4,1,{216.03023125709998: 'C11'},9.0
11,7,4,0,{203.03498228529998: 'C11'},8.0
11,8,3,1,{202.05096670150002: 'C11'},8.0
11,8,4,1,{218.0458813215: 'C11'},8.0
11,9,4,0,{205.05063234969998: 'C11'},7.0
11,10,3,1,{204.06661676590002: 'C11'},7.0
11,10,4,1,{220.0615313859: 'C11'},7.0
11,11,4,0,{207.0662824141: 'C11'},6.0
11,12,3,1,{206.08226683030003: 'C11'},6.0
11,12,4,1,{222.0771814503: 'C11'},6.0
11,13,4,0,{209.0819324785: 'C11'},5.0
11,14,3,1,{208.09791689469998: 'C11'},5.0
11,14,4,1,{224.0928315147: 'C11'},5.0
11,15,4,0,{211.0975825429: 'C11'},4.0
11,16,3,1,{210.11356695909998: 'C11'},4.0
11,16,4,1,{226.10848157910002: 'C11'},4.0
11,17,4,0,{213.1132326073: 'C11'},3.0
11,18,3,1,{212.1292170235: 'C11'},3.0
11,18,4,1,{228.12413164350002: 'C11'},3.0
11,19,4,0,{215.1288826717: 'C11'},2.0
11,20,3,1,{214.1448670879: 'C11'},2.0
11,20,4,1,{230.13978170790003: 'C11'},2.0
11,21,3,0,{201.1496181161: 'C11'},1.0
11,21,4,0,{217.14453273610002: 'C11'},1.0
11,22,2,1,{200.16560253230003: 'C11'},1.0
11,22,3,1,{216.1605171523: 'C11'},1.0
11,22,4,1,{232.15543177230003: 'C11'},1.0
11,23,3,0,{203.1652681805: 'C11'},0.0
11,23,4,0,{219.16018280050002: 'C11'},0.0
11,24,2,1,{202.1812525967: 'C11'},0.0
11,24,3,1,{218.1761672167: 'C11'},0.0
11,24,4,1,{234.17108183669998: 'C11'},0.0
12,4,3,1,{210.0196665727: 'C12'},11.0
12,4,4,1,{226.01458119270004: 'C12'},11.0
12,5,4,0,{213.01933222089997: 'C12'},10.0
12,6,3,1,{212.0353166371: 'C12'},10.0
12,6,4,1,{228.03023125709998: 'C12'},10.0
12,7,4,0,{215.03498228529998: 'C12'},9.0
12,8,3,1,{214.05096670150002: 'C12'},9.0
12,8,4,1,{230.0458813215: 'C12'},9.0
12,9,3,0,{201.0557177297: 'C12'},8.0
12,9,4,0,{217.05063234969998: 'C12'},8.0
12,10,2,1,{200.07170214590002: 'C12'},8.0
12,10,3,1,{216.06661676590002: 'C12'},8.0
12,10,4,1,{232.0615313859: 'C12'},8.0
12,11,3,0,{203.0713677941: 'C12'},7.0
12,11,4,0,{219.0662824141: 'C12'},7.0
12,12,2,1,{202.08735221030003: 'C12'},7.0
12,12,3,1,{218.08226683030003: 'C12'},7.0
12,12,4,1,{234.0771814503: 'C12'},7.0
12,13,3,0,{205.08701785850002: 'C12'},6.0
12,13,4,0,{221.0819324785: 'C12'},6.0
12,14,2,1,{204.1030022747: 'C12'},6.0
12,14,3,1,{220.09791689469998: 'C12'},6.0
12,14,4,1,{236.0928315147: 'C12'},6.0
12,15,3,0,{207.10266792289997: 'C12'},5.0
12,15,4,0,{223.0975825429: 'C12'},5.0
12,16,2,1,{206.1186523391: 'C12'},5.0
12,16,3,1,{222.11356695909998: 'C12'},5.0
12,16,4,1,{238.10848157910002: 'C12'},5.0
12,17,3,0,{209.11831798729997: 'C12'},4.0
12,17,4,0,{225.1132326073: 'C12'},4.0
12,18,2,1,{208.13430240350002: 'C12'},4.0
12,18,3,1,{224.1292170235: 'C12'},4.0
12,18,4,1,{240.12413164350002: 'C12'},4.0
12,19,3,0,{211.13396805169998: 'C12'},3.0
12,19,4,0,{227.1288826717: 'C12'},3.0
12,20,2,1,{210.14995246790002: 'C12'},3.0
12,20,3,1,{226.1448670879: 'C12'},3.0
12,20,4,1,{242.13978170790003: 'C12'},3.0
12,21,3,0,{213.1496181161: 'C12'},2.0
12,21,4,0,{229.14453273610002: 'C12'},2.0
12,22,2,1,{212.16560253230003: 'C12'},2.0
12,22,3,1,{228.1605171523: 'C12'},2.0
12,22,4,1,{244.15543177230003: 'C12'},2.0
12,23,3,0,{215.1652681805: 'C12'},1.0
12,23,4,0,{231.16018280050002: 'C12'},1.0
12,24,2,1,{214.1812525967: 'C12'},1.0
12,24,3,1,{230.1761672167: 'C12'},1.0
12,24,4,1,{246.17108183669998: 'C12'},1.0
12,25,2,0,{201.1860036249: 'C12'},0.0
12,25,3,0,{217.1809182449: 'C12'},0.0
12,25,4,0,{233.17583286489997: 'C12'},0.0
12,26,1,1,{200.2019880411: 'C12'},0.0
12,26,2,1,{216.1969026611: 'C12'},0.0
12,26,3,1,{232.19181728110001: 'C12'},0.0
12,26,4,1,{248.1867319011: 'C12'},0.0
13,4,2,1,{206.02475195270003: 'C13'},12.0
13,4,3,1,{222.0196665727: 'C13'},12.0
13,4,4,1,{238.01458119270004: 'C13'},12.0
13,5,3,0,{209.0244176009: 'C13'},11.0
13,5,4,0,{225.01933222089997: 'C13'},11.0
13,6,2,1,{208.0404020171: 'C13'},11.0
13,6,3,1,{224.0353166371: 'C13'},11.0
13,6,4,1,{240.03023125709998: 'C13'},11.0
13,7,3,0,{211.0400676653: 'C13'},10.0
13,7,4,0,{227.03498228529998: 'C13'},10.0
13,8,2,1,{210.0560520815: 'C13'},10.0
13,8,3,1,{226.05096670150002: 'C13'},10.0
13,8,4,1,{242.0458813215: 'C13'},10.0
13,9,3,0,{213.0557177297: 'C13'},9.0
13,9,4,0,{229.05063234969998: 'C13'},9.0
13,10,2,1,{212.07170214590002: 'C13'},9.0
13,10,3,1,{228.06661676590002: 'C13'},9.0
13,10,4,1,{244.0615313859: 'C13'},9.0
13,11,3,0,{215.0713677941: 'C13'},8.0
13,11,4,0,{231.0662824141: 'C13'},8.0
13,12,2,1,{214.08735221030003: 'C13'},8.0
13,12,3,1,{230.08226683030003: 'C13'},8.0
13,12,4,1,{246.0771814503: 'C13'},8.0
13,13,2,0,{201.09210323850002: 'C13'},7.0
13,13,3,0,{217.08701785850002: 'C13'},7.0
13,13,4,0,{233.0819324785: 'C13'},7.0
13,14,1,1,{200.1080876547: 'C13'},7.0
13,14,2,1,{216.1030022747: 'C13'},7.0
13,14,3,1,{232.09791689469998: 'C13'},7.0
13,14,4,1,{248.0928315147: 'C13'},7.0
13,15,2,0,{203.1077533029: 'C13'},6.0
13,15,3,0,{219.10266792289997: 'C13'},6.0
13,15,4,0,{235.0975825429: 'C13'},6.0
13,16,1,1,{202.1237377191: 'C13'},6.0
13,16,2,1,{218.1186523391: 'C13'},6.0
13,16,3,1,{234.11356695909998: 'C13'},6.0
13,16,4,1,{250.10848157910002: 'C13'},6.0
13,17,2,0,{205.1234033673: 'C13'},5.0
13,17,3,0,{221.11831798729997: 'C13'},5.0
13,17,4,0,{237.1132326073: 'C13'},5.0
13,18,1,1,{204.1393877835: 'C13'},5.0
13,18,2,1,{220.13430240350002: 'C13'},5.0
13,18,3,1,{236.1292170235: 'C13'},5.0
13,18,4,1,{252.12413164350002: 'C13'},5.0
13,19,2,0,{207.1390534317: 'C13'},4.0
13,19,3,0,{223.13396805169998: 'C13'},4.0
13,19,4,0,{239.1288826717: 'C13'},4.0
13,20,1,1,{206.15503784790002: 'C13'},4.0
13,20,2,1,{222.14995246790002: 'C13'},4.0
13,20,3,1,{238.1448670879: 'C13'},4.0
13,20,4,1,{254.13978170790003: 'C13'},4.0
13,21,2,0,{209.1547034961: 'C13'},3.0
13,21,3,0,{225.1496181161: 'C13'},3.0
13,21,4,0,{241.14453273610002: 'C13'},3.0
13,22,1,1,{208.17068791230002: 'C13'},3.0
13,22,2,1,{224.16560253230003: 'C13'},3.0
13,22,3,1,{240.1605171523: 'C13'},3.0
13,22,4,1,{256.1554317723: 'C13'},3.0
13,23,2,0,{211.17035356050002: 'C13'},2.0
13,23,3,0,{227.1652681805: 'C13'},2.0
13,23,4,0,{243.16018280050002: 'C13'},2.0
13,24,1,1,{210.1863379767: 'C13'},2.0
13,24,2,1,{226.1812525967: 'C13'},2.0
13,24,3,1,{242.1761672167: 'C13'},2.0
13,24,4,1,{258.17108183669995: 'C13'},2.0
13,25,2,0,{213.1860036249: 'C13'},1.0
13,25,3,0,{229.1809182449: 'C13'},1.0
13,25,4,0,{245.17583286489997: 'C13'},1.0
13,26,1,1,{212.2019880411: 'C13'},1.0
13,26,2,1,{228.1969026611: 'C13'},1.0
13,26,3,1,{244.19181728110001: 'C13'},1.0
13,26,4,1,{260.18673190109996: 'C13'},1.0
13,27,2,0,{215.2016536893: 'C13'},0.0
13,27,3,0,{231.1965683093: 'C13'},0.0
13,27,4,0,{247.19148292929998: 'C13'},0.0
13,28,1,1,{214.21763810550001: 'C13'},0.0
13,28,2,1,{230.21255272550002: 'C13'},0.0
13,28,3,1,{246.20746734550002: 'C13'},0.0
13,28,4,1,{262.20238196549997: 'C13'},0.0
14,5,2,0,{205.0295029809: 'C14'},12.0
14,5,3,0,{221.0244176009: 'C14'},12.0
14,5,4,0,{237.01933222089997: 'C14'},12.0
14,6,1,1,{204.0454873971: 'C14'},12.0
14,6,2,1,{220.0404020171: 'C14'},12.0
14,6,3,1,{236.0353166371: 'C14'},12.0
14,6,4,1,{252.03023125709998: 'C14'},12.0
14,7,2,0,{207.0451530453: 'C14'},11.0
14,7,3,0,{223.0400676653: 'C14'},11.0
14,7,4,0,{239.03498228529998: 'C14'},11.0
14,8,1,1,{206.0611374615: 'C14'},11.0
14,8,2,1,{222.0560520815: 'C14'},11.0
14,8,3,1,{238.05096670150002: 'C14'},11.0
14,8,4,1,{254.0458813215: 'C14'},11.0
14,9,2,0,{209.0608031097: 'C14'},10.0
14,9,3,0,{225.0557177297: 'C14'},10.0
14,9,4,0,{241.05063234969998: 'C14'},10.0
14,10,1,1,{208.07678752590002: 'C14'},10.0
14,10,2,1,{224.07170214590002: 'C14'},10.0
14,10,3,1,{240.06661676590002: 'C14'},10.0
14,10,4,1,{256.06153138589997: 'C14'},10.0
14,11,2,0,{211.0764531741: 'C14'},9.0
14,11,3,0,{227.0713677941: 'C14'},9.0
14,11,4,0,{243.0662824141: 'C14'},9.0
14,12,1,1,{210.09243759030002: 'C14'},9.0
14,12,2,1,{226.08735221030003: 'C14'},9.0
14,12,3,1,{242.08226683030003: 'C14'},9.0
14,12,4,1,{258.0771814503: 'C14'},9.0
14,13,2,0,{213.09210323850002: 'C14'},8.0
14,13,3,0,{229.08701785850002: 'C14'},8.0
14,13,4,0,{245.0819324785: 'C14'},8.0
14,14,1,1,{212.1080876547: 'C14'},8.0
14,14,2,1,{228.1030022747: 'C14'},8.0
14,14,3,1,{244.09791689469998: 'C14'},8.0
14,14,4,1,{260.0928315147: 'C14'},8.0
14,15,2,0,{215.1077533029: 'C14'},7.0
14,15,3,0,{231.10266792289997: 'C14'},7.0
14,15,4,0,{247.0975825429: 'C14'},7.0
14,16,1,1,{214.1237377191: 'C14'},7.0
14,16,2,1,{230.1186523391: 'C14'},7.0
14,16,3,1,{246.11356695909998: 'C14'},7.0
14,16,4,1,{262.1084815791: 'C14'},7.0
14,17,1,0,{201.1284887473: 'C14'},6.0
14,17,2,0,{217.1234033673: 'C14'},6.0
14,17,3,0,{233.11831798729997: 'C14'},6.0
14,17,4,0,{249.1132326073: 'C14'},6.0
14,18,0,1,{200.1444731635: 'C14'},6.0
14,18,1,1,{216.1393877835: 'C14'},6.0
14,18,2,1,{232.13430240350002: 'C14'},6.0
14,18,3,1,{248.1292170235: 'C14'},6.0
14,18,4,1,{264.1241316435: 'C14'},6.0
14,19,1,0,{203.1441388117: 'C14'},5.0
14,19,2,0,{219.1390534317: 'C14'},5.0
14,19,3,0,{235.13396805169998: 'C14'},5.0
14,19,4,0,{251.1288826717: 'C14'},5.0
14,20,0,1,{202.16012322790002: 'C14'},5.0
14,20,1,1,{218.15503784790002: 'C14'},5.0
14,20,2,1,{234.14995246790002: 'C14'},5.0
14,20,3,1,{250.1448670879: 'C14'},5.0
14,20,4,1,{266.1397817079: 'C14'},5.0
14,21,1,0,{205.1597888761: 'C14'},4.0
14,21,2,0,{221.1547034961: 'C14'},4.0
14,21,3,0,{237.1496181161: 'C14'},4.0
14,21,4,0,{253.14453273610002: 'C14'},4.0
14,22,0,1,{204.17577329230002: 'C14'},4.0
14,22,1,1,{220.17068791230002: 'C14'},4.0
14,22,2,1,{236.16560253230003: 'C14'},4.0
14,22,3,1,{252.1605171523: 'C14'},4.0
14,22,4,1,{268.1554317723: 'C14'},4.0
14,23,1,0,{207.17543894050002: 'C14'},3.0
14,23,2,0,{223.17035356050002: 'C14'},3.0
14,23,3,0,{239.1652681805: 'C14'},3.0
14,23,4,0,{255.16018280050002: 'C14'},3.0
14,24,0,1,{206.1914233567: 'C14'},3.0
14,24,1,1,{222.1863379767: 'C14'},3.0
14,24,2,1,{238.1812525967: 'C14'},3.0
14,24,3,1,{254.1761672167: 'C14'},3.0
14,24,4,1,{270.17108183669995: 'C14'},3.0
14,25,1,0,{209.1910890049: 'C14'},2.0
14,25,2,0,{225.1860036249: 'C14'},2.0
14,25,3,0,{241.1809182449: 'C14'},2.0
14,25,4,0,{257.1758328649: 'C14'},2.0
14,26,0,1,{208.2070734211: 'C14'},2.0
14,26,1,1,{224.2019880411: 'C14'},2.0
14,26,2,1,{240.1969026611: 'C14'},2.0
14,26,3,1,{256.1918172811: 'C14'},2.0
14,26,4,1,{272.18673190109996: 'C14'},2.0
14,27,1,0,{211.2067390693: 'C14'},1.0
14,27,2,0,{227.2016536893: 'C14'},1.0
14,27,3,0,{243.1965683093: 'C14'},1.0
14,27,4,0,{259.1914829293: 'C14'},1.0
14,28,0,1,{210.2227234855: 'C14'},1.0
14,28,1,1,{226.21763810550001: 'C14'},1.0
14,28,2,1,{242.21255272550002: 'C14'},1.0
14,28,3,1,{258.2074673455: 'C14'},1.0
14,28,4,1,{274.20238196549997: 'C14'},1.0
14,29,1,0,{213.2223891337: 'C14'},0.0
14,29,2,0,{229.2173037537: 'C14'},0.0
14,29,3,0,{245.2122183737: 'C14'},0.0
14,29,4,0,{261.2071329937: 'C14'},0.0
14,30,0,1,{212.23837354990002: 'C14'},0.0
14,30,1,1,{228.23328816990002: 'C14'},0.0
14,30,2,1,{244.22820278990002: 'C14'},0.0
14,30,3,1,{260.2231174099: 'C14'},0.0
14,30,4,1,{276.2180320299: 'C14'},0.0
15,5,1,0,{201.0345883609: 'C15'},13.0
15,5,2,0,{217.0295029809: 'C15'},13.0
15,5,3,0,{233.0244176009: 'C15'},13.0
15,5,4,0,{249.01933222089997: 'C15'},13.0
15,6,0,1,{200.0505727771: 'C15'},13.0
15,6,1,1,{216.0454873971: 'C15'},13.0
15,6,2,1,{232.0404020171: 'C15'},13.0
15,6,3,1,{248.0353166371: 'C15'},13.0
15,6,4,1,{264.03023125709996: 'C15'},13.0
15,7,1,0,{203.0502384253: 'C15'},12.0
15,7,2,0,{219.0451530453: 'C15'},12.0
15,7,3,0,{235.0400676653: 'C15'},12.0
15,7,4,0,{251.03498228529998: 'C15'},12.0
15,8,0,1,{202.0662228415: 'C15'},12.0
15,8,1,1,{218.0611374615: 'C15'},12.0
15,8,2,1,{234.0560520815: 'C15'},12.0
15,8,3,1,{250.05096670150002: 'C15'},12.0
15,8,4,1,{266.04588132149996: 'C15'},12.0
15,9,1,0,{205.0658884897: 'C15'},11.0
15,9,2,0,{221.0608031097: 'C15'},11.0
15,9,3,0,{237.0557177297: 'C15'},11.0
15,9,4,0,{253.05063234969998: 'C15'},11.0
15,10,0,1,{204.0818729059: 'C15'},11.0
15,10,1,1,{220.07678752590002: 'C15'},11.0
15,10,2,1,{236.07170214590002: 'C15'},11.0
15,10,3,1,{252.06661676590002: 'C15'},11.0
15,10,4,1,{268.06153138589997: 'C15'},11.0
15,11,1,0,{207.0815385541: 'C15'},10.0
15,11,2,0,{223.0764531741: 'C15'},10.0
15,11,3,0,{239.0713677941: 'C15'},10.0
15,11,4,0,{255.0662824141: 'C15'},10.0
15,12,0,1,{206.09752297030002: 'C15'},10.0
15,12,1,1,{222.09243759030002: 'C15'},10.0
15,12,2,1,{238.08735221030003: 'C15'},10.0
15,12,3,1,{254.08226683030003: 'C15'},10.0
15,12,4,1,{270.0771814503: 'C15'},10.0
15,13,1,0,{209.0971886185: 'C15'},9.0
15,13,2,0,{225.09210323850002: 'C15'},9.0
15,13,3,0,{241.08701785850002: 'C15'},9.0
15,13,4,0,{257.0819324785: 'C15'},9.0
15,14,0,1,{208.1131730347: 'C15'},9.0
15,14,1,1,{224.1080876547: 'C15'},9.0
15,14,2,1,{240.1030022747: 'C15'},9.0
15,14,3,1,{256.09791689469995: 'C15'},9.0
15,14,4,1,{272.0928315147: 'C15'},9.0
15,15,1,0,{211.1128386829: 'C15'},8.0
15,15,2,0,{227.1077533029: 'C15'},8.0
15,15,3,0,{243.10266792289997: 'C15'},8.0
15,15,4,0,{259.0975825429: 'C15'},8.0
15,16,0,1,{210.1288230991: 'C15'},8.0
15,16,1,1,{226.1237377191: 'C15'},8.0
15,16,2,1,{242.1186523391: 'C15'},8.0
15,16,3,1,{258.11356695909996: 'C15'},8.0
15,16,4,1,{274.1084815791: 'C15'},8.0
15,17,1,0,{213.1284887473: 'C15'},7.0
15,17,2,0,{229.1234033673: 'C15'},7.0
15,17,3,0,{245.11831798729997: 'C15'},7.0
15,17,4,0,{261.1132326073: 'C15'},7.0
15,18,0,1,{212.1444731635: 'C15'},7.0
15,18,1,1,{228.1393877835: 'C15'},7.0
15,18,2,1,{244.13430240350002: 'C15'},7.0
15,18,3,1,{260.12921702349996: 'C15'},7.0
15,18,4,1,{276.1241316435: 'C15'},7.0
15,19,1,0,{215.1441388117: 'C15'},6.0
15,19,2,0,{231.1390534317: 'C15'},6.0
15,19,3,0,{247.13396805169998: 'C15'},6.0
15,19,4,0,{263.1288826717: 'C15'},6.0
15,20,0,1,{214.16012322790002: 'C15'},6.0
15,20,1,1,{230.15503784790002: 'C15'},6.0
15,20,2,1,{246.14995246790002: 'C15'},6.0
15,20,3,1,{262.14486708789997: 'C15'},6.0
15,20,4,1,{278.1397817079: 'C15'},6.0
15,21,0,0,{201.1648742561: 'C15'},5.0
15,21,1,0,{217.1597888761: 'C15'},5.0
15,21,2,0,{233.1547034961: 'C15'},5.0
15,21,3,0,{249.1496181161: 'C15'},5.0
15,21,4,0,{265.1445327361: 'C15'},5.0
15,22,0,1,{216.17577329230002: 'C15'},5.0
15,22,1,1,{232.17068791230002: 'C15'},5.0
15,22,2,1,{248.16560253230003: 'C15'},5.0
15,22,3,1,{264.1605171523: 'C15'},5.0
15,22,4,1,{280.1554317723: 'C15'},5.0
15,23,0,0,{203.1805243205: 'C15'},4.0
15,23,1,0,{219.17543894050002: 'C15'},4.0
15,23,2,0,{235.17035356050002: 'C15'},4.0
15,23,3,0,{251.1652681805: 'C15'},4.0
15,23,4,0,{267.1601828005: 'C15'},4.0
15,24,0,1,{218.1914233567: 'C15'},4.0
15,24,1,1,{234.1863379767: 'C15'},4.0
15,24,2,1,{250.1812525967: 'C15'},4.0
15,24,3,1,{266.1761672167: 'C15'},4.0
15,24,4,1,{282.17108183669995: 'C15'},4.0
15,25,0,0,{205.1961743849: 'C15'},3.0
15,25,1,0,{221.1910890049: 'C15'},3.0
15,25,2,0,{237.1860036249: 'C15'},3.0
15,25,3,0,{253.1809182449: 'C15'},3.0
15,25,4,0,{269.1758328649: 'C15'},3.0
15,26,0,1,{220.2070734211: 'C15'},3.0
15,26,1,1,{236.2019880411: 'C15'},3.0
15,26,2,1,{252.1969026611: 'C15'},3.0
15,26,3,1,{268.1918172811: 'C15'},3.0
15,26,4,1,{284.18673190109996: 'C15'},3.0
15,27,0,0,{207.2118244493: 'C15'},2.0
15,27,1,0,{223.2067390693: 'C15'},2.0
15,27,2,0,{239.2016536893: 'C15'},2.0
15,27,3,0,{255.1965683093: 'C15'},2.0
15,27,4,0,{271.1914829293: 'C15'},2.0
15,28,0,1,{222.2227234855: 'C15'},2.0
15,28,1,1,{238.21763810550001: 'C15'},2.0
15,28,2,1,{254.21255272550002: 'C15'},2.0
15,28,3,1,{270.2074673455: 'C15'},2.0
15,28,4,1,{286.20238196549997: 'C15'},2.0
15,29,0,0,{209.2274745137: 'C15'},1.0
15,29,1,0,{225.2223891337: 'C15'},1.0
15,29,2,0,{241.2173037537: 'C15'},1.0
15,29,3,0,{257.2122183737: 'C15'},1.0
15,29,4,0,{273.2071329937: 'C15'},1.0
15,30,0,1,{224.23837354990002: 'C15'},1.0
15,30,1,1,{240.23328816990002: 'C15'},1.0
15,30,2,1,{256.2282027899: 'C15'},1.0
15,30,3,1,{272.2231174099: 'C15'},1.0
15,30,4,1,{288.2180320299: 'C15'},1.0
15,31,0,0,{211.2431245781: 'C15'},0.0
15,31,1,0,{227.2380391981: 'C15'},0.0
15,31,2,0,{243.23295381810001: 'C15'},0.0
15,31,3,0,{259.2278684381: 'C15'},0.0
15,31,4,0,{275.2227830581: 'C15'},0.0
15,32,0,1,{226.2540236143: 'C15'},0.0
15,32,1,1,{242.2489382343: 'C15'},0.0
15,32,2,1,{258.2438528543: 'C15'},0.0
15,32,3,1,{274.23876747429995: 'C15'},0.0
15,32,4,1,{290.2336820943: 'C15'},0.0
16,5,1,0,{213.0345883609: 'C16'},14.0
16,5,2,0,{229.0295029809: 'C16'},14.0
16,5,3,0,{245.0244176009: 'C16'},14.0
16,5,4,0,{261.01933222089997: 'C16'},14.0
16,6,0,1,{212.0505727771: 'C16'},14.0
16,6,1,1,{228.0454873971: 'C16'},14.0
16,6,2,1,{244.0404020171: 'C16'},14.0
16,6,3,1,{260.0353166371: 'C16'},14.0
16,6,4,1,{276.03023125709996: 'C16'},14.0
16,7,1,0,{215.0502384253: 'C16'},13.0
16,7,2,0,{231.0451530453: 'C16'},13.0
16,7,3,0,{247.0400676653: 'C16'},13.0
16,7,4,0,{263.0349822853: 'C16'},13.0
16,8,0,1,{214.0662228415: 'C16'},13.0
16,8,1,1,{230.0611374615: 'C16'},13.0
16,8,2,1,{246.0560520815: 'C16'},13.0
16,8,3,1,{262.0509667015: 'C16'},13.0
16,8,4,1,{278.04588132149996: 'C16'},13.0
16,9,0,0,{201.0709738697: 'C16'},12.0
16,9,1,0,{217.0658884897: 'C16'},12.0
16,9,2,0,{233.0608031097: 'C16'},12.0
16,9,3,0,{249.0557177297: 'C16'},12.0
16,9,4,0,{265.0506323497: 'C16'},12.0
16,10,0,1,{216.0818729059: 'C16'},12.0
16,10,1,1,{232.07678752590002: 'C16'},12.0
16,10,2,1,{248.07170214590002: 'C16'},12.0
16,10,3,1,{264.0666167659: 'C16'},12.0
16,10,4,1,{280.06153138589997: 'C16'},12.0
16,11,0,0,{203.0866239341: 'C16'},11.0
16,11,1,0,{219.0815385541: 'C16'},11.0
16,11,2,0,{235.0764531741: 'C16'},11.0
16,11,3,0,{251.0713677941: 'C16'},11.0
16,11,4,0,{267.0662824141: 'C16'},11.0
16,12,0,1,{218.09752297030002: 'C16'},11.0
16,12,1,1,{234.09243759030002: 'C16'},11.0
16,12,2,1,{250.08735221030003: 'C16'},11.0
16,12,3,1,{266.0822668303: 'C16'},11.0
16,12,4,1,{282.0771814503: 'C16'},11.0
16,13,0,0,{205.1022739985: 'C16'},10.0
16,13,1,0,{221.0971886185: 'C16'},10.0
16,13,2,0,{237.09210323850002: 'C16'},10.0
16,13,3,0,{253.08701785850002: 'C16'},10.0
16,13,4,0,{269.0819324785: 'C16'},10.0
16,14,0,1,{220.1131730347: 'C16'},10.0
16,14,1,1,{236.1080876547: 'C16'},10.0
16,14,2,1,{252.1030022747: 'C16'},10.0
16,14,3,1,{268.09791689469995: 'C16'},10.0
16,14,4,1,{284.0928315147: 'C16'},10.0
16,15,0,0,{207.1179240629: 'C16'},9.0
16,15,1,0,{223.1128386829: 'C16'},9.0
16,15,2,0,{239.1077533029: 'C16'},9.0
16,15,3,0,{255.10266792289997: 'C16'},9.0
16,15,4,0,{271.0975825429: 'C16'},9.0
16,16,0,1,{222.1288230991: 'C16'},9.0
16,16,1,1,{238.1237377191: 'C16'},9.0
16,16,2,1,{254.1186523391: 'C16'},9.0
16,16,3,1,{270.11356695909996: 'C16'},9.0
16,16,4,1,{286.1084815791: 'C16'},9.0
16,17,0,0,{209.1335741273: 'C16'},8.0
16,17,1,0,{225.1284887473: 'C16'},8.0
16,17,2,0,{241.1234033673: 'C16'},8.0
16,17,3,0,{257.1183179873: 'C16'},8.0
16,17,4,0,{273.1132326073: 'C16'},8.0
16,18,0,1,{224.1444731635: 'C16'},8.0
16,18,1,1,{240.1393877835: 'C16'},8.0
16,18,2,1,{256.1343024035: 'C16'},8.0
16,18,3,1,{272.12921702349996: 'C16'},8.0
16,18,4,1,{288.1241316435: 'C16'},8.0
16,19,0,0,{211.1492241917: 'C16'},7.0
16,19,1,0,{227.1441388117: 'C16'},7.0
16,19,2,0,{243.1390534317: 'C16'},7.0
16,19,3,0,{259.1339680517: 'C16'},7.0
16,19,4,0,{275.1288826717: 'C16'},7.0
16,20,0,1,{226.16012322790002: 'C16'},7.0
16,20,1,1,{242.15503784790002: 'C16'},7.0
16,20,2,1,{258.1499524679: 'C16'},7.0
16,20,3,1,{274.14486708789997: 'C16'},7.0
16,20,4,1,{290.1397817079: 'C16'},7.0
16,21,0,0,{213.1648742561: 'C16'},6.0
16,21,1,0,{229.1597888761: 'C16'},6.0
16,21,2,0,{245.1547034961: 'C16'},6.0
16,21,3,0,{261.1496181161: 'C16'},6.0
16,21,4,0,{277.1445327361: 'C16'},6.0
16,22,0,1,{228.17577329230002: 'C16'},6.0
16,22,1,1,{244.17068791230002: 'C16'},6.0
16,22,2,1,{260.1656025323: 'C16'},6.0
16,22,3,1,{276.1605171523: 'C16'},6.0
16,22,4,1,{292.1554317723: 'C16'},6.0
16,23,0,0,{215.1805243205: 'C16'},5.0
16,23,1,0,{231.17543894050002: 'C16'},5.0
16,23,2,0,{247.17035356050002: 'C16'},5.0
16,23,3,0,{263.1652681805: 'C16'},5.0
16,23,4,0,{279.1601828005: 'C16'},5.0
16,24,0,1,{230.1914233567: 'C16'},5.0
16,24,1,1,{246.1863379767: 'C16'},5.0
16,24,2,1,{262.1812525967: 'C16'},5.0
16,24,3,1,{278.1761672167: 'C16'},5.0
16,24,4,1,{294.17108183669995: 'C16'},5.0
16,25,0,0,{217.1961743849: 'C16'},4.0
16,25,1,0,{233.1910890049: 'C16'},4.0
16,25,2,0,{249.1860036249: 'C16'},4.0
16,25,3,0,{265.1809182449: 'C16'},4.0
16,25,4,0,{281.1758328649: 'C16'},4.0
16,26,0,1,{232.2070734211: 'C16'},4.0
16,26,1,1,{248.2019880411: 'C16'},4.0
16,26,2,1,{264.1969026611: 'C16'},4.0
16,26,3,1,{280.1918172811: 'C16'},4.0
16,26,4,1,{296.18673190109996: 'C16'},4.0
