,L0_330_O,L0_330_H,L0_354_O,L0_354_H,L0_378_O,L0_378_H,L0_402_O,L0_402_H,L0_426_O,L0_426_H,L0_450_O,L0_450_H,L2_330_O,L2_330_H,L2_354_O,L2_354_H,L2_378_O,L2_378_H,L2_402_O,L2_402_H,L2_426_O,L2_426_H,L2_450_O,L2_450_H,L5_330_O,L5_330_H,L5_354_O,L5_354_H,L5_378_O,L5_378_H,L5_402_O,L5_402_H,L5_426_O,L5_426_H,L5_450_O,L5_450_H,L8_330_O,L8_330_H,L8_354_O,L8_354_H,L8_378_O,L8_378_H,L8_402_O,L8_402_H,L8_426_O,L8_426_H,L8_450_O,L8_450_H
95,,,,,,,,,,,,,,,,,0.14285714285714285,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,,,,,,,0.15384615384615385,1.3846153846153846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,,,,,,,,,,,,,,,,,0.13333333333333333,1.2,,,0.14285714285714285,1.2857142857142858,,,,,,,,,,,,,,,0.13333333333333333,1.0666666666666667,,,,,,,,,,
98,,,,,,,,,,,,,,,,,,,,,,,0.13333333333333333,0.8,,,,,,,,,,,0.125,0.875,,,,,,,,,,,,
100,,,,,0.13333333333333333,1.8666666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14285714285714285,2.0,,,,,,,,,,
102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14285714285714285,1.8571428571428572,,,,,,,,,,,,,,
103,,,,,0.125,1.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13333333333333333,1.2,,,,,,,,,,
104,,,,,,,,,,,0.15384615384615385,1.2307692307692308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,,,,,,,,,0.13333333333333333,1.4666666666666666,,,,,,,0.13333333333333333,1.3333333333333333,,,,,,,,,,,,,,,0.14285714285714285,2.0,,,,,,,,,,,,,,
106,,,,,0.13333333333333333,2.0,0.15384615384615385,1.6923076923076923,,,,,,,,,,,,,0.14285714285714285,1.4285714285714286,0.14285714285714285,1.8571428571428572,,,,,,,,,,,,,,,,,,,,,,,,
108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13333333333333333,1.8666666666666667,,,,,,,,,,,,
109,,,,,,,,,,,0.15384615384615385,1.3846153846153846,,,,,0.13333333333333333,1.4666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,,,,,,,0.15384615384615385,1.8461538461538463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13333333333333333,1.3333333333333333,,,,,,,,,,
111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13333333333333333,2.0,,,,,,,,,,,,
112,,,,,,,0.14285714285714285,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13333333333333333,1.4666666666666666,,,,,,,,,,
113,,,,,,,,,0.125,0.875,,,,,,,,,,,,,0.14285714285714285,2.0,,,,,,,,,,,,,,,,,,,,,,,,
114,,,,,,,0.15384615384615385,2.0,,,,,,,,,0.13333333333333333,1.6,,,,,,,,,,,,,,,,,,,0.125,0.75,,,,,,,,,,
116,,,,,,,,,,,,,,,,,,,,,0.14285714285714285,1.5714285714285714,,,,,,,,,,,,,,,,,,,,,,,,,,
118,,,,,,,,,,,,,,,,,0.125,0.875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
