,m/z,I,S/N,em,dbe,error,C,H,Class
76,364.20703,4426732.0,29.5,364.20707339999996,15,4.34e-05,27,26,N1
77,366.2228,4428207.0,29.5,366.2227235,14,7.65e-05,27,28,N1
78,368.23838,5905270.0,40.1,368.23837349999997,13,6.45e-06,27,30,N1
79,370.1601,1717290.0,9.9,370.1601232,19,2.3199999999999998e-05,28,20,N1
80,370.2541,9350976.0,64.4,370.2540236,12,7.64e-05,27,32,N1
81,372.17578,2825975.0,17.8,372.1757733,18,6.71e-06,28,22,N1
82,372.26977,3485453.0,22.5,372.2696737,11,9.63e-05,27,34,N1
83,374.28541,6099677.0,41.2,374.2853237,10,8.63e-05,27,36,N1
84,376.20702,4228248.0,27.8,376.20707339999996,16,5.3400000000000004e-05,28,26,N1
85,376.30105,9908398.0,68.3,376.3009738,9,7.62e-05,27,38,N1
86,378.22275,5151851.0,34.1,378.2227235,15,2.65e-05,28,28,N1
87,380.23847,4827712.0,31.8,380.23837349999997,14,9.65e-05,28,30,N1
88,382.25403,5879317.0,39.2,382.2540236,13,6.39e-06,28,32,N1
89,384.17502,1198036.0,6.1,384.1757733,19,0.000753292,29,22,N1
90,384.26973,8967146.0,61.0,384.2696737,12,5.629999999999999e-05,28,34,N1
91,386.19137,2074538.0,12.3,386.19142339999996,18,5.3400000000000004e-05,29,24,N1
92,386.28547000000003,3963328.0,25.6,386.2853237,11,0.000146257,28,36,N1
93,388.20726,2093695.0,12.3,388.20707339999996,17,0.000186579,29,26,N1
94,388.30101,5039509.0,32.9,388.3009738,10,3.6200000000000006e-05,28,38,N1
95,390.22269,3114836.0,19.5,390.2227235,16,3.35e-05,29,28,N1
96,390.31672000000003,10873193.0,73.8,390.31662389999997,9,9.609999999999999e-05,28,40,N1
97,392.23831,4247847.0,27.4,392.23837349999997,15,6.35e-05,29,30,N1
98,394.25402,3742456.0,23.8,394.2540236,14,3.61e-06,29,32,N1
99,396.26972,5331144.0,34.7,396.2696737,13,4.6299999999999994e-05,29,34,N1
100,398.1915,1501824.0,8.1,398.19142339999996,19,7.659999999999999e-05,30,24,N1
101,398.28541,8832149.0,59.0,398.2853237,12,8.63e-05,29,36,N1
102,400.20694,1575882.0,8.6,400.20707339999996,18,0.000133421,30,26,N1
103,400.30097,2826464.0,17.3,400.3009738,11,3.81e-06,29,38,N1
104,402.2228,1815954.0,10.3,402.2227235,17,7.65e-05,30,28,N1
105,402.31662,4597800.0,29.6,402.31662389999997,10,3.87e-06,29,40,N1
106,404.23845,3130328.0,19.2,404.23837349999997,16,7.65e-05,30,30,N1
107,404.33231,11502060.0,77.0,404.33227389999996,9,3.6099999999999997e-05,29,42,N1
108,406.25411,3391130.0,21.0,406.2540236,15,8.640000000000001e-05,30,32,N1
109,408.26981,3669850.0,22.9,408.2696737,14,0.000136321,30,34,N1
110,410.28542999999996,3836184.0,24.1,410.2853237,13,0.00010625700000000001,30,36,N1
111,410.37937,1415213.0,7.4,410.37922410000004,6,0.000145871,29,48,N1
112,412.20721000000003,1246655.0,6.2,412.20707339999996,19,0.000136579,31,26,N1
113,412.30093999999997,7520468.0,49.5,412.3009738,12,3.3799999999999995e-05,30,38,N1
114,414.22283,1762424.0,9.7,414.2227235,18,0.000106515,31,28,N1
115,414.31673,2399117.0,14.1,414.31662389999997,11,0.000106128,30,40,N1
116,416.23823,2038319.0,11.6,416.23837349999997,17,0.00014355,31,30,N1
117,416.33218,4335172.0,27.3,416.33227389999996,10,9.39e-05,30,42,N1
118,418.25416,2497252.0,14.7,418.2540236,16,0.000136386,31,32,N1
119,418.34797000000003,8802808.0,57.8,418.34792400000003,9,4.6e-05,30,44,N1
120,420.26985,3616151.0,22.4,420.2696737,15,0.00017632099999999998,31,34,N1
121,422.28540999999996,3340103.0,20.5,422.2853237,14,8.63e-05,31,36,N1
122,424.30093,4630774.0,29.0,424.3009738,13,4.3799999999999994e-05,31,38,N1
123,426.22244000000006,1608335.0,8.6,426.22272350000003,19,0.000283485,32,28,N1
124,426.31669000000005,7766179.0,50.3,426.3166239,12,6.61e-05,31,40,N1
125,428.23845,1462714.0,7.6,428.2383735,18,7.65e-05,32,30,N1
126,428.33223,3402318.0,20.7,428.3322739,11,4.39e-05,31,42,N1
127,430.254,2397155.0,13.9,430.25402360000004,17,2.36e-05,32,32,N1
128,430.34794000000005,4287479.0,26.7,430.34792400000003,10,1.6e-05,31,44,N1
129,432.26974,2421643.0,14.1,432.2696737,16,6.63e-05,32,34,N1
130,432.36368,9138590.0,59.6,432.36357410000005,9,0.000105935,31,46,N1
131,434.28515,3356977.0,20.2,434.2853237,15,0.000173743,32,36,N1
132,436.3009,2885077.0,17.0,436.3009738,14,7.38e-05,32,38,N1
133,438.31657,4200568.0,25.9,438.3166239,13,5.39e-05,32,40,N1
134,440.23900999999995,1311751.0,6.5,440.2383735,19,0.00063645,33,30,N1
135,440.33239000000003,7152666.0,45.7,440.3322739,12,0.00011606399999999999,32,42,N1
136,442.348,1750714.0,9.4,442.34792400000003,11,7.6e-05,32,44,N1
137,444.26980999999995,2013766.0,11.2,444.2696737,17,0.000136321,33,34,N1
138,444.36364000000003,3503449.0,21.2,444.36357410000005,10,6.59e-05,32,46,N1
139,446.28547000000003,1800931.0,9.7,446.2853237,16,0.000146257,33,36,N1
140,446.37927,7575799.0,48.1,446.37922410000004,9,4.59e-05,32,48,N1
141,450.31678,2668828.0,15.4,450.3166239,14,0.00015612799999999998,33,40,N1
142,452.33237,6991286.0,44.2,452.3322739,13,9.609999999999999e-05,33,42,N1
143,454.34795999999994,6724432.0,42.4,454.34792400000003,12,3.6e-05,33,44,N1
144,456.36337000000003,1571560.0,8.0,456.36357410000005,11,0.000204065,33,46,N1
145,458.28511,1475693.0,7.4,458.2853237,17,0.000213743,34,36,N1
146,458.37932,3100800.0,18.1,458.37922410000004,10,9.590000000000001e-05,33,48,N1
147,460.30105,2187268.0,12.1,460.3009738,16,7.62e-05,34,38,N1
148,460.39491,6858776.0,42.8,460.39487419999995,9,3.5799999999999996e-05,33,50,N1
149,462.31683,2891163.0,16.7,462.3166239,15,0.000206128,34,40,N1
150,466.34785999999997,3614406.0,21.5,466.34792400000003,13,6.4e-05,34,44,N1
151,468.36359000000004,6036059.0,37.0,468.36357410000005,12,1.59e-05,34,46,N1
152,470.37942000000004,1984496.0,10.6,470.37922410000004,11,0.000195871,34,48,N1
153,472.30068,2160241.0,11.8,472.3009738,17,0.000293807,35,38,N1
154,472.39482999999996,3973508.0,23.6,472.39487419999995,10,4.4200000000000004e-05,34,50,N1
155,474.31660999999997,2705157.0,15.3,474.3166239,16,1.39e-05,35,40,N1
156,474.41052,7039768.0,43.5,474.41052429999996,9,4.26e-06,34,52,N1
157,476.33210999999994,3217050.0,18.6,476.3322739,15,0.000163936,35,42,N1
158,480.36346,2804420.0,15.9,480.36357410000005,13,0.000114065,35,46,N1
159,482.37919000000005,5205850.0,31.2,482.37922410000004,12,3.41e-05,35,48,N1
160,484.39491,1609456.0,8.1,484.39487419999995,11,3.5799999999999996e-05,35,50,N1
161,486.41044000000005,3784840.0,22.1,486.41052429999996,10,8.43e-05,35,52,N1
162,488.42620999999997,6544929.0,39.8,488.42617429999996,9,3.570000000000001e-05,35,54,N1
163,490.34799000000004,2841256.0,16.0,490.34792400000003,15,6.6e-05,36,44,N1
164,494.37932,3185377.0,18.2,494.37922410000004,13,9.590000000000001e-05,36,48,N1
165,496.39488,5533825.0,32.9,496.39487419999995,12,5.81e-06,36,50,N1
166,498.41035,2530338.0,13.8,498.41052429999996,11,0.000174258,36,52,N1
167,500.42622,3557317.0,20.3,500.42617429999996,10,4.57e-05,36,54,N1
168,502.34782,1940055.0,10.0,502.34792400000003,16,0.00010400100000000001,37,44,N1
169,502.44189000000006,5864811.0,35.0,502.4418244,9,6.56e-05,36,56,N1
170,506.37949000000003,2627755.0,14.4,506.37922410000004,14,0.000265871,37,48,N1
171,508.39499000000006,2969177.0,16.6,508.39487419999995,13,0.00011580600000000001,37,50,N1
172,510.31704,1698037.0,8.4,510.3166239,19,0.00041612800000000004,38,40,N1
173,510.41049000000004,4229130.0,24.3,510.41052429999996,12,3.43e-05,37,52,N1
174,512.42629,2503102.0,13.4,512.4261743,11,0.00011567700000000001,37,54,N1
175,514.34822,1650785.0,8.1,514.347924,17,0.000295999,38,44,N1
176,514.44199,2893173.0,15.9,514.4418244,10,0.000165613,37,56,N1
177,516.36415,1859356.0,9.4,516.3635741,16,0.000575935,38,46,N1
178,516.4576,5005617.0,29.2,516.4574745,9,0.00012554799999999998,37,58,N1
179,522.4103,2100324.0,10.9,522.4105243,13,0.000224258,38,52,N1
180,524.42642,4537392.0,25.5,524.4261743,12,0.000245677,38,54,N1
181,526.44159,1617791.0,7.6,526.4418244,11,0.00023438700000000002,38,56,N1
182,528.4576099999999,2644435.0,13.9,528.4574745,10,0.00013554799999999998,38,58,N1
183,530.47353,4029868.0,22.4,530.4731245,9,0.000405484,38,60,N1
184,536.42621,2329278.0,12.0,536.4261743,13,3.570000000000001e-05,39,54,N1
185,538.44201,3498284.0,19.1,538.4418244,12,0.000185613,39,56,N1
186,540.4574299999999,1984287.0,9.5,540.4574745,11,4.45e-05,39,58,N1
187,542.47336,2611990.0,13.2,542.4731245,10,0.00023548400000000002,39,60,N1
188,544.48884,4111633.0,22.0,544.4887746,9,6.54e-05,39,62,N1
189,550.4421,3114231.0,16.2,550.4418244,13,0.000275613,40,56,N1
190,552.45748,4064504.0,21.8,552.4574745,12,5.55e-06,40,58,N1
191,554.47344,1387513.0,6.0,554.4731245,11,0.000315484,40,60,N1
192,556.48898,2536441.0,12.7,556.4887746,10,0.00020542,40,62,N1
193,558.50473,4343031.0,22.5,558.5044246,9,0.000305355,40,64,N1
194,562.44178,2247890.0,10.6,562.4418244,14,4.44e-05,41,56,N1
195,564.45746,2357958.0,11.2,564.4574745,13,1.4499999999999998e-05,41,58,N1
196,566.47302,2627252.0,12.8,566.4731245,12,0.000104516,41,60,N1
197,568.4889400000001,1642653.0,7.2,568.4887746,11,0.00016542,41,62,N1
198,570.50399,1426559.0,6.0,570.5044246,10,0.000434645,41,64,N1
199,572.51954,2698330.0,13.2,572.5200747,9,0.000534709,41,66,N1
200,576.4564799999999,2097313.0,9.4,576.4574745,14,0.000994452,42,58,N1
201,578.4726900000001,1767969.0,7.6,578.4731245,13,0.00043451599999999997,42,60,N1
202,580.48901,2781015.0,13.1,580.4887746,12,0.00023542,42,62,N1
203,586.53566,3196976.0,15.4,586.5357247999999,9,6.48e-05,42,68,N1
204,594.50469,2894292.0,13.9,594.5044246,12,0.000265355,43,64,N1
205,600.55138,2377326.0,11.0,600.5513748,9,5.16e-06,43,70,N1
206,606.5045299999999,1645904.0,7.0,606.5044246,13,0.000105355,44,64,N1
207,608.52028,2436897.0,11.4,608.5200747,12,0.000205291,44,66,N1
208,612.55224,2174084.0,9.9,612.5513748,10,0.0008651619999999999,44,70,N1
209,614.56742,1994521.0,8.9,614.5670249,9,0.00039509800000000003,44,72,N1
210,618.50515,2243596.0,10.5,618.5044246,14,0.000725355,45,64,N1
211,622.53642,1787597.0,8.0,622.5357247999999,12,0.0006952260000000001,45,68,N1
212,626.56645,1620062.0,7.0,626.5670249,10,0.000574902,45,72,N1
213,632.52062,1577461.0,6.8,632.5200747,14,0.0005452909999999999,46,66,N1
214,636.55183,1765696.0,7.8,636.5513748,12,0.00045516199999999995,46,70,N1
215,642.5984900000001,1889952.0,8.8,642.598325,9,0.00016496900000000003,46,76,N1
216,203.1442,1246578.0,8.2,203.1441388,5,6.12e-05,14,19,O1
217,209.09714,1057090.0,6.5,209.09718859999998,9,4.8599999999999995e-05,15,13,O1
218,215.14405,1125480.0,7.0,215.14413880000004,6,8.88e-05,15,19,O1
219,217.15982000000002,1296421.0,8.4,217.1597889,5,3.11e-05,15,21,O1
220,219.17546000000002,8181446.0,66.3,219.1754389,4,2.11e-05,15,23,O1
221,231.17542999999998,1906235.0,13.3,231.1754389,5,8.94e-06,16,23,O1
222,233.1911,1096579.0,6.6,233.191089,4,1.1e-05,16,25,O1
223,237.12854,1101800.0,6.6,237.12848870000002,9,5.13e-05,17,17,O1
224,243.17542999999998,1594900.0,10.6,243.1754389,6,8.94e-06,17,23,O1
225,245.19104,1590712.0,10.5,245.191089,5,4.9e-05,17,25,O1
226,247.20678999999998,1975118.0,13.6,247.2067391,4,5.0900000000000004e-05,17,27,O1
227,251.14423,1220643.0,7.4,251.14413880000004,9,9.120000000000001e-05,18,19,O1
228,253.15986,1122241.0,6.6,253.1597889,8,7.11e-05,18,21,O1
229,253.25367999999997,1109746.0,6.5,253.25368930000002,1,9.26e-06,17,33,O1
230,257.19112,1142896.0,6.7,257.19108900000003,6,3.1e-05,18,25,O1
231,259.20673,1216254.0,7.3,259.2067391,5,9.07e-06,18,27,O1
232,261.22241,1994478.0,13.5,261.2223891,4,2.09e-05,18,29,O1
233,263.14418,1293221.0,7.9,263.1441388,10,4.1200000000000005e-05,19,19,O1
234,265.15977999999996,1465436.0,9.2,265.1597889,9,8.88e-06,19,21,O1
235,269.19108,1159037.0,6.7,269.19108900000003,7,9e-06,19,25,O1
236,271.20675,1213415.0,7.2,271.20673910000005,6,1.09e-05,19,27,O1
237,273.22236000000004,1801659.0,11.8,273.22238910000004,5,2.9100000000000003e-05,19,29,O1
238,275.23802,1974649.0,13.2,275.2380392,4,1.92e-05,19,31,O1
239,279.17548999999997,1166502.0,6.7,279.1754389,9,5.11e-05,20,23,O1
240,285.22238,1412992.0,8.6,285.22238910000004,6,9.13e-06,20,29,O1
