,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
L0_354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007173572637966817,0.01629297810403908,0.033625010186510554,0.05318574844844759,0.06059452116968199,0.06551984188728226,0.05706285197948951,0.05481815503834513,0.04767593598815372,0.04267262500675778,0.03882088475738137,0.04148163387429796,0.040192402386118,0.03300629761579039,0.0358926683065376,0.03480116343373091,0.033355682302710084,0.028433667383545393,0.02705094326423269,0.024393563071550953,0.026591480473024072,0.026802191068584492,0.019535544423206416,0.023041587861304832,0.023968507163356224
L0_378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021283878996953602,0.041706237800666845,0.061790914548707984,0.06757766350060421,0.07167648543435136,0.05940995521346161,0.05463707556410673,0.044020878965355816,0.03806619443470106,0.029607775922329993,0.03259048981077708,0.0391201849558972,0.032958086204593784,0.03400942144990278,0.027917767167885393,0.030529427493310696,0.02290242365617151,0.028203979355761032,0.030714144415676006,0.033735158003519304,0.027603674583194706,0.019234117533662925,0.02690635134026378,0.025358330808608512
L0_402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014583733406852314,0.03182659101539434,0.056238328870125996,0.07045997627261853,0.07566534332575572,0.07855923319147162,0.08114947069478712,0.07015096075265707,0.06778550221847997,0.05052670087523197,0.04572260876852433,0.04317358596516172,0.03893109515360416,0.03190072428094786,0.03417960716976779,0.025052052231368846,0.023970884117143328,0.02178230776589696,0.01960928894371697,0.0194829159002352,0.018911054651490053,0.016358756387089817,0.013173179246901845,0.013962259307217985,0.01072771420668995
L0_426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07127014422141445,0.12563014836886416,0.16142395396283707,0.1441233354099639,0.11481494997769014,0.14757129760305254,0.12839954406324874,0.10676662639292901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L0_450,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07151922225712849,0.13410612464481758,0.2421696665425431,0.21160018026355012,0.15578259573490016,0.08945211322879519,0.09537009732826535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L0_orig,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01074131525023119,0.02406934836987145,0.034911277945843554,0.0582593604532164,0.0688919195025072,0.0652570575298324,0.06610666020150972,0.05285145475175719,0.056716390876620545,0.05068718389269807,0.04476364481222654,0.04892887575479194,0.040424683098163355,0.03688149142083792,0.03477480728301726,0.03439223540726494,0.028103098054905212,0.024873228195600987,0.03187370072918153,0.030360290571413324,0.028535203013767645,0.023207737434968876,0.02121247265332627,0.020952213401260262,0.02034619317520587
L2_354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005650316427283097,0.010305454925492412,0.021875291927367185,0.0392675633794485,0.046948018826589895,0.05779300852332138,0.056399975211810636,0.06417168952452505,0.05945131044356286,0.051750269467942464,0.054939348549918963,0.055214617609335416,0.04739670349592466,0.04411998263153666,0.04346616514343104,0.03442534420681449,0.03592539279740734,0.03134459225011272,0.02782991864680898,0.02728449957996681,0.031359179409406655,0.022362837663625127,0.022473546074923394,0.020332327904625434,0.019210371448393885
L2_378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005251082764894361,0.011492016244598984,0.02732366305049081,0.03608745172351037,0.047038091263125185,0.06077930533072909,0.06300952610092214,0.07140454003394492,0.06811495533128409,0.0593901918346483,0.053820754441789076,0.05103962612928424,0.044965644293198506,0.04301074431697894,0.043624803932095634,0.03594926667109489,0.030566009422429492,0.026442952753693065,0.022520783505523834,0.025380245049529685,0.021869635345352488,0.02091138726238117,0.020378477577265408,0.01907725474544972,0.015821922547208007
L2_402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003326890396733411,0.013840119661139258,0.038510795389597605,0.07107051874828073,0.08390130074477192,0.08546410281790866,0.09265670718759997,0.0832200645630471,0.06892202580018243,0.056190698451004426,0.04654975279355413,0.041666263442608986,0.03728765486655042,0.03333978075938326,0.03055437881667966,0.029093347563162314,0.020735847685745094,0.01974855844586809,0.016559352336032045,0.0129913608788433,0.013060191825326415,0.013654813080112186,0.01256344164700914,0.011361245847841255,0.01107877359917651,0.009321360266625216
L2_426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010108003524256101,0.04794164632640425,0.10465568984486079,0.1486554824481522,0.1371164795484612,0.11416823261005925,0.12286220506023361,0.09348491053026743,0.07864757602092304,0.048372646188282846,0.03470147106588431,0.02574484762393849,0.0,0.014540385658872418,0.010480612256372892,0.008519811293031204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
