,m/z,R00X323Y078
0,300.015532396224,252312.15625
1,300.147551396697,302250.9375
2,300.164658285147,169421.8125
3,300.188286186694,207618.125
4,300.214285407438,233440.984375
5,300.307416883355,179202.1875
6,300.338128714673,198344.140625
7,300.363848022155,281304.6875
8,300.426236404344,168876.9375
9,300.47662302755,212757.1875
10,300.602811485185,209007.203125
11,300.684965771724,201062.84375
12,300.729563322023,166767.9375
13,300.874299714413,234462.0625
14,300.916923758272,186872.09375
15,300.921148385392,209729.8125
16,300.951443892686,171484.6875
17,300.98586027491,213655.5
18,301.048910191895,209335.640625
19,301.243726936751,236553.4375
20,301.311627299968,189056.859375
21,301.405035220049,180400.09375
22,301.55348283259,171292.625
23,301.645663067595,178215.71875
24,301.681274457723,169326.265625
25,301.688716106558,208626.09375
26,301.721522753914,253471.765625
27,301.763748525902,165386.796875
28,301.828148042899,256364.75
29,301.843641765216,259853.015625
30,301.925754745365,171038.453125
31,302.04614203411,169927.15625
32,302.276071488055,183822.5
33,302.333440306865,200218.234375
34,302.361152551476,225629.21875
35,302.370455396606,187218.34375
36,302.473934961362,221583.171875
37,302.551737823729,200634.15625
38,302.584479893511,196448.015625
39,302.682255847636,191533.265625
40,302.811065284958,203866.15625
41,302.929080193143,186478.484375
42,302.947792786568,221919.21875
43,302.964276516853,273426.59375
44,303.16700750599,225096.546875
45,303.288189577248,191239.265625
46,303.355455884384,167477.6875
47,303.37909943058,237618.046875
48,303.43253876079,221230.640625
49,303.436378489137,191832.40625
50,303.46177647294,228547.328125
51,303.471251431539,195832.8125
52,303.494377548088,193667.125
53,303.516090944229,218013.578125
54,303.582696250018,244221.578125
55,303.602327927613,202278.0
56,303.677936714111,201651.578125
57,303.695948795278,163725.828125
58,303.71519164874,172658.65625
59,303.743462132329,178303.546875
60,303.750922586342,199813.390625
61,303.762642523746,238560.59375
62,303.97572328536,175321.9375
63,303.983047583949,211111.09375
64,304.090228010764,190016.09375
65,304.1324064245,234530.9375
66,304.229739132982,188757.25
67,304.255639148696,227649.828125
68,304.26368444827,171914.921875
69,304.303464534544,184204.5625
70,304.467843609685,187836.984375
71,304.523068667605,178985.84375
72,304.682645756643,171777.796875
73,304.822443438608,209846.3125
74,304.832184625245,166866.625
75,304.851443424335,230245.296875
76,304.860916254157,168650.453125
77,304.871343233422,164085.484375
78,304.965245574443,179350.828125
79,305.019735574376,199397.734375
80,305.264682847306,187997.15625
81,305.312044906913,203777.1875
82,305.4174521099,209248.140625
83,305.436141380807,273078.03125
84,305.471816535084,162133.828125
85,305.501553193396,192319.5625
86,305.504293962912,278637.21875
87,305.52734384583,274436.71875
88,305.529821716402,192054.140625
89,305.534582054633,165400.390625
90,305.698825522342,191662.921875
91,305.798040087018,250145.84375
92,305.83750051666,191753.265625
93,305.880247916605,233463.953125
94,305.888621992005,192639.40625
95,305.940215133106,190713.078125
96,306.041322126448,279660.59375
97,306.093693363209,211493.71875
98,306.175368003993,226067.109375
99,306.345959405169,168816.109375
100,306.370551337527,238605.140625
101,306.450696234192,205085.375
102,306.605736733355,276806.84375
103,306.621374190639,234321.84375
104,306.859563163653,187517.859375
105,306.926170241668,186358.765625
106,306.954583317104,219560.65625
107,306.97305486758,317845.34375
108,307.086318921112,177691.015625
109,307.143166060233,202215.484375
110,307.263864108154,253505.15625
111,307.303642509695,303960.75
112,307.353354620984,192883.421875
113,307.359334984738,187820.25
114,307.454187676832,203430.21875
115,307.507428447399,179921.09375
116,307.676017387992,250803.28125
117,307.716015022652,173176.78125
118,307.73232531809,215305.125
119,307.932211647107,181447.6875
120,308.024266211751,171184.96875
121,308.103570891774,191796.03125
122,308.208452390343,202868.28125
123,308.40619942403,182295.5625
124,308.459037517698,210177.453125
125,308.469851391975,174742.6875
126,308.489147270604,296521.53125
127,308.517661758608,171869.53125
128,308.638035867848,182678.40625
129,308.706222468247,289640.15625
130,308.771618071839,190464.671875
131,308.964367281122,196774.4375
132,308.992678287081,242807.390625
133,309.075445133869,178736.359375
134,309.086126981405,187949.34375
135,309.119774143401,197237.734375
136,309.132519967477,245781.625
137,309.215889118326,221534.625
138,309.227587854952,361278.5
139,309.244288305668,191040.84375
140,309.310651848563,249392.796875
141,309.367292804557,168953.375
142,309.406737383223,194658.6875
143,309.528086060782,190773.8125
144,309.530807116233,230153.546875
145,309.612574316587,191618.890625
146,309.623901079253,174323.59375
147,309.650211075001,162429.78125
148,309.875669173974,186491.0
149,310.004418044239,190860.421875
150,310.091323776972,232942.609375
151,310.190199013755,233037.359375
152,310.406389828303,208126.71875
153,310.595512816199,173560.203125
154,310.613620428189,234595.984375
155,310.6809816323,178795.65625
156,310.685430741463,165676.71875
157,310.84208786199,187974.453125
158,310.889772254628,211640.21875
159,310.90865658201,248973.34375
160,310.932932535685,205883.125
161,311.051262661406,279877.5
162,311.062508769197,205318.46875
163,311.12374388933,183710.34375
164,311.135930366196,203814.34375
165,311.139841613864,203814.265625
166,311.194071758656,225964.578125
167,311.217846560502,222584.609375
168,311.374069005821,181707.59375
169,311.606957950708,271023.5625
170,311.67453514373,240195.53125
171,311.693212796419,175985.96875
172,311.793574698208,189771.03125
173,311.835456871608,165762.59375
174,311.946385032297,213121.515625
175,311.961894557164,249767.5
176,311.987608747456,218107.4375
177,312.026616301094,276078.6875
178,312.153955589062,278702.09375
179,312.340230131377,187385.4375
180,312.376963552827,187564.40625
181,312.40695120652,256691.765625
182,312.456889123301,210578.953125
183,312.622280913346,179776.984375
184,312.823643088718,220866.375
185,312.932993144023,205141.828125
