m/z,I,S/N,em,dbe,error,C,H,Class
638.4499,11051475,61.2,638.4498022,14,9.78E-05,44,61,N1Cl1
640.37201,1731836,7.7,640.3715519,20,0.000458074,45,51,N1Cl1
640.46572,9558660,52.7,640.4654523,13,0.000267688,44,63,N1Cl1
642.38684,3429674,17.5,642.387202,19,0.000361991,45,53,N1Cl1
642.4811,12874546,71.7,642.4811024,12,2.38E-06,44,65,N1Cl1
642.57412,2061370,9.6,642.5750028,5,0.000882763,43,77,N1Cl1
644.40256,4690901,24.7,644.4028521,18,0.000292055,45,55,N1Cl1
644.49679,17837022,100.2,644.4967524,11,3.76E-05,44,67,N1Cl1
646.41863,4435583,23.2,646.4185021,17,0.000127881,45,57,N1Cl1
646.51263,7189639,39.1,646.5124025,10,0.000227494,44,69,N1Cl1
648.4342,5594918,29.9,648.4341522,16,4.78E-05,45,59,N1Cl1
648.52824,13759790,76.8,648.5280526,9,0.00018743,44,71,N1Cl1
650.44972,7165389,38.9,650.4498022,15,8.22E-05,45,61,N1Cl1
650.54344,29046228,164.6,650.5437026,8,0.000262635,44,73,N1Cl1
652.37137,1725675,7.7,652.3715519,21,0.000181926,46,51,N1Cl1
652.46538,9842291,54.3,652.4654523,14,7.23E-05,45,63,N1Cl1
654.38661,2391824,11.5,654.387202,20,0.000591991,46,53,N1Cl1
654.48123,10114840,55.9,654.4811024,13,0.000127623,45,65,N1Cl1
656.40272,3062198,15.3,656.4028521,19,0.000132055,46,55,N1Cl1
656.49664,12208062,67.9,656.4967524,12,0.000112441,45,67,N1Cl1
656.58997,2034117,9.4,656.5906528,5,0.000682828,44,79,N1Cl1
658.41826,4328540,22.6,658.4185021,18,0.000242119,46,57,N1Cl1
658.5123,16781412,94.1,658.5124025,11,0.000102506,45,69,N1Cl1
660.43388,5091587,27,660.4341522,17,0.000272184,46,59,N1Cl1
660.52783,8038667,43.9,660.5280526,10,0.00022257,45,71,N1Cl1
662.44968,5710252,30.4,662.4498022,16,0.000122248,46,61,N1Cl1
662.54381,14655924,81.5,662.5437026,9,0.000107365,45,73,N1Cl1
664.46511,7646807,41.5,664.4654523,15,0.000342313,46,63,N1Cl1
664.55946,24930910,140.3,664.5593527,8,0.000107301,45,75,N1Cl1
666.48091,9310979,51,666.4811024,14,0.000192377,46,65,N1Cl1
668.40201,2996139,14.9,668.4028521,20,0.000842055,47,55,N1Cl1
668.49681,10077107,55.4,668.4967524,13,5.76E-05,46,67,N1Cl1
670.41862,3128926,15.6,670.4185021,19,0.000117881,47,57,N1Cl1
670.51226,11510886,63.6,670.5124025,12,0.000142506,46,69,N1Cl1
670.6065,1895662,8.6,670.6063029,5,0.000197108,45,81,N1Cl1
672.43394,3550996,18.1,672.4341522,18,0.000212184,47,59,N1Cl1
672.52794,15971613,89.1,672.5280526,11,0.00011257,46,71,N1Cl1
674.44995,3909583,20.1,674.4498022,17,0.000147752,47,61,N1Cl1
674.5439,7267800,39.3,674.5437026,10,0.000197365,46,73,N1Cl1
676.46531,5816974,31,676.4654523,16,0.000142313,47,63,N1Cl1
676.55932,12051095,66.6,676.5593527,9,3.27E-05,46,75,N1Cl1
678.4807,6525778,35.1,678.4811024,15,0.000402377,47,65,N1Cl1
678.57507,22699866,127.5,678.5750028,8,6.72E-05,46,77,N1Cl1
680.40203,1580817,6.8,680.4028521,21,0.000822055,48,55,N1Cl1
680.49666,8433691,46,680.4967524,14,9.24E-05,47,67,N1Cl1
682.41909,1707742,7.5,682.4185021,20,0.000587881,48,57,N1Cl1
682.51227,10061032,55.3,682.5124025,13,0.000132506,47,69,N1Cl1
684.43371,2651055,12.9,684.4341522,19,0.000442184,48,59,N1Cl1
684.52812,9626041,52.8,684.5280526,12,6.74E-05,47,71,N1Cl1
684.62171,1679555,7.4,684.621953,5,0.000242957,46,83,N1Cl1
686.44914,3362948,17,686.4498022,18,0.000662248,48,61,N1Cl1
686.54347,12999310,72.1,686.5437026,11,0.000232634,47,73,N1Cl1
688.46504,3809115,19.4,688.4654523,17,0.000412312,48,63,N1Cl1
688.55915,6319974,33.7,688.5593527,10,0.000202699,47,75,N1Cl1
690.4812,4180022,21.5,690.4811024,16,9.76E-05,48,65,N1Cl1
690.57502,10583104,57.9,690.5750028,9,1.72E-05,47,77,N1Cl1
692.49629,5590290,29.5,692.4967524,15,0.000462441,48,67,N1Cl1
692.59045,17347868,96.4,692.5906528,8,0.000202828,47,79,N1Cl1
694.41861,1819622,8.1,694.4185021,21,0.000107881,49,57,N1Cl1
694.51256,5425137,28.6,694.5124025,14,0.000157494,48,69,N1Cl1
696.52792,7540432,40.6,696.5280526,13,0.00013257,48,71,N1Cl1
698.44903,2735526,13.3,698.4498022,19,0.000772248,49,61,N1Cl1
698.5437,8050609,43.5,698.5437026,12,2.63E-06,48,73,N1Cl1
698.63759,1778619,7.9,698.637603,5,1.30E-05,47,85,N1Cl1
700.46568,2448519,11.7,700.4654523,18,0.000227688,49,63,N1Cl1
700.55908,12347538,68,700.5593527,11,0.000272699,48,75,N1Cl1
702.48074,2825320,13.8,702.4811024,17,0.000362377,49,65,N1Cl1
702.57493,5907827,31.3,702.5750028,10,7.28E-05,48,77,N1Cl1
704.49696,4378185,22.6,704.4967524,16,0.000207559,49,67,N1Cl1
704.59024,8934484,48.6,704.5906528,9,0.000412828,48,79,N1Cl1
706.5121,5631785,29.8,706.5124025,15,0.000302506,49,69,N1Cl1
706.60639,14529332,80.4,706.6063029,8,8.71E-05,48,81,N1Cl1
708.43339,1552893,6.6,708.4341522,21,0.000762184,50,59,N1Cl1
708.5281,5890056,31.2,708.5280526,14,4.74E-05,49,71,N1Cl1
710.44999,2209499,10.3,710.4498022,20,0.000187752,50,61,N1Cl1
710.54357,6861029,36.8,710.5437026,13,0.000132635,49,73,N1Cl1
712.46474,2288566,10.8,712.4654523,19,0.000712313,50,63,N1Cl1
712.55841,7903680,42.7,712.5593527,12,0.000942699,49,75,N1Cl1
714.57484,8837784,48.1,714.5750028,11,0.000162763,49,77,N1Cl1
716.49624,3983204,20.4,716.4967524,17,0.000512441,50,67,N1Cl1
716.59023,4602222,23.9,716.5906528,10,0.000422828,49,79,N1Cl1
718.51215,4608054,24,718.5124025,16,0.000252506,50,69,N1Cl1
718.60632,8365120,45.4,718.6063029,9,1.71E-05,49,81,N1Cl1
720.52772,4205829,21.7,720.5280526,15,0.00033257,50,71,N1Cl1
720.62182,13150478,72.6,720.621953,8,0.000132957,49,83,N1Cl1
722.54356,6165967,32.8,722.5437026,14,0.000142635,50,73,N1Cl1
724.46518,1462667,6.1,724.4654523,20,0.000272312,51,63,N1Cl1
724.55883,6711956,36,724.5593527,13,0.000522699,50,75,N1Cl1
726.48105,1974348,9,726.4811024,19,5.24E-05,51,65,N1Cl1
726.5748,7416661,40,726.5750028,12,0.000202763,50,77,N1Cl1
728.49698,2669063,12.9,728.4967524,18,0.000227559,51,67,N1Cl1
728.59042,8652815,47,728.5906528,11,0.000232828,50,79,N1Cl1
730.51235,3844284,19.6,730.5124025,17,5.25E-05,51,69,N1Cl1
730.60575,4436677,23,730.6063029,10,0.000552892,50,81,N1Cl1
732.52821,3521899,17.8,732.5280526,16,0.00015743,51,71,N1Cl1
732.62127,8010099,43.3,732.621953,9,0.000682957,50,83,N1Cl1
734.54394,5293587,27.9,734.5437026,15,0.000237365,51,73,N1Cl1
734.63763,12826138,70.8,734.637603,8,2.70E-05,50,85,N1Cl1
736.46498,1510060,6.3,736.4654523,21,0.000472313,52,63,N1Cl1
736.55943,5399220,28.5,736.5593527,14,7.73E-05,51,75,N1Cl1
738.48064,1623877,7,738.4811024,20,0.000462377,52,65,N1Cl1
738.57492,5730125,30.4,738.5750028,13,8.28E-05,51,77,N1Cl1
740.49716,2081239,9.6,740.4967524,19,0.000407559,52,67,N1Cl1
740.59059,7507933,40.5,740.5906528,12,6.28E-05,51,79,N1Cl1
740.68487,1565668,6.6,740.6845532,5,0.000316786,50,91,N1Cl1
742.51259,2701919,13.1,742.5124025,18,0.000187494,52,69,N1Cl1
742.60616,8599653,46.7,742.6063029,11,0.000142892,51,81,N1Cl1
744.52738,3189471,15.9,744.5280526,17,0.00067257,52,71,N1Cl1
744.62131,5943525,31.6,744.621953,10,0.000642957,51,83,N1Cl1
746.54365,4021589,20.9,746.5437026,16,5.26E-05,52,73,N1Cl1
746.63745,8788314,48.3,746.637603,9,0.000153021,51,85,N1Cl1
748.55904,4668866,24.6,748.5593527,15,0.000312699,52,75,N1Cl1
748.65313,11452870,63.7,748.6532531,8,0.000123085,51,87,N1Cl1
750.57469,5129765,27.2,750.5750028,14,0.000312763,52,77,N1Cl1
752.49581,2004090,9.2,752.4967524,20,0.000942441,53,67,N1Cl1
752.59031,5782142,31,752.5906528,13,0.000342828,52,79,N1Cl1
754.51151,1782986,8,754.5124025,19,0.000892506,53,69,N1Cl1
754.60629,6606542,35.8,754.6063029,12,1.29E-05,52,81,N1Cl1
754.70038,1440849,6,754.7002033,5,0.000176721,51,93,N1Cl1
756.52769,1928209,8.8,756.5280526,18,0.00036257,53,71,N1Cl1
756.62194,7170836,39,756.621953,11,1.30E-05,52,83,N1Cl1
758.63735,3976530,20.6,758.637603,10,0.000253021,52,85,N1Cl1
760.55878,2987396,14.9,760.5593527,16,0.000572699,53,75,N1Cl1
760.65322,6459271,34.9,760.6532531,9,3.31E-05,52,87,N1Cl1
762.57421,3668913,18.8,762.5750028,15,0.000792763,53,77,N1Cl1
762.6688,8810418,48.4,762.6689031,8,0.00010315,52,89,N1Cl1
764.58986,4432341,23.2,764.5906528,14,0.000792828,53,79,N1Cl1
766.60643,4516848,23.7,766.6063029,13,0.000127108,53,81,N1Cl1
768.62166,5084676,27,768.621953,12,0.000292957,53,83,N1Cl1
768.71489,1602820,6.9,768.7158533,5,0.000963343,52,95,N1Cl1
770.54432,1588751,6.8,770.5437026,18,0.000617365,54,73,N1Cl1
770.63678,5737487,30.7,770.637603,11,0.000823021,53,85,N1Cl1
772.6535,3780627,19.5,772.6532531,10,0.000246915,53,87,N1Cl1
774.57407,2946575,14.7,774.5750028,16,0.000932763,54,77,N1Cl1
774.66795,5975055,32.1,774.6689031,9,0.00095315,53,89,N1Cl1
776.59141,2507780,12.1,776.5906528,15,0.000757172,54,79,N1Cl1
776.68407,7147524,38.9,776.6845532,8,0.000483214,53,91,N1Cl1
780.62134,4152281,21.9,780.621953,13,0.000612957,54,83,N1Cl1
782.54328,1641402,7.3,782.5437026,19,0.000422635,55,73,N1Cl1
782.63671,4664248,24.9,782.637603,12,0.000893021,54,85,N1Cl1
784.55969,1871251,8.6,784.5593527,18,0.000337301,55,75,N1Cl1
784.65274,5127057,27.6,784.6532531,11,0.000513085,54,87,N1Cl1
