,m/z,I,S/N,em,error,C,H,Class
43,205.05065,3760815,29.3,205.05063234969998,1.7650300009108832e-05,11,9,O4
45,205.0871,27904122,233.0,205.08701785850002,8.214149997343156e-05,12,13,O3
48,208.11321999999998,36350508,303.1,208.1131730347,4.6965299986823084e-05,15,14,N1
49,209.09724,4841331,38.1,209.0971886185,5.13814999862916e-05,15,13,O1
52,211.1129,11431203,92.9,211.1128386829,6.131710000545354e-05,15,15,O1
53,213.18583999999998,3190727,24.2,213.1860036249,0.0001636249000114276,13,25,O2
55,216.08195,249506112,2071.2,216.0818729059,7.70940999927916e-05,16,10,N1
61,219.06635,9893840,79.1,219.0662824141,6.758590001254561e-05,12,11,O4
62,219.08158999999998,11684310,93.9,219.0815385541,5.14458999703038e-05,16,11,O1
64,219.10275,36445664,298.0,219.10266792289997,8.207710001784108e-05,13,15,O3
65,219.17549,5761788,45.0,219.17543894050002,5.1059499980965484e-05,15,23,O1
67,220.11324,4411253,33.9,220.1131730347,6.696529999317136e-05,16,14,N1
70,222.12892000000002,30880430,251.1,222.1288230991,9.690090001868157e-05,16,16,N1
71,223.0765,3278137,24.4,223.0764531741,4.682590000015807e-05,15,11,O2
72,223.11291,4539464,34.8,223.1128386829,7.131710000862768e-05,16,15,O1
74,225.12854,8295835,65.4,225.1284887473,5.1252699989845496e-05,16,17,O1
75,227.07141000000001,9772765,77.4,227.0713677941,4.2205900001590635e-05,14,11,O3
78,227.20175,102288152,833.7,227.2016536893,9.631070000182262e-05,14,27,O2
82,230.09758,615522304,5007.6,230.09752297030002,5.702969997400942e-05,17,12,N1
83,231.0816,5475000,41.9,231.0815385541,6.144590000189964e-05,17,11,O1
86,231.10272999999998,5574082,42.7,231.10266792289997,6.20771000114928e-05,14,15,O3
89,233.08203999999998,6826544,52.9,233.0819324785,0.00010752149998438654,13,13,O4
90,233.09722000000002,18821430,150.1,233.0971886185,3.138150000836504e-05,17,13,O1
91,233.11842000000001,19964224,159.3,233.11831798729997,0.00010201270004017715,14,17,O3
92,233.15482000000003,18456912,147.1,233.1547034961,0.00011650390001705091,15,21,O2
95,234.12883,4340484,32.6,234.1288230991,6.90089999011434e-06,17,16,N1
97,236.14456,20855434,165.8,236.1444731635,8.683650000307352e-05,17,18,N1
98,237.09222000000003,3811380,28.1,237.09210323850002,0.00011676150000994312,16,13,O2
99,237.1286,4985156,37.6,237.1284887473,0.00011125270000889032,17,17,O1
101,238.08744,3370994,24.6,238.08735221030003,8.778969996114938e-05,15,12,O2N1
105,239.07147999999998,4349869,32.5,239.0713677941,0.00011220589996696617,15,11,O3
106,239.12894,3423558,25.0,239.1288826717,5.732829998805755e-05,13,19,O4
107,239.14422000000002,6447053,49.3,239.1441388117,8.118830001535571e-05,17,19,O1
108,239.20172999999997,4007399,29.7,239.2016536893,7.631069996705264e-05,15,27,O2
109,241.08701000000002,21994292,173.3,241.08701785850002,7.858499998292245e-06,15,13,O3
111,241.21732000000003,43561840,345.6,241.2173037537,1.6246300020839044e-05,15,29,O2
112,242.09753999999998,7575801,58.1,242.09752297030002,1.7029699961312872e-05,18,12,N1
113,242.17621,4965660,37.2,242.1761672167,4.278329998896879e-05,13,24,O3N1
115,243.06637999999998,4095145,30.1,243.0662824141,9.758589999364631e-05,14,11,O4
121,244.11321,405502080,3222.2,244.1131730347,3.6965300012070657e-05,18,14,N1
123,245.09727,6245424,47.2,245.0971886185,8.138149999581401e-05,18,13,O1
127,245.11838999999998,5587001,42.0,245.11831798729997,7.201270000223303e-05,15,17,O3
128,246.05612999999997,4882903,36.4,246.0560520815,7.791849995442135e-05,16,8,O2N1
130,247.09762,4850849,35.9,247.0975825429,3.745710000657709e-05,14,15,O4
131,247.11292999999998,15945127,123.7,247.1128386829,9.131709998655424e-05,18,15,O1
132,247.13407,12021169,92.7,247.13396805169998,0.00010194830002774324,15,19,O3
134,248.14448,4474986,32.9,248.1444731635,6.8364999776804325e-06,18,18,N1
135,250.16022999999998,10219218,78.0,250.16012322790002,0.00010677209996856618,18,20,N1
140,252.1031,3333390,23.8,252.1030022747,9.772530000873303e-05,16,14,O2N1
142,253.08712000000003,6023596,45.0,253.08701785850002,0.00010214150000820155,16,13,O3
144,253.1446,13727684,105.6,253.14453273610002,6.726389997879778e-05,14,21,O4
145,253.15985,3382731,24.2,253.1597888761,6.112389999657353e-05,18,21,O1
147,253.21741,36564964,285.4,253.2173037537,0.00010624629999256285,16,29,O2
