,Unnamed: 0,0.5138,0.48382,0.4591,0.42902,0.47892,0.49402,0.42421,0.50394,0.48902,0.4137,0.46898,0.5189,0.4491,0.43906,0.40818,0.41865,0.54515,0.52428,0.53468,0.45396,0.47393,0.50893,0.44399,0.54982,0.53976,0.49902,0.52932,0.43418,0.46401
8072,"1299.02, 1317.25",,,,,,,[[-0.06567611]],,[[-0.07126329]],[[-0.05079179]],,,[[-0.06299164]],[[-0.0518608]],,,,[[-0.12543176]],,,[[-0.07119665]],,,,,[[-0.07365901]],[[-0.10192382]],[[-0.06394154]],[[-0.06771057]]
8081,"1299.02, 1322.3",,[[-0.12710479]],,[[-0.30631498]],,,[[-0.11259984]],[[-0.11724977]],,,,,,[[-0.0801582]],,,,[[-0.10607729]],,[[-0.08885506]],,,,,,[[-0.11748233]],[[-0.1446486]],[[-0.09516317]],
8082,"1299.02, 1322.97",,,[[0.04910184]],,,[[0.05074217]],,,,,[[0.05028208]],,,[[0.05659707]],,,,,,[[0.0521157]],[[0.04888393]],[[0.05875963]],[[0.04624032]],,,,,[[0.05821484]],[[0.05702374]]
8083,"1299.02, 1323.06",,[[0.05572139]],,[[0.04728155]],[[0.0528075]],,,[[0.05693507]],,,[[0.05563959]],,,[[0.05726805]],,,,[[0.0729868]],,,[[0.04689175]],[[0.04909688]],,,,,,[[0.05149968]],[[0.05867747]]
8087,"1299.02, 1323.3",,,[[-0.08943409]],,,,[[-0.09623834]],,,[[-0.06344198]],,,[[-0.09357404]],,[[-0.06186447]],,,,,,[[-0.11313543]],[[-0.13552642]],[[-0.09560114]],,[[-0.08243576]],,[[-0.12894168]],,
8093,"1299.02, 1325.04",,,[[0.05312695]],[[0.06765216]],,[[0.05731246]],[[0.06114173]],,[[0.06221963]],[[0.05543644]],[[0.05228802]],[[0.05969204]],,,,,,,,,,,[[0.06746516]],,,[[0.05801348]],[[0.05097942]],[[0.05357054]],[[0.05679513]]
8098,"1299.02, 1326.32",,,[[-0.21672415]],,,,[[-0.24975923]],[[-0.27623454]],[[-0.25409797]],,[[-0.23381527]],,[[-0.22011021]],[[-0.23940106]],[[-0.28320784]],[[-0.22706699]],,[[-0.24796923]],,[[-0.20952439]],[[-0.2484846]],,[[-0.26733203]],[[-0.10497684]],,,[[-0.27575227]],[[-0.22721545]],[[-0.23985217]]
8130,"1299.02, 1346.97",[[0.03730712]],[[0.04527866]],,,[[0.04600031]],[[0.0513057]],,[[0.05264351]],[[0.05536225]],,[[0.04647694]],,[[0.04906066]],[[0.04587316]],,,,,,[[0.04898065]],,,[[0.0533498]],,,[[0.04580032]],,,[[0.05560784]]
8131,"1299.02, 1347.06",,[[0.0548417]],[[0.05261592]],,[[0.05657706]],[[0.04891329]],,[[0.0626717]],,,[[0.05170904]],,[[0.04676039]],[[0.05750249]],,,,,,[[0.05557601]],[[0.05554813]],[[0.05417214]],[[0.0481762]],,,[[0.05816279]],,,[[0.05941769]]
8566,"1300.02, 1316.24",[[-0.98032168]],,[[-0.57556697]],,,,[[-0.64711853]],[[-0.71244195]],,,,,[[-0.52585752]],[[-0.69291433]],[[-0.64362561]],[[-0.55825552]],,,,[[-0.55835346]],,,,,,,,,[[-0.75615928]]
8580,"1300.02, 1323.3",,,[[-0.29988185]],,[[-0.4290605]],,[[-0.3372429]],,,,,,[[-0.29345089]],[[-0.22646826]],[[-0.28648498]],,,[[-0.39362172]],,,,,[[-0.33225471]],,[[-0.31176316]],,,,[[-0.303331]]
8590,"1300.02, 1326.32",,,[[-0.65730502]],,[[-0.80565642]],,,,,,,,[[-0.67932322]],[[-0.87734458]],[[-0.94175222]],[[-0.76296517]],,[[-0.65120941]],,[[-0.6531617]],,,[[-0.87992832]],,[[-0.89400305]],,,[[-0.81212943]],[[-0.84960886]]
