,Unnamed: 0,0.5138,0.48382,0.4591,0.42902,0.47892,0.49402,0.42421,0.50394,0.48902,0.4137,0.46898,0.5189,0.4491,0.43906,0.40818,0.41865,0.54515,0.52428,0.53468,0.45396,0.47393,0.50893,0.44399,0.54982,0.53976,0.49902,0.52932,0.43418,0.46401
13866,"1320.29, 1326.32",[[1.87390439]],,[[2.01428038]],,[[2.40267826]],,[[1.96972114]],[[2.80555029]],,,,,,,,,,[[2.80936771]],,,[[2.65820665]],[[2.36843536]],,,,,,,[[1.86048554]]
14242,"1322.3, 1325.27",,[[0.19520347]],,,[[0.14699795]],[[0.15964521]],,[[0.1593344]],[[0.18626967]],,[[0.19375487]],,[[0.15318915]],,,,,,,[[0.1575587]],[[0.18621727]],[[0.13351677]],[[0.15068251]],,,,,,
14246,"1322.3, 1326.32",,[[1.65991099]],[[1.59439577]],,[[1.52026658]],,[[1.74695334]],[[1.71245608]],[[1.66420193]],,[[1.66212089]],[[1.56399524]],[[1.63079312]],[[1.3638428]],[[1.58010717]],[[1.79318537]],,[[1.6909502]],,[[1.49712019]],[[1.62437455]],[[1.46784634]],[[1.74719529]],,[[1.35686937]],[[1.52584997]],[[1.64250036]],[[1.66275141]],[[1.57201969]]
14250,"1322.3, 1327.33",,[[0.46094938]],,[[0.63449898]],,[[0.50118141]],,,[[0.45621302]],,,[[0.44483062]],[[0.45020435]],[[0.45429936]],,,,[[0.44156214]],,[[0.43393969]],[[0.43763304]],,[[0.52330944]],,,[[0.41569208]],,[[0.48598528]],[[0.46724786]]
14252,"1322.3, 1332.21",,,,[[0.32731972]],[[0.29229979]],[[0.32864043]],[[0.19846725]],[[0.31838784]],[[0.36005457]],,,[[0.25889289]],[[0.29107216]],,,,,[[0.36597665]],,,,[[0.2377497]],[[0.25920518]],,,,[[0.3240531]],,[[0.30997962]]
14266,"1322.3, 1342.29",,[[0.33197395]],,[[0.39045268]],,[[0.27024587]],,,,,,,,,,[[0.26262924]],,[[0.30655619]],,,[[0.31878063]],,,,,[[0.25876667]],,[[0.33111138]],[[0.32155586]]
14270,"1322.3, 1347.02",,[[-1.89647]],,,,,[[-3.74475373]],[[-1.67612614]],[[-1.95611612]],[[-3.02310511]],,[[-1.30314844]],,[[-2.75447911]],[[-2.97240302]],,,[[-1.14162167]],,[[-2.33668089]],,[[-1.77095175]],,,,[[-1.27046942]],[[-1.82088559]],[[-2.70678618]],
14271,"1322.3, 1347.06",,[[-0.0935906]],[[-0.15889553]],,[[-0.11738248]],,,[[-0.14299544]],,,[[-0.13758285]],,[[-0.10275619]],[[-0.17889181]],,,,,,,[[-0.13730349]],[[-0.06103484]],[[-0.16946161]],,,[[-0.11664181]],,,[[-0.12288992]]
14426,"1322.97, 1347.02",,,[[16.4663211]],,,[[11.89118344]],,,,,[[16.21446894]],,,[[13.65291641]],,,,,,[[16.40890728]],[[13.97609299]],[[10.53170085]],[[16.39099791]],,,,,[[12.32240017]],[[15.16501938]]
14432,"1323.02, 1325.04",,,[[0.0510969]],,,[[0.05761047]],[[0.05449033]],,[[0.05636258]],[[0.05374442]],[[0.05760915]],[[0.05517001]],,,,,,,,,,,[[0.05952498]],,,[[0.05785528]],[[0.06617088]],[[0.04850391]],[[0.0535118]]
14437,"1323.02, 1326.32",,,[[-0.20103285]],,,,[[-0.23352016]],[[-0.27784053]],[[-0.25817711]],,[[-0.23495467]],,[[-0.20620311]],[[-0.22409831]],[[-0.2623955]],[[-0.2328414]],,[[-0.27570506]],,[[-0.20270008]],[[-0.23665231]],[[-0.34081124]],[[-0.24857356]],[[-0.33189552]],,,[[-0.26361524]],[[-0.218366]],[[-0.22984499]]
14473,"1323.02, 1346.97",[[0.03763141]],[[0.04589539]],[[0.05309071]],,[[0.04263354]],[[0.05182819]],,[[0.05160667]],[[0.05514177]],,[[0.04597744]],,[[0.0465035]],[[0.04342844]],,,,,,[[0.04851596]],,[[0.05305603]],[[0.05166361]],,,[[0.04343289]],,,[[0.05147098]]
14474,"1323.02, 1347.06",,[[0.05048542]],[[0.04992976]],,[[0.05144245]],,,[[0.06272995]],,,[[0.04869153]],,[[0.04288095]],[[0.05498663]],,,,,,[[0.05164576]],[[0.050021]],[[0.05017966]],[[0.04721056]],,,[[0.05677021]],,,[[0.05557351]]
14505,"1323.06, 1347.02",,[[12.07838273]],,[[10.42329881]],[[15.02847336]],,,[[9.38308935]],,,[[14.13612508]],,,[[13.64840481]],,,,[[10.00845067]],,,[[14.08247146]],[[10.5013623]],,,,[[10.47759109]],,[[16.83387596]],[[14.66498679]]
14540,"1323.3, 1326.32",,[[1.84140694]],[[1.74669683]],,[[1.80575048]],,[[1.74416378]],[[1.89809822]],[[1.84831797]],,[[1.77650439]],,[[1.70764972]],[[1.45461668]],[[2.1530484]],[[1.85270161]],,[[1.76104391]],,[[1.45869595]],[[1.84267315]],[[1.67619912]],[[1.8142002]],,[[1.79817567]],[[1.77884797]],[[1.77885407]],[[1.93182695]],[[1.75198403]]
14543,"1323.3, 1327.33",,[[0.4994747]],,,,,,,[[0.51340344]],,,,[[0.53416589]],[[0.41009791]],,,,[[0.43578875]],,[[0.51932641]],[[0.47342192]],,[[0.57297223]],,,[[0.51285668]],,[[0.5132215]],[[0.48397435]]
14564,"1323.3, 1347.02",,,[[-2.68359154]],,,,[[-3.85412221]],[[-1.97177759]],[[-2.23834482]],[[-2.42270561]],[[-2.79566135]],,[[-2.93714919]],,,,,,,,[[-2.60284136]],[[-1.83175981]],[[-3.30899931]],,[[-1.96413239]],,[[-2.01542302]],,
14565,"1323.3, 1347.06",,[[-0.11372471]],[[-0.14863223]],,[[-0.13665626]],,,[[-0.12820733]],,,,,[[-0.10319607]],[[-0.20678296]],,,,,,,[[-0.15234029]],,[[-0.19338964]],,,[[-0.11453544]],,,[[-0.11742414]]
14570,"1323.3, 1349.03",,[[-0.14204006]],,,[[-0.14340012]],,[[-0.23764999]],[[-0.13429151]],,,,,,[[-0.18677459]],,,,[[-0.10266224]],,,,[[-0.12000631]],[[-0.21411488]],,,[[-0.1278978]],,[[-0.22433457]],[[-0.17124198]]
14708,"1324.02, 1326.32",,[[-0.82903313]],[[-0.67895563]],,[[-0.7211378]],,,[[-0.81293386]],,,,,[[-0.71174436]],[[-0.72217047]],[[-0.82785134]],,[[-0.62447674]],[[-0.82791793]],,[[-0.61592668]],[[-0.79119456]],[[-0.81699173]],[[-0.84745756]],,,[[-0.74574044]],[[-0.75723913]],[[-0.87119542]],[[-0.68692276]]
14731,"1324.02, 1346.97",,[[0.13808049]],[[0.1718455]],,[[0.14468844]],[[0.14182749]],,[[0.16408886]],,,,,[[0.15328988]],[[0.13171593]],,,,,,[[0.14752513]],[[0.13948525]],,[[0.17279831]],,,[[0.13205193]],,,[[0.1464926]]
14732,"1324.02, 1347.06",,[[0.16323369]],[[0.1767385]],,[[0.14871445]],,,[[0.14456154]],,,,,[[0.14354467]],[[0.17761497]],,,,,,[[0.16502169]],[[0.15184269]],[[0.11524579]],[[0.15040009]],,,[[0.15977745]],,,[[0.14983377]]
14919,"1325.04, 1347.02",,,[[8.79837379]],[[3.74931794]],,[[6.33835225]],[[10.09962861]],,[[6.63987629]],[[5.92078125]],[[7.56059147]],,,,,,,,,,,,[[3.99972104]],,,[[5.65094834]],[[4.65006795]],[[9.05658884]],[[8.96394177]]
15054,"1326.32, 1342.29",,[[0.16246844]],,,,,[[0.19846919]],,,,,,,[[0.16308644]],,[[0.11652352]],,[[0.17577795]],,,[[0.18295551]],[[0.15733843]],,,,[[0.1546908]],[[0.13660443]],,[[0.20556761]]
15059,"1326.32, 1347.02",,,[[-1.43508742]],,[[-1.11282143]],,[[-1.60946523]],[[-0.97597696]],[[-1.0423975]],,[[-1.30595885]],,[[-1.43870879]],[[-1.78074069]],,[[-1.30404767]],[[-1.11611778]],[[-0.77392081]],,[[-1.52384408]],[[-1.29738938]],,[[-1.6629083]],,,,[[-0.65858114]],[[-1.42720226]],[[-1.48080419]]
15060,"1326.32, 1347.06",,,[[-0.08289529]],,[[-0.06494105]],,,,,,[[-0.07676853]],,,[[-0.10235278]],,,,,,,[[-0.0731879]],[[-0.04947788]],[[-0.09115315]],,,[[-0.06391894]],,,[[-0.0658762]]
15063,"1326.32, 1348.02",,,,,,,,[[-0.29820683]],,,[[-0.38726053]],[[-0.27526312]],[[-0.40107589]],,[[-0.46829731]],,[[-0.37189999]],[[-0.24698682]],,,,[[-0.34217678]],,,,,,[[-0.46542226]],[[-0.45249017]]
15064,"1326.32, 1348.03",,[[-0.3282943]],[[-0.44929177]],,[[-0.36275705]],,,,,,,,,[[-0.5439648]],,[[-0.34397568]],,,,[[-0.43517364]],[[-0.42328961]],,[[-0.50817416]],,,[[-0.21296119]],,,
15065,"1326.32, 1349.03",[[-0.07557974]],[[-0.07077577]],,,[[-0.06354075]],,[[-0.11324163]],[[-0.07318463]],,,,[[-0.06800028]],[[-0.08817916]],[[-0.10075727]],,,,,,,,,[[-0.13308061]],,,,[[-0.06526194]],,[[-0.08163978]]
15187,"1327.33, 1347.02",,,,[[-1.8872285]],,,,,[[-4.09013377]],,,,[[-4.67836282]],[[-5.12890484]],,,,[[-2.61349726]],,[[-5.00076444]],[[-4.43782952]],,[[-4.97609795]],,,,,[[-5.78072667]],
15599,"1335.98, 1359.97",,,[[0.48513009]],,[[0.48189342]],[[0.5259219]],,[[0.47995525]],,,[[0.48575291]],,,[[0.54302733]],,,,,,,[[0.46768529]],[[0.49621278]],,,,[[0.43965073]],,,
15623,"1336.98, 1359.97",[[0.41906449]],,[[0.43800504]],,[[0.43123236]],[[0.45455327]],,[[0.39896495]],,,[[0.38405833]],[[0.3544985]],,[[0.45922949]],,,,[[0.36659099]],,,[[0.43596354]],,[[0.40538614]],,,,,,
15807,"1346.97, 1349.03",,[[0.56648373]],,,[[0.62523863]],[[0.74478856]],,[[0.68666481]],,,[[0.96135043]],,[[0.71459008]],,,,,,,,,,[[1.10013836]],,,[[0.50478496]],,,[[0.73106191]]
