,m/z,I,S/N,em,error,C,H,Class
24,200.12978,40918304,348.6,200.1292170235,0.0005629765000207954,10,18,O3N1
28,203.10773999999998,1862666,13.4,203.1077533029,1.3302900015332852e-05,13,15,O2
29,205.08705,1635986,11.5,205.08701785850002,3.214149998598259e-05,12,13,O3
30,208.11311,13774160,114.7,208.1131730347,6.3034699991249e-05,15,14,N1
33,209.15462,3463020,26.9,209.1547034961,8.349610001801011e-05,13,21,O2
34,211.13398999999998,2044501,14.8,211.13396805169998,2.1948300002350152e-05,12,19,O3
35,211.17036000000002,7112802,57.7,211.17035356050002,6.43949999812321e-06,13,23,O2
36,213.18592999999998,31651636,265.2,213.1860036249,7.362490001128208e-05,13,25,O2
38,214.12376,1933582,13.8,214.1237377191,2.2280899997895176e-05,14,16,O1N1
40,216.08187999999998,3382512,26.0,216.0818729059,7.094099970572643e-06,16,10,N1
41,216.10306,1658616,11.5,216.1030022747,5.772529999603648e-05,13,14,O2N1
42,219.10263999999998,1823849,12.8,219.10266792289997,2.7922899988652716e-05,13,15,O3
43,219.13912000000002,2745240,20.5,219.1390534317,6.656830001361413e-05,14,19,O2
44,219.17545,5628966,44.7,219.17543894050002,1.1059499996690647e-05,15,23,O1
45,221.15472999999997,2402305,17.6,221.1547034961,2.6503899960061972e-05,14,21,O2
47,222.09247000000002,2052735,14.7,222.09243759030002,3.240969999751542e-05,15,12,O1N1
48,222.12887,14217422,116.3,222.1288230991,4.6900900002810886e-05,16,16,N1
51,223.17033999999998,5954427,47.2,223.17035356050002,1.3560500036646772e-05,14,23,O2
53,225.14967000000001,2130498,15.2,225.1496181161,5.1883900027860363e-05,13,21,O3
55,225.18601,31085504,256.3,225.1860036249,6.3751000141110126e-06,14,25,O2
56,226.12381000000002,1707275,11.7,226.1237377191,7.228090001376586e-05,15,16,O1N1
59,227.20165,128288528,1065.5,227.2016536893,3.689300001497031e-06,14,27,O2
60,228.10301,1981649,13.9,228.1030022747,7.72530000858751e-06,14,14,O2N1
61,228.16052000000002,1669865,11.4,228.1605171523,2.8477000171278632e-06,12,22,O3N1
63,229.15984,1766867,12.2,229.1597888761,5.112389999339939e-05,16,21,O1
68,230.09755,11921380,96.4,230.09752297030002,2.7029699992908718e-05,17,12,N1
69,230.11866,1781357,12.3,230.1186523391,7.660899996153603e-06,14,16,O2N1
73,231.13895,1732962,11.8,231.1390534317,0.00010343170001192448,15,19,O2
74,231.17533999999998,1999730,14.0,231.17543894050002,9.894050003822485e-05,16,23,O1
75,233.11838999999998,2491380,18.1,233.11831798729997,7.201270000223303e-05,14,17,O3
76,233.15471000000002,8388868,66.8,233.1547034961,6.503900010557118e-06,15,21,O2
77,233.19107000000002,2944532,21.8,233.1910890049,1.900489996842225e-05,16,25,O1
78,234.12878999999998,4007847,30.5,234.1288230991,3.3099100022582206e-05,17,16,N1
81,235.17026,1783655,12.2,235.17035356050002,9.356050000519645e-05,15,23,O2
83,236.10807999999997,2984954,22.1,236.1080876547,7.654700027615036e-06,16,14,O1N1
85,236.14449,14850569,119.8,236.1444731635,1.683649998085457e-05,17,18,N1
88,237.14955,1789752,12.2,237.1496181161,6.811609998180757e-05,14,21,O3
90,237.18597000000003,6524616,51.1,237.1860036249,3.3624899970163824e-05,15,25,O2
93,238.08733999999998,1916297,13.2,238.08735221030003,1.2210300042170275e-05,15,12,O2N1
97,239.1288,3251333,24.2,239.1288826717,8.267169999953694e-05,13,19,O4
98,239.16527000000002,4323093,33.0,239.1652681805,1.8195000279774831e-06,14,23,O3
100,239.20166,20485924,165.6,239.2016536893,6.310700001677105e-06,15,27,O2
101,240.1394,1647410,11.0,240.1393877835,1.2216499982287132e-05,16,18,O1N1
103,241.12337000000002,2148307,15.1,241.1234033673,3.3367299977271614e-05,16,17,O2
104,241.14448,2053851,14.3,241.14453273610002,5.273610003087015e-05,13,21,O4
105,241.18092000000001,4071787,30.8,241.1809182449,1.7551000155435759e-06,14,25,O3
106,241.21728,92327544,752.5,241.2173037537,2.375370002027921e-05,15,29,O2
107,242.11864,1693557,11.3,242.1186523391,1.233910001019467e-05,15,16,O2N1
108,242.17615,7141645,55.9,242.1761672167,1.7216700001654317e-05,13,24,O3N1
113,244.11317000000003,28199732,227.2,244.1131730347,3.03469997220418e-06,18,14,N1
115,244.15604,4499526,34.1,244.15543177230003,0.0006082276999563874,12,22,O4N1
120,245.11837000000003,1665490,11.1,245.11831798729997,5.201270005272818e-05,15,17,O3
123,245.15482000000003,2516065,18.0,245.1547034961,0.00011650390001705091,16,21,O2
124,245.19107000000002,2067312,14.3,245.1910890049,1.900489996842225e-05,17,25,O1
127,247.17037000000002,3873044,28.9,247.17035356050002,1.6439500001297347e-05,16,23,O2
128,247.20673,2604962,18.6,247.2067390693,9.069300006103731e-06,17,27,O1
130,248.10812,2065291,14.2,248.1080876547,3.234530001350322e-05,17,14,O1N1
131,248.14441000000002,7853466,61.2,248.1444731635,6.31634999876951e-05,18,18,N1
133,249.14962000000003,2724392,19.6,249.1496181161,1.8839000404113904e-06,15,21,O3
135,249.18599999999998,2699958,19.4,249.1860036249,3.6249000174848334e-06,16,25,O2
136,250.1237,2119717,14.6,250.1237377191,3.7719099992727934e-05,17,16,O1N1
137,250.14477000000002,2198701,15.3,250.1448670879,9.708789997375789e-05,14,20,O3N1
138,250.16015,12372147,97.5,250.16012322790002,2.6772099971594798e-05,18,20,N1
139,251.10762999999997,1624225,10.6,251.1077533029,0.00012330290002182664,17,15,O2
140,251.14412000000002,1766319,11.8,251.1441388117,1.8811699987963948e-05,18,19,O1
142,251.16523999999998,2239159,15.6,251.1652681805,2.8180500009966636e-05,15,23,O3
143,251.20167999999998,5965637,45.7,251.2016536893,2.631069997960367e-05,16,27,O2
144,252.10303,1735068,11.5,252.1030022747,2.7725299986514074e-05,16,14,O2N1
