,m/z,I,S/N,em,error,C,H,Class
3293,200.10809,1814926,13.1,200.1080876547,2.3453000039808103e-06,13,14,O1N1
3371,201.09206,1041838,6.4,201.09210323850002,4.3238500012421355e-05,13,13,O2
3373,201.11325,1913540,13.9,201.1132326073,1.7392699987794913e-05,10,17,O4
3374,201.12843,990425,6.0,201.1284887473,5.874729998822659e-05,14,17,O1
3439,202.08733999999998,1930237,14.0,202.08735221030003,1.2210300042170275e-05,12,12,O2N1
3509,203.10778,2155885,15.9,203.1077533029,2.6697099997363694e-05,13,15,O2
3511,203.12885,1166275,7.5,203.1288826717,3.267170001208797e-05,10,19,O4
3514,203.14417,1737016,12.4,203.1441388117,3.1188299999485025e-05,14,19,O1
3584,204.10302,1152863,7.3,204.1030022747,1.7725299983339937e-05,12,14,O2N1
3666,205.12339,4681828,37.4,205.1234033673,1.336729999934505e-05,13,17,O2
3671,205.15981000000002,2385839,17.8,205.1597888761,2.112390001229869e-05,14,21,O1
3827,207.13908999999998,2307840,17.1,207.1390534317,3.6568299975670016e-05,13,19,O2
3890,208.07683,1523907,10.5,208.07678752590002,4.247409998470175e-05,14,10,O1N1
3895,208.11314,5864528,47.4,208.1131730347,3.30347000101483e-05,15,14,N1
3963,209.09721000000002,1152779,7.3,209.0971886185,2.13815000051909e-05,15,13,O1
3970,209.15469,10691392,88.1,209.1547034961,1.3496100024212865e-05,13,21,O2
4116,211.11244,1019370,6.1,211.1128386829,0.0003986828999984482,15,15,O1
4120,211.13401000000002,1999442,14.4,211.13396805169998,4.1948300037120134e-05,12,19,O3
4123,211.17038,21422624,178.5,211.17035356050002,2.6439499976049774e-05,13,23,O2
4175,212.10811,1467296,9.9,212.1080876547,2.2345300010329083e-05,14,14,O1N1
4245,213.09207999999998,3575289,27.7,213.09210323850002,2.323850003449479e-05,14,13,O2
4252,213.14961,2878991,21.8,213.1496181161,8.116099991184456e-06,12,21,O3
4254,213.18599999999998,59788060,502.6,213.1860036249,3.6249000174848334e-06,13,25,O2
4321,214.08732,1226877,7.8,214.08735221030003,3.221030002009684e-05,13,12,O2N1
4325,214.12377,1338955,8.8,214.1237377191,3.228090000106931e-05,14,16,O1N1
4395,215.10772999999998,1927185,13.7,215.1077533029,2.330290001850699e-05,14,15,O2
4396,215.12885,1549017,10.5,215.1288826717,3.267170001208797e-05,11,19,O4
4400,215.14414,2070431,14.9,215.1441388117,1.1882999899626157e-06,15,19,O1
4451,216.08182999999997,1173592,7.4,216.0818729059,4.290590004529804e-05,16,10,N1
4453,216.10301,2610209,19.5,216.1030022747,7.72530000858751e-06,13,14,O2N1
4514,217.08708,1220850,7.8,217.08701785850002,6.214149996708329e-05,13,13,O3
4517,217.12339,6400577,51.2,217.1234033673,1.336729999934505e-05,14,17,O2
4519,217.15979,2213712,16.1,217.1597888761,1.1238999775287084e-06,15,21,O1
4641,219.06615,1022567,6.1,219.0662824141,0.0001324140999940937,12,11,O4
4646,219.1027,1787511,12.5,219.10266792289997,3.20771000303921e-05,13,15,O3
4650,219.13908999999998,8264070,66.6,219.1390534317,3.6568299975670016e-05,14,19,O2
4653,219.17545,14146197,115.9,219.17543894050002,1.1059499996690647e-05,15,23,O1
4696,220.11315,1994850,14.2,220.1131730347,2.3034700006974163e-05,16,14,N1
4765,221.08194,1523008,10.2,221.0819324785,7.521500009488591e-06,12,13,O4
4767,221.11833,2368399,17.3,221.11831798729997,1.2012700011609923e-05,13,17,O3
4772,221.15472999999997,8806367,71.2,221.1547034961,2.6503899960061972e-05,14,21,O2
4827,222.09247000000002,2406771,17.6,222.09243759030002,3.240969999751542e-05,15,12,O1N1
4832,222.12886,12542339,102.1,222.1288230991,3.690089999963675e-05,16,16,N1
4901,223.07646,1079263,6.5,223.0764531741,6.825899987461526e-06,15,11,O2
4906,223.11283999999998,1537327,10.3,223.1128386829,1.3170999864087207e-06,16,15,O1
4913,223.17035,25519944,210.3,223.17035356050002,3.560500005050926e-06,14,23,O2
4962,224.07168,2606291,19.2,224.07170214590002,2.2145900032910504e-05,14,10,O2N1
5013,225.0921,2570261,18.9,225.09210323850002,3.238500028146518e-06,15,13,O2
5018,225.14961,1828142,12.7,225.1496181161,8.116099991184456e-06,13,21,O3
5022,225.18602,66012864,546.0,225.1860036249,1.637510001728515e-05,14,25,O2
5077,226.12377,1370463,8.9,226.1237377191,3.228090000106931e-05,15,16,O1N1
5127,227.10766,1849066,12.9,227.1077533029,9.330289998388253e-05,15,15,O2
5129,227.12891000000002,1101984,6.7,227.1288826717,2.732830000695685e-05,12,19,O4
5130,227.1653,2096816,14.9,227.1652681805,3.181950000907818e-05,13,23,O3
5133,227.20166,196794944,1632.7,227.2016536893,6.310700001677105e-06,14,27,O2
5183,228.10304,1695828,11.5,228.1030022747,3.772529998968821e-05,14,14,O2N1
5188,228.13939,2617957,19.2,228.1393877835,2.216499979112996e-06,15,18,O1N1
5242,229.12342,3149088,23.6,229.1234033673,1.663270001017736e-05,15,17,O2
5245,229.14449,1931305,13.5,229.14453273610002,4.273610002769601e-05,12,21,O4
5248,229.15982000000002,2724528,20.1,229.1597888761,3.112390001547283e-05,16,21,O1
5294,230.09755,13951319,113.0,230.09752297030002,2.7029699992908718e-05,17,12,N1
5297,230.11866,2168801,15.4,230.1186523391,7.660899996153603e-06,14,16,O2N1
5349,231.10263999999998,1635742,11.0,231.10266792289997,2.7922899988652716e-05,14,15,O3
5357,231.13905,8622895,68.6,231.1390534317,3.431700008604821e-06,15,19,O2
5359,231.17542999999998,3722815,28.2,231.17543894050002,8.940500038079335e-06,16,23,O1
5411,232.13432000000003,1390834,9.0,232.13430240350002,1.759650001531554e-05,14,18,O2N1
5472,233.11835,1369969,8.8,233.11831798729997,3.2012700017958196e-05,14,17,O3
5476,233.15472999999997,17739970,143.8,233.1547034961,2.6503899960061972e-05,15,21,O2
5479,233.19112,3410642,25.6,233.1910890049,3.099510001902672e-05,16,25,O1
5532,234.1288,4353659,33.3,234.1288230991,2.309909999098636e-05,17,16,N1
5593,235.07648999999998,1995689,13.9,235.0764531741,3.6825899968562226e-05,16,11,O2
5594,235.09743999999998,1108179,6.6,235.0975825429,0.00014254290002213565,13,15,O4
5595,235.11288,1617914,10.8,235.1128386829,4.131709999910527e-05,17,15,O1
5598,235.13395,2512963,18.1,235.13396805169998,1.8051699981924685e-05,14,19,O3
5604,235.17032999999998,18451540,149.2,235.17035356050002,2.356050003982091e-05,15,23,O2
5657,236.10809,2695293,19.6,236.1080876547,2.3453000039808103e-06,16,14,O1N1
5658,236.14449,17728012,143.2,236.1444731635,1.683649998085457e-05,17,18,N1
5706,237.09212999999997,2421050,17.3,237.09210323850002,2.6761499952954182e-05,16,13,O2
5710,237.1285,2533450,18.2,237.1284887473,1.125270000557066e-05,17,17,O1
