m/z,0,1,2,3
408.16,-7.914142252,-1.000722505,-3.015237902,-4.277132567
415.12,-7.990941755,3.693050319,1.611705928,-0.371086769
377.11,-8.667562628,8.436715467,9.270956024,-4.035826338
380.13,-8.817364792,1.768336749,-13.9210366,2.408890296
524.18,-8.939407562,9.034375221,-0.326519768,2.381620208
326.78,-9.023739633,-3.872574165,3.092483695,-7.189858343
409.18,-9.375703175,-1.903216696,4.355459725,-1.366872496
430.13,-9.386739323,4.539554838,-1.507756914,1.637424835
418.13,-9.893029531,-2.871119811,6.923711127,-9.63582934
507.22,-10.27943177,-3.589734589,1.373464258,-4.788044244
497.2,-11.16540874,-1.861596356,-3.123280177,-4.087629704
395.13,-13.26024414,-5.567273494,2.190316283,-9.941840728
513.2,-14.62351184,1.361653103,7.416794949,-6.344901857
