,newindices,pixel_x,pixel_y,ccat
R00X107Y044,0.8408850439207239,11.751233999999998,2.5685263999999997,0.447
R00X108Y044,0.9355493011595413,11.762478199999999,2.7306268,0.488
R00X114Y044,0.2910161458738276,11.8296926,3.7031456000000005,0.45899999999999996
R00X115Y044,0.1309150300592992,11.840894999999998,3.8652041999999995,0.479
R00X119Y044,0.8129222049192548,11.8857464,4.6645038,0.456
R00X126Y044,0.8655035595682722,11.964205,6.196264799999999,0.478
R00X128Y044,0.20854571382847278,11.986609799999998,6.633869,0.43700000000000006
R00X113Y045,0.3487186755164195,11.631309799999999,3.7345373999999993,0.47100000000000003
R00X114Y045,0.17978272563863704,11.642512199999999,3.8966377999999997,0.486
R00X119Y045,0.7761295689232574,11.698566,4.7427116,0.44799999999999995
R00X125Y045,0.35987934824394524,11.765780399999999,6.0556496,0.473
R00X127Y045,0.2276727715182961,11.788227,6.4932538,0.49
R00X128Y045,0.2617994133537683,11.7994294,6.712076799999999,0.473
R00X131Y045,0.2851175506650437,11.833036599999998,7.3978475999999995,0.467
R00X132Y045,0.9158888597613497,11.844239,8.162495,0.452
R00X136Y045,0.11681376197733905,11.889090399999999,12.728977799999997,0.41600000000000004
R00X139Y045,0.21558867918846875,11.922697600000001,15.906864599999997,0.428
R00X150Y045,0.8549003184322447,12.045965799999998,17.2190084,0.527
R00X151Y045,0.9200384992725301,12.0571682,17.371285799999995,0.521
R00X152Y045,0.8556719774851952,12.068370599999998,17.523605,0.45399999999999996
R00X154Y045,0.8802157332500029,12.0908172,17.828159799999998,0.451
R00X156Y045,0.04371414041180399,12.113222,18.132714599999996,0.45299999999999996
R00X157Y045,0.3399811872528834,12.124424399999999,18.284992,0.436
R00X158Y045,0.8552486559774267,12.135626799999997,18.4373112,0.444
R00X164Y045,0.1263339317810369,12.202883,19.3510174,0.43700000000000006
R00X112Y046,0.21974681559267126,11.432927,3.7659291999999995,0.43799999999999994
R00X113Y046,0.12864975415872118,11.4441294,3.9280296,0.449
R00X118Y046,0.8835652120276188,11.500141399999999,4.738448,0.513
R00X119Y046,0.6670260998447082,11.511343799999997,4.9005484,0.397
R00X125Y046,0.23761856948489196,11.5786,6.133857399999999,0.461
R00X126Y046,0.8805216500531894,11.589802399999998,6.352680399999999,0.307
R00X127Y046,0.4971069306719615,11.601004799999998,6.571503399999999,0.39799999999999996
R00X131Y046,0.929080617328295,11.6458562,7.671136,0.46799999999999997
R00X133Y046,0.771298770789779,11.668260999999998,9.2004308,0.49200000000000005
R00X134Y046,0.22633941969394314,11.6794634,9.965078199999999,0.354
R00X135Y046,0.6084984333702788,11.690665799999998,11.1404106,0.43200000000000005
R00X149Y046,0.04439803206430405,11.847582999999998,17.088968599999998,0.446
R00X152Y046,0.057213823053979804,11.8811902,17.545842599999997,0.46299999999999997
R00X154Y046,0.07009374577423991,11.903594999999997,17.8503974,0.475
R00X155Y046,0.9050922921803716,11.914839200000001,18.002674799999998,0.469
R00X158Y046,0.878045602148743,11.9484464,18.459548799999997,0.43200000000000005
R00X159Y046,0.8180668854973147,11.959648799999998,18.6118262,0.40700000000000003
R00X161Y046,0.06310244663178854,11.982053599999999,18.916380999999998,0.433
R00X166Y046,0.10286298493570835,12.0381074,19.6778098,0.415
R00X167Y046,0.016661654086675227,12.049309799999998,19.830087199999998,0.503
R00X174Y046,0.7743213976130071,12.127768399999999,20.8960708,0.501
R00X179Y046,0.8772915162860032,12.1837804,21.657499599999998,0.45299999999999996
R00X180Y046,0.02295134925580753,12.194982799999998,21.809776999999997,0.462
R00X182Y046,0.8600819343256036,12.2174294,22.1143736,0.374
R00X187Y046,0.850287878659779,12.2734414,22.875802399999998,0.447
R00X189Y046,0.8772958679518787,12.295846199999998,23.180357199999996,0.48
R00X193Y046,0.11412638596218627,12.3406976,23.7934378,0.517
R00X195Y046,0.02682235158831051,12.363102399999997,24.1036774,0.449
R00X110Y047,0.04403371265957208,11.223299999999998,3.6352623999999993,0.44799999999999995
R00X112Y047,0.3150326797385621,11.245704799999999,3.9594213999999996,0.49200000000000005
R00X113Y047,0.8656288807334106,11.2569072,4.1215218,0.435
R00X117Y047,0.11759271188495968,11.3017586,4.7698816,0.451
R00X120Y047,0.0249261420576829,11.335365799999998,5.2561409999999995,0.509
R00X123Y047,0.9064160748123609,11.369014799999999,5.7744192,0.5920000000000001
R00X124Y047,0.8987277536690227,11.3802172,5.993242199999999,0.48700000000000004
R00X130Y047,0.7598287916305495,11.4474316,7.306138399999999,0.46
R00X135Y047,0.5057937373250009,11.503485399999999,11.270784799999998,0.523
R00X149Y047,0.046449920159562154,11.6604026,17.1112062,0.519
R00X150Y047,0.5379204514228877,11.671605,17.2635254,0.504
R00X154Y047,0.25397155607704003,11.7164146,17.872635,0.457
R00X157Y047,0.08873098364897085,11.750021799999999,18.329508999999998,0.429
R00X158Y047,0.2908367991523021,11.761265999999999,18.4817864,0.483
R00X163Y047,0.8247478810766061,11.817277999999998,19.2432152,0.408
R00X164Y047,0.7728713064554172,11.8284804,19.395492599999997,0.43799999999999994
R00X168Y047,0.9376068766439937,11.873331799999999,20.004644,0.562
R00X172Y047,0.1980378392232533,11.918141399999998,20.6137536,0.5670000000000001
R00X177Y047,0.3757479718483076,11.974195199999999,21.3751824,0.511
R00X178Y047,0.1285703859108605,11.9853976,21.527459799999995,0.469
R00X180Y047,0.03451714265638559,12.007802399999997,21.8320564,0.293
R00X182Y047,0.8804619261379044,12.0302072,22.1366112,0.452
R00X185Y047,0.1936694633507796,12.0638562,22.595198999999997,0.465
R00X186Y047,0.92121132046059,12.0750586,22.750318799999995,0.43799999999999994
R00X187Y047,0.9009078829554404,12.086260999999999,22.905438599999997,0.555
R00X188Y047,0.8513164474294155,12.097463399999999,23.0605166,0.509
R00X194Y047,0.14743218958018675,12.164719599999998,23.9911936,0.621
R00X202Y047,0.04268362069677273,12.254380600000001,25.2320684,0.563
R00X203Y047,0.11912001141572617,12.265583,25.3871882,0.488
R00X204Y047,0.036586323863371684,12.276785399999998,25.542307999999995,0.45399999999999996
R00X206Y047,0.060555240580236744,12.2991902,25.852547599999998,0.523
R00X207Y047,0.07794380781748746,12.3103926,26.007625599999997,0.441
R00X209Y047,0.060542120549617516,12.3328392,26.3178652,0.415
R00X210Y047,0.030080176123136626,12.344041599999999,26.472985,0.45
R00X211Y047,0.08434354512186035,12.355243999999999,26.628104799999996,0.541
R00X218Y047,0.008102438662240313,12.433702599999998,27.7138598,0.44299999999999995
R00X220Y047,0.8526704127333778,12.456107399999999,28.024099399999997,0.475
R00X223Y047,0.8480179963551061,12.489714600000001,28.500870199999994,0.5670000000000001
R00X224Y047,0.8581415049133032,12.500917,28.660922399999997,0.45399999999999996
R00X109Y048,0.7794064546221288,11.0249172,3.6666541999999995,0.431
R00X110Y048,0.929207193871856,11.0361196,3.8287546,0.445
