,m/z,I,S/N,em,error,C,H,Class,dbe,,11062030927
9660,305.17585,1222697,7,305.1758329,1.71E-05,18,25,O4,,,
9666,305.21219,2945134,20.3,305.2122184,2.84E-05,19,29,O3,,,
9672,305.24859,7909491,58.6,305.2486039,1.39E-05,20,33,O2,4,0.000715013,
9700,306.1137,1113123,6.1,306.113567,0.000133041,19,16,O3N1,,,
9702,306.12881,1797477,11.3,306.1288231,1.31E-05,23,16,N1,,,
9704,306.15,2318055,15.3,306.1499525,4.75E-05,20,20,O2N1,,,
9710,306.18635,1740780,10.9,306.186338,1.20E-05,21,24,O1N1,,,
9714,306.22278,10538737,78.6,306.2227235,5.65E-05,22,28,N1,,,
9744,307.17034,3598187,25.2,307.1703536,1.36E-05,21,23,O2,10,0.000325274,
9748,307.19148,4424558,31.5,307.1914829,2.93E-06,18,27,O4,,,
9755,307.22793,2388083,15.9,307.2278684,6.16E-05,19,31,O3,,,
9757,307.2643,15176567,114.2,307.2642539,4.61E-05,20,35,O2,3,0.001371951,
9786,308.1445,13393897,100.5,308.1444732,2.68E-05,23,18,N1,,,
9788,308.16561,2538476,17,308.1656025,7.47E-06,20,22,O2N1,,,
9790,308.20195,1287408,7.4,308.201988,3.80E-05,21,26,O1N1,,,
9838,309.14947,1209258,6.8,309.1496181,0.000148116,20,21,O3,,,
9844,309.18609,2282351,15.1,309.1860036,8.64E-05,21,25,O2,9,0.000206323,
9849,309.20711,12490866,93.6,309.207133,2.30E-05,18,29,O4,,,
9851,309.2219,1322099,7.7,309.2223891,0.000489134,22,29,O1,,,
9853,309.24358,2690422,18.2,309.2435185,6.15E-05,19,33,O3,,,
9855,309.27995,50900092,388.9,309.279904,4.60E-05,20,37,O2,2,0.004601333,
9875,310.12378,5008616,36,310.1237377,4.23E-05,22,16,O1N1,,,
9879,310.16017,3421420,23.8,310.1601232,4.68E-05,23,20,N1,,,
9882,310.18123,2165871,14.2,310.1812526,2.26E-05,20,24,O2N1,,,
9884,310.21774,1397492,8.3,310.2176381,0.000101895,21,28,O1N1,,,
9926,311.16541,1438446,8.6,311.1652682,0.00014182,20,23,O3,,,
9930,311.20168,2775922,18.9,311.2016537,2.63E-05,21,27,O2,8,0.000250941,
9932,311.22284,36633972,279.2,311.2227831,5.69E-05,18,31,O4,,,
9934,311.25917,5348218,38.6,311.2591686,1.43E-06,19,35,O3,,,
9935,311.29556,287567232,2208.6,311.2955541,5.92E-06,20,39,O2,1,0.02599588,
9959,312.13943,3451883,23.9,312.1393878,4.22E-05,22,18,O1N1,,,
9964,312.17581,8696304,64,312.1757733,3.67E-05,23,22,N1,,,
9966,312.19692,1423859,8.4,312.1969027,1.73E-05,20,26,O2N1,,,
9972,312.23335,1454327,8.7,312.2332882,6.18E-05,21,30,O1N1,,,
10011,313.181,1732210,10.8,313.1809182,8.18E-05,20,25,O3,,,
10017,313.21732,4040567,28.4,313.2173038,1.62E-05,21,29,O2,7,0.000365264,
10020,313.2385,99053176,755.1,313.2384331,6.69E-05,18,33,O4,,,
10021,313.2748,1982462,12.7,313.2748186,1.86E-05,19,37,O3,,,
10050,314.1552,1421297,8.4,314.1550378,0.000162152,22,20,O1N1,,,
10053,314.17628,1486835,8.9,314.1761672,0.000112783,19,24,O3N1,,,
10056,314.19146,10644213,78.9,314.1914234,3.66E-05,23,24,N1,,,
10059,314.21255,2812920,19,314.2125527,2.73E-06,20,28,O2N1,,,
10087,315.13876,1327729,7.7,315.1390534,0.000293432,22,19,O2,13,0.000120026,
10099,315.19654,2156281,14,315.1965683,2.83E-05,20,27,O3,,,
10106,315.233,5970302,43.2,315.2329538,4.62E-05,21,31,O2,6,0.000539711,
10110,315.25411,35143552,266.3,315.2540832,2.68E-05,18,35,O4,,,
10111,315.26935,2124418,13.8,315.2693393,1.07E-05,22,35,O1,,,
10140,316.13446,1745140,10.9,316.1343024,0.000157597,21,18,O2N1,,,
10146,316.17083,1378809,8.1,316.1706879,0.000142088,22,22,O1N1,,,
10150,316.20716,4093438,28.8,316.2070734,8.66E-05,23,26,N1,,,
10191,317.15471,1344635,7.8,317.1547035,6.50E-06,22,21,O2,12,0.000121554,
10193,317.17551,1184510,6.5,317.1758329,0.000322865,19,25,O4,,,
10197,317.21218,2576003,17.1,317.2122184,3.84E-05,20,29,O3,,,
10202,317.24863,6949000,50.4,317.2486039,2.61E-05,21,33,O2,5,0.000628185,
10203,317.28508,4807309,34.1,317.2849894,9.06E-05,22,37,O1,,,
10224,318.12891,1675901,10.3,318.1288231,8.69E-05,24,16,N1,,,
10227,318.15006,2209536,14.3,318.1499525,0.000107532,21,20,O2N1,,,
10231,318.18634,1675781,10.3,318.186338,2.02E-06,22,24,O1N1,,,
10234,318.22283,6588682,47.7,318.2227235,0.000106515,23,28,N1,,,
10263,319.13437,4575877,32.3,319.1339681,0.000401948,21,19,O3,,,
10269,319.17043,1542282,9.3,319.1703536,7.64E-05,22,23,O2,11,0.000139421,
10275,319.22795,3069841,20.9,319.2278684,8.16E-05,20,31,O3,,,
10278,319.26424,5481366,39.2,319.2642539,1.39E-05,21,35,O2,4,0.000495512,
10309,320.14443,3140366,21.4,320.1444732,4.32E-05,24,18,N1,,,
10310,320.16553,2389265,15.7,320.1656025,7.25E-05,21,22,O2N1,,,
10314,320.20205,1313046,7.5,320.201988,6.20E-05,22,26,O1N1,,,
10318,320.23837,8370203,61.2,320.2383735,3.55E-06,23,30,N1,,,
10337,321.14951,1148825,6.3,321.1496181,0.000108116,21,21,O3,,,
10341,321.18616,1975710,12.6,321.1860036,0.000156375,22,25,O2,10,0.000178603,
10347,321.2072,2010017,12.8,321.207133,6.70E-05,19,29,O4,,,
10350,321.22248,1216547,6.8,321.2223891,9.09E-05,23,29,O1,,,
10355,321.24357,2503334,16.6,321.2435185,5.15E-05,20,33,O3,,,
10357,321.27998,12330667,91.3,321.279904,7.60E-05,21,37,O2,3,0.001114684,
10379,322.16017,9930534,73.1,322.1601232,4.68E-05,24,20,N1,,,
10380,322.18132,2822953,19,322.1812526,6.74E-05,21,24,O2N1,,,
10386,322.21772,1557550,9.4,322.2176381,8.19E-05,22,28,O1N1,,,
10422,323.16513,1429300,8.3,323.1652682,0.000138181,21,23,O3,,,
10430,323.20164,2774457,18.5,323.2016537,1.37E-05,22,27,O2,9,0.000250809,
10433,323.2228,6290876,45.1,323.2227831,1.69E-05,19,31,O4,,,
10435,323.25921,3142849,21.3,323.2591686,4.14E-05,20,35,O3,,,
10438,323.29563,23872454,178,323.2955541,7.59E-05,21,39,O2,2,0.002158053,
10455,324.103,1203643,6.6,324.1030023,2.27E-06,22,14,O2N1,,,
10460,324.13941,5730880,40.9,324.1393878,2.22E-05,23,18,O1N1,,,
10462,324.16063,1264707,7.1,324.1605172,0.000112848,20,22,O3N1,,,
10464,324.17588,4100165,28.5,324.1757733,0.000106708,24,22,N1,,,
10466,324.19704,2303560,15,324.1969027,0.000137339,21,26,O2N1,,,
10470,324.2333,1452237,8.5,324.2332882,1.18E-05,22,30,O1N1,,,
10500,325.18092,17179864,127.4,325.1809182,1.76E-06,21,25,O3,,,
10506,325.21738,3573981,24.6,325.2173038,7.62E-05,22,29,O2,8,0.000323085,
10510,325.23852,3768800,26,325.2384331,8.69E-05,19,33,O4,,,
10511,325.25378,1233378,6.9,325.2536893,9.07E-05,23,33,O1,,,
10512,325.27482,6183653,44.3,325.2748186,1.37E-06,20,37,O3,,,
10513,325.31125,190084336,1434,325.3112041,4.59E-05,21,41,O2,1,0.017183493,
10527,326.1187,1235682,6.9,326.1186523,4.77E-05,22,16,O2N1,,,
10530,326.15506,3367272,23,326.1550378,2.22E-05,23,20,O1N1,,,
10532,326.17621,1220331,6.8,326.1761672,4.28E-05,20,24,O3N1,,,
10535,326.19149,9600365,70.1,326.1914234,6.66E-05,24,24,N1,,,
10538,326.21261,1436656,8.4,326.2125527,5.73E-05,21,28,O2N1,,,
10540,326.23354,2407219,15.7,326.2336821,0.000142094,18,32,O4N1,,,
10575,327.19625,1178372,6.4,327.1965683,0.000318309,21,27,O3,,,
10582,327.23297,4114954,28.6,327.2329538,1.62E-05,22,31,O2,7,0.000371989,
10583,327.25412,9415181,68.7,327.2540832,3.68E-05,19,35,O4,,,
10584,327.26947,1557519,9.3,327.2693393,0.000130673,23,35,O1,,,
10585,327.29056,2410003,15.8,327.2904687,9.13E-05,20,39,O3,,,
10611,328.13442,1433876,8.4,328.1343024,0.000117597,22,18,O2N1,,,
10616,328.17068,1835290,11.4,328.1706879,7.91E-06,23,22,O1N1,,,
10620,328.20709,10547871,77.3,328.2070734,1.66E-05,24,26,N1,,,
10622,328.22812,2636706,17.5,328.2282028,8.28E-05,21,30,O2N1,,,
10624,328.24937,3795110,26.2,328.2493322,3.78E-05,18,34,O4N1,,,
10642,329.15474,1372851,7.9,329.1547035,3.65E-05,23,21,O2,13,0.000124105,
10653,329.21224,1796924,11,329.2122184,2.16E-05,21,29,O3,,,
10658,329.24868,6715202,47.9,329.2486039,7.61E-05,22,33,O2,6,0.00060705,
10661,329.26977,7541573,54.1,329.2697333,3.67E-05,19,37,O4,,,
10662,329.28503,2546759,16.7,329.2849894,4.06E-05,23,37,O1,,,
10676,330.12876,1601485,9.6,330.1288231,6.31E-05,25,16,N1,,,
10677,330.15,1653457,10,330.1499525,4.75E-05,22,20,O2N1,,,
10680,330.1712,1365588,7.8,330.1710818,0.000118163,19,24,O4N1,,,
10682,330.18633,1791958,11,330.186338,7.98E-06,23,24,O1N1,,,
10687,330.22279,4365277,30.3,330.2227235,6.65E-05,24,28,N1,,,
10689,330.24398,1308640,7.4,330.2438529,0.000127146,21,32,O2N1,,,
10691,330.26496,2695907,17.8,330.2649822,2.22E-05,18,36,O4N1,,,
10715,331.14965,4346482,30.2,331.1492242,0.000425808,26,19,,,,
10720,331.17052,1560693,9.3,331.1703536,0.000166439,23,23,O2,12,0.000141086,
10730,331.22798,1318911,7.5,331.2278684,0.000111562,21,31,O3,,,
10734,331.26433,12436612,90.8,331.2642539,7.61E-05,22,35,O2,5,0.001124261,
10736,331.30073,7203979,51.6,331.3006395,9.05E-05,23,39,O1,,,
10756,332.10813,1166735,6.3,332.1080877,4.23E-05,24,14,O1N1,,,
10762,332.14451,2331925,15,332.1444732,3.68E-05,25,18,N1,,,
10764,332.16566,3005720,20.1,332.1656025,5.75E-05,22,22,O2N1,,,
10766,332.20215,1635742,9.8,332.201988,0.000161959,23,26,O1N1,,,
10771,332.23843,7070501,50.6,332.2383735,5.65E-05,24,30,N1,,,
10803,333.186,2052290,12.9,333.1860036,3.62E-06,23,25,O2,11,0.000185526,
10811,333.24356,2402508,15.6,333.2435185,4.15E-05,21,33,O3,,,
10814,333.28001,5796818,41,333.279904,0.000105989,22,37,O2,4,0.000524028,
10836,334.14486,1424612,8.2,334.1448671,7.09E-06,21,20,O3N1,,,
10839,334.16022,4739175,33.1,334.1601232,9.68E-05,25,20,N1,,,
10841,334.18128,2773611,18.4,334.1812526,2.74E-05,22,24,O2N1,,,
10848,334.21753,1779313,10.9,334.2176381,0.000108105,23,28,O1N1,,,
10855,334.25408,10973815,79.9,334.2540236,5.64E-05,24,32,N1,,,
10883,335.20163,3083802,20.5,335.2016537,2.37E-05,23,27,O2,10,0.000278774,
10892,335.25926,2899236,19.2,335.2591686,9.14E-05,21,35,O3,,,
10894,335.2956,9876266,71.1,335.2955541,4.59E-05,22,39,O2,3,0.000892808,
10913,336.13953,1632829,9.7,336.1393878,0.000142217,24,18,O1N1,,,
10917,336.17589,7195588,51.1,336.1757733,0.000116708,25,22,N1,,,
10919,336.19691,2196039,13.9,336.1969027,7.34E-06,22,26,O2N1,,,
10923,336.23332,1623757,9.7,336.2332882,3.18E-05,23,30,O1N1,,,
10929,336.32721,5421534,37.9,336.3271886,2.14E-05,22,42,O1N1,,,
10964,337.21743,2022267,12.6,337.2173038,0.000126246,23,29,O2,9,0.000182812,
10967,337.23847,1671295,10,337.2384331,3.69E-05,20,33,O4,,,
10968,337.27484,2366597,15.2,337.2748186,2.14E-05,21,37,O3,,,
10971,337.31128,23835788,175,337.3112041,7.59E-05,22,41,O2,2,0.002154739,
10993,338.15505,4213795,28.9,338.1550378,1.22E-05,24,20,O1N1,,,
10998,338.1763,1207655,6.6,338.1761672,0.000132783,21,24,O3N1,,,
11000,338.19144,5427498,38,338.1914234,1.66E-05,25,24,N1,,,
11002,338.21266,2325549,14.9,338.2125527,0.000107275,22,28,O2N1,,,
11005,338.23375,1460017,8.4,338.2336821,6.79E-05,19,32,O4N1,,,
11008,338.24909,1549876,9.1,338.2489382,0.000151766,23,32,O1N1,,,
11031,339.19679,1279328,7.1,339.1965683,0.000221691,22,27,O3,,,
11041,339.23285,3234438,21.6,339.2329538,0.000103818,23,31,O2,8,0.000292391,
11045,339.25411,3388906,22.8,339.2540832,2.68E-05,20,35,O4,,,
11046,339.29048,4754417,33,339.2904687,1.13E-05,21,39,O3,,,
11047,339.32689,152272368,1131.2,339.3268542,3.58E-05,22,43,O2,1,0.013765318,
11061,340.13439,1395083,7.9,340.1343024,8.76E-05,23,18,O2N1,,,
11065,340.17076,1714962,10.3,340.1706879,7.21E-05,24,22,O1N1,,,
11070,340.20708,8112793,58,340.2070734,6.58E-06,25,26,N1,,,
11073,340.22828,2486173,16.1,340.2282028,7.72E-05,22,30,O2N1,,,
11075,340.24936,2038817,12.7,340.2493322,2.78E-05,19,34,O4N1,,,
11077,340.26462,1640739,9.8,340.2645883,3.17E-05,23,34,O1N1,,,
11078,340.2857,1394599,7.9,340.2857177,1.77E-05,20,38,O3N1,,,
11107,341.2118,1159251,6.2,341.2122184,0.000418374,22,29,O3,,,
11114,341.24857,4001114,27.3,341.2486039,3.39E-05,23,33,O2,7,0.000361698,
11116,341.2698,4842334,33.6,341.2697333,6.67E-05,20,37,O4,,,
11118,341.28449,1251297,6.9,341.2849894,0.000499391,24,37,O1,,,
11120,341.30615,1675237,10,341.3061188,3.12E-05,21,41,O3,,,
11145,342.14975,1219075,6.6,342.1499525,0.000202468,23,20,O2N1,,,
11149,342.18645,1828874,11.1,342.186338,0.000112023,24,24,O1N1,,,
11152,342.20756,1856270,11.3,342.2074673,9.27E-05,21,28,O3N1,,,
11154,342.22275,10227729,73.1,342.2227235,2.65E-05,25,28,N1,,,
11158,342.244,3559445,23.9,342.2438529,0.000147146,22,32,O2N1,,,
11178,343.17048,1342725,7.5,343.1703536,0.000126439,24,23,O2,13,0.000121381,
11189,343.22798,1715152,10.2,343.2278684,0.000111562,22,31,O3,,,
11196,343.26427,6514903,45.7,343.2642539,1.61E-05,23,35,O2,6,0.000588943,
11198,343.28537,2864603,18.7,343.2853833,1.33E-05,20,39,O4,,,
11199,343.3006,2418910,15.4,343.3006395,3.95E-05,24,39,O1,,,
11210,344.14453,2650496,17.2,344.1444732,5.68E-05,26,18,N1,,,
11211,344.16566,1760132,10.6,344.1656025,5.75E-05,23,22,O2N1,,,
11214,344.18689,1307400,7.2,344.1867319,0.000158099,20,26,O4N1,,,
11218,344.20171,1796299,10.8,344.201988,0.000278041,24,26,O1N1,,,
11222,344.2232,1312527,7.3,344.2231174,8.26E-05,21,30,O3N1,,,
11225,344.23837,4437906,30.4,344.2383735,3.55E-06,25,30,N1,,,
11227,344.25957,1408150,8,344.2595029,6.71E-05,22,34,O2N1,,,
11257,345.186,1240906,6.7,345.1860036,3.62E-06,24,25,O2,12,0.000112177,
11263,345.22236,1250257,6.8,345.2223891,2.91E-05,25,29,O1,,,
11265,345.24347,2733397,17.8,345.2435185,4.85E-05,22,33,O3,,,
11270,345.27992,10597980,75.9,345.279904,1.60E-05,23,37,O2,5,0.00095805,
11271,345.31635,6060643,42.3,345.3162895,6.05E-05,24,41,O1,,,
11294,346.12372,2064641,12.8,346.1237377,1.77E-05,25,16,O1N1,,,
11298,346.16022,2807816,18.3,346.1601232,9.68E-05,26,20,N1,,,
11299,346.18127,2979597,19.6,346.1812526,1.74E-05,23,24,O2N1,,,
11306,346.21768,1826708,11.1,346.2176381,4.19E-05,24,28,O1N1,,,
11309,346.25404,6318875,44.2,346.2540236,1.64E-05,25,32,N1,,,
11336,347.18091,2552530,16.4,347.1805243,0.000385679,27,23,,,,
11339,347.20184,1230422,6.7,347.2016537,0.000186311,24,27,O2,11,0.000111229,
11350,347.25922,2550754,16.4,347.2591686,5.14E-05,22,35,O3,,,
11354,347.29564,4440553,30.4,347.2955541,8.59E-05,23,39,O2,4,0.000401423,
11382,348.13941,1572753,9.2,348.1393878,2.22E-05,25,18,O1N1,,,
11384,348.16066,1141910,6,348.1605172,0.000142848,22,22,O3N1,,,
11387,348.17586,5111961,35.3,348.1757733,8.67E-05,26,22,N1,,,
11390,348.19693,3225501,21.4,348.1969027,2.73E-05,23,26,O2N1,,,
11397,348.23349,1460004,8.4,348.2332882,0.00020183,24,30,O1N1,,,
11402,348.26964,10499243,74.5,348.2696737,3.37E-05,25,34,N1,,,
11429,349.19654,6568294,45.7,349.1961744,0.000365615,27,25,,,,
11435,349.21722,2428011,15.4,349.2173038,8.38E-05,24,29,O2,10,0.000219491,
11440,349.27483,2284918,14.3,349.2748186,1.14E-05,22,37,O3,,,
11443,349.31131,8669565,61.1,349.3112041,0.00010586,23,41,O2,3,0.000783723,
11460,350.15493,1223337,6.6,350.1550378,0.000107848,25,20,O1N1,,,
11465,350.19142,5039153,34.5,350.1914234,3.36E-06,26,24,N1,,,
11468,350.2126,3395637,22.5,350.2125527,4.73E-05,23,28,O2N1,,,
11471,350.23393,1249593,6.7,350.2336821,0.000247906,20,32,O4N1,,,
11473,350.24912,1524540,8.8,350.2489382,0.000181766,24,32,O1N1,,,
11504,351.21221,11641601,82.9,351.2118244,0.000385551,27,27,,,,
11507,351.2331,1972998,12,351.2329538,0.000146182,24,31,O2,9,0.000178358,
11511,351.25416,1590282,9.2,351.2540832,7.68E-05,21,35,O4,,,
11514,351.29051,1653266,9.7,351.2904687,4.13E-05,22,39,O3,,,
11515,351.32682,16871192,121.2,351.3268542,3.42E-05,23,43,O2,2,0.001525144,
11531,352.17078,4571080,31.1,352.1706879,9.21E-05,25,22,O1N1,,,
11534,352.19188,1263948,6.8,352.1918173,6.27E-05,22,26,O3N1,,,
11537,352.20706,4981199,34.1,352.2070734,1.34E-05,26,26,N1,,,
11540,352.22816,3129811,20.5,352.2282028,4.28E-05,23,30,O2N1,,,
11543,352.26481,1389403,7.8,352.2645883,0.000221701,24,34,O1N1,,,
11574,353.21209,1455520,8.2,353.2122184,0.000128374,23,29,O3,,,
11577,353.22791,7361700,51.5,353.2274745,0.000435486,27,29,,,,
11582,353.24865,3094696,20.3,353.2486039,4.61E-05,24,33,O2,8,0.000279758,
11585,353.26935,1785388,10.7,353.2697333,0.000383251,21,37,O4,,,
11588,353.30616,3831988,25.7,353.3061188,4.12E-05,22,41,O3,,,
11590,353.34254,129960120,949.7,353.3425043,3.57E-05,23,45,O2,1,0.011748306,
11602,354.17113,1204457,6.4,354.1710818,4.82E-05,21,24,O4N1,,,
11605,354.18631,2023276,12.4,354.186338,2.80E-05,25,24,O1N1,,,
11608,354.22265,6223732,43.2,354.2227235,7.35E-05,26,28,N1,,,
11610,354.24383,2062712,12.7,354.2438529,2.29E-05,23,32,O2N1,,,
11613,354.26512,2430589,15.4,354.2649822,0.000137777,20,36,O4N1,,,
11614,354.28044,1964928,12,354.2802384,0.000201637,24,36,O1N1,,,
11648,355.22754,1349192,7.5,355.2278684,0.000328438,23,31,O3,,,
11654,355.26419,3483728,23.1,355.2642539,6.39E-05,24,35,O2,7,0.000314927,
11655,355.28536,3213908,21,355.2853833,2.33E-05,21,39,O4,,,
11656,355.30071,1162200,6,355.3006395,7.05E-05,25,39,O1,,,
11657,355.32194,2060636,12.6,355.3217688,0.000171175,22,43,O3,,,
11677,356.16561,2213392,13.7,356.1656025,7.47E-06,24,22,O2N1,,,
11683,356.20211,1440279,8.1,356.201988,0.000121959,25,26,O1N1,,,
11686,356.22308,1272092,6.8,356.2231174,3.74E-05,22,30,O3N1,,,
11687,356.23837,9148191,64.1,356.2383735,3.55E-06,26,30,N1,,,
11688,356.25955,3707172,24.5,356.2595029,4.71E-05,23,34,O2N1,,,
11716,357.20726,1313262,7.1,357.207133,0.000127006,22,29,O4,,,
11723,357.24375,1803254,10.7,357.2435185,0.000231498,23,33,O3,,,
11727,357.27999,6011390,41.3,357.279904,8.60E-05,24,37,O2,6,0.000543426,
11728,357.30108,3089411,20,357.3010334,4.66E-05,21,41,O4,,,
11729,357.31621,2560518,16.2,357.3162895,7.95E-05,25,41,O1,,,
11749,358.16012,2378940,14.9,358.1601232,3.23E-06,27,20,N1,,,
11751,358.18117,2349248,14.7,358.1812526,8.26E-05,24,24,O2N1,,,
11754,358.20248,1371845,7.6,358.202382,9.80E-05,21,28,O4N1,,,
11763,358.2541,3285456,21.5,358.2540236,7.64E-05,26,32,N1,,,
11794,359.25918,2179626,13.4,359.2591686,1.14E-05,23,35,O3,,,
11799,359.29558,10070450,70.8,359.2955541,2.59E-05,24,39,O2,5,0.000910362,
11800,359.33202,5736378,39.3,359.3319396,8.04E-05,25,43,O1,,,
11817,360.13936,2351978,14.7,360.1393878,2.78E-05,26,18,O1N1,,,
11822,360.17585,3001969,19.4,360.1757733,7.67E-05,27,22,N1,,,
11825,360.19688,2555766,16.2,360.1969027,2.27E-05,24,26,O2N1,,,
11834,360.26964,5580422,38.1,360.2696737,3.37E-05,26,34,N1,,,
11867,361.19655,1368145,7.5,361.1961744,0.000375615,28,25,,,,
11868,361.21702,2024726,12.3,361.2173038,0.000283754,25,29,O2,11,0.000183034,
11877,361.27497,2400354,15,361.2748186,0.000151369,23,37,O3,,,
11881,361.31125,6511466,44.9,361.3112041,4.59E-05,24,41,O2,4,0.000588632,
11893,362.1552,1334692,7.3,362.1550378,0.000162152,26,20,O1N1,,,
11899,362.19136,4807724,32.5,362.1914234,6.34E-05,27,24,N1,,,
11901,362.2123,2106385,12.9,362.2125527,0.000252725,24,28,O2N1,,,
11907,362.24893,1536057,8.7,362.2489382,8.23E-06,25,32,O1N1,,,
11912,362.28537,10722369,75.5,362.2853237,4.63E-05,26,36,N1,,,
11926,363.16062,9557251,66.4,363.1601828,0.000437199,23,23,O4,,,
11937,363.23266,1893907,11.2,363.2329538,0.000293818,25,31,O2,10,0.000171208,
11941,363.25402,1312791,7.1,363.2540832,6.32E-05,22,35,O4,,,
11946,363.29038,2522208,15.8,363.2904687,8.87E-05,23,39,O3,,,
11950,363.32688,7545128,52,363.3268542,2.58E-05,24,43,O2,3,0.000682074,
11965,364.17087,1799651,10.6,364.1706879,0.000182088,26,22,O1N1,,,
11970,364.20703,4426732,29.5,364.2070734,4.34E-05,27,26,N1,,,
11972,364.22804,3160560,20.4,364.2282028,0.00016279,24,30,O2N1,,,
11976,364.2648,1218040,6.4,364.2645883,0.000211701,25,34,O1N1,,,
12006,365.2121,1161228,6,365.2122184,0.000118374,24,29,O3,,,
12012,365.24843,2613972,16.4,365.2486039,0.000173883,25,33,O2,9,0.000236301,
12015,365.28516,1522524,8.6,365.2849894,0.000170609,26,37,O1,,,
12016,365.30627,1583329,9,365.3061188,0.00015124,23,41,O3,,,
12017,365.34258,20075242,142.2,365.3425043,7.57E-05,24,45,O2,2,0.001814788,
12039,366.18624,2674215,16.9,366.186338,9.80E-05,26,24,O1N1,,,
12043,366.20791,1286443,6.9,366.2074673,0.000442655,23,28,O3N1,,,
12046,366.2228,4428207,29.5,366.2227235,7.65E-05,27,28,N1,,,
12047,366.24396,3352499,21.8,366.2438529,0.000107146,24,32,O2N1,,,
12050,366.26506,1801400,10.6,366.2649822,7.78E-05,21,36,O4N1,,,
12051,366.28011,1374524,7.5,366.2802384,0.000128363,25,36,O1N1,,,
12073,367.22805,1475729,8.2,367.2278684,0.000181562,24,31,O3,,,
12077,367.24359,3993749,26.4,367.2431246,0.000465422,28,31,,,,
12080,367.26427,3775129,24.8,367.2642539,1.61E-05,25,35,O2,8,0.000341269,
12082,367.2854,1456926,8.1,367.2853833,1.67E-05,22,39,O4,,,
12083,367.30088,1179042,6.1,367.3006395,0.000240544,26,39,O1,,,
12084,367.32172,3618214,23.7,367.3217688,4.88E-05,23,43,O3,,,
12086,367.3582,130667696,938.8,367.3581543,4.57E-05,24,47,O2,1,0.01181227,
12098,368.20182,1692781,9.8,368.201988,0.000168041,26,26,O1N1,,,
12103,368.23838,5905270,40.1,368.2383735,6.45E-06,27,30,N1,,,
12105,368.25967,2023290,12.2,368.2595029,0.000167081,24,34,O2N1,,,
12107,368.28078,3893631,25.6,368.2806323,0.000147712,21,38,O4N1,,,
12108,368.29587,2157699,13.1,368.2958884,1.84E-05,25,38,O1N1,,,
12140,369.27983,3819106,25.1,369.279904,7.40E-05,25,37,O2,7,0.000345245,
12143,369.30097,4770407,32,369.3010334,6.34E-05,22,41,O4,,,
12144,369.31643,1401450,7.7,369.3162895,0.00014048,26,41,O1,,,
12145,369.33719,1177455,6.1,369.3374189,0.000228889,23,45,O3,,,
12158,370.1601,1717290,9.9,370.1601232,2.32E-05,28,20,N1,,,
12160,370.18109,2157359,13,370.1812526,0.000162597,25,24,O2N1,,,
12165,370.21754,1517111,8.4,370.2176381,9.81E-05,26,28,O1N1,,,
12169,370.2541,9350976,64.4,370.2540236,7.64E-05,27,32,N1,,,
12172,370.27512,4352325,28.7,370.275153,3.30E-05,24,36,O2N1,,,
12202,371.25904,1528869,8.5,371.2591686,0.000128567,24,35,O3,,,
12208,371.29563,5948462,40.1,371.2955541,7.59E-05,25,39,O2,6,0.000537737,
12210,371.31675,3310387,21.2,371.3166834,6.66E-05,22,43,O4,,,
12211,371.33207,2402102,14.8,371.3319396,0.000130416,26,43,O1,,,
12226,372.16024,1194228,6.1,372.1605172,0.000277152,24,22,O3N1,,,
12228,372.17578,2825975,17.8,372.1757733,6.71E-06,28,22,N1,,,
12229,372.19696,2045180,12.2,372.1969027,5.73E-05,25,26,O2N1,,,
12234,372.23338,1737605,10,372.2332882,9.18E-05,26,30,O1N1,,,
12237,372.25438,1381257,7.5,372.2544175,3.75E-05,23,34,O3N1,,,
12239,372.26977,3485453,22.5,372.2696737,9.63E-05,27,34,N1,,,
12262,373.21704,1195110,6.1,373.2173038,0.000263754,26,29,O2,12,0.000108037,
12268,373.27472,2761460,17.3,373.2748186,9.86E-05,24,37,O3,,,
12274,373.31128,9243132,63.6,373.3112041,7.59E-05,25,41,O2,5,0.000835573,
12276,373.34765,6963717,47.3,373.3475896,6.04E-05,26,45,O1,,,
12290,374.15497,2445246,15.1,374.1550378,6.78E-05,27,20,O1N1,,,
12293,374.1758,1279555,6.7,374.1761672,0.000367217,24,24,O3N1,,,
12296,374.24904,1541588,8.6,374.2489382,0.000101766,26,32,O1N1,,,
12299,374.28541,6099677,41.2,374.2853237,8.63E-05,27,36,N1,,,
12325,375.25417,1187132,6.1,375.2540832,8.68E-05,23,35,O4,,,
12331,375.29016,2794692,17.6,375.2904687,0.000308696,24,39,O3,,,
12336,375.32688,4686797,31.1,375.3268542,2.58E-05,25,43,O2,4,0.000423683,
12352,376.17085,1434000,7.8,376.1706879,0.000162088,27,22,O1N1,,,
12354,376.19183,1957269,11.6,376.1918173,1.27E-05,24,26,O3N1,,,
12356,376.20702,4228248,27.8,376.2070734,5.34E-05,28,26,N1,,,
12358,376.22825,14261405,99.4,376.2282028,4.72E-05,25,30,O2N1,,,
12364,376.26471,1455013,8,376.2645883,0.000121701,26,34,O1N1,,,
12369,376.30105,9908398,68.3,376.3009738,7.62E-05,27,38,N1,,,
12393,377.24853,2219401,13.5,377.2486039,7.39E-05,26,33,O2,10,0.000200632,
12397,377.26972,1288718,6.8,377.2697333,1.33E-05,23,37,O4,,,
