,m/z,I,S/N,em,error,C,H,Class,dbe,,11062030927
6184,236.14449,14129360,114.5,236.1444732,1.68E-05,17,18,N1,,,
6239,237.09213,1812697,12.4,237.0921032,2.68E-05,16,13,O2,10,0.000163867,
6242,237.12854,1101800,6.6,237.1284887,5.13E-05,17,17,O1,,,
6245,237.14962,1421553,9.2,237.1496181,1.88E-06,14,21,O3,,,
6249,237.18601,10295936,82.5,237.1860036,6.38E-06,15,25,O2,3,0.000930746,
6304,238.08737,2208245,15.7,238.0873522,1.78E-05,15,12,O2N1,,,
6373,239.10784,2028698,14.2,239.1077533,8.67E-05,16,15,O2,9,0.000183393,
6377,239.12889,2951971,21.8,239.1288827,7.33E-06,13,19,O4,,,
6380,239.16532,2871986,21.2,239.1652682,5.18E-05,14,23,O3,,,
6385,239.20168,34525632,282.5,239.2016537,2.63E-05,15,27,O2,2,0.003121093,
6444,240.13942,2530754,18.3,240.1393878,3.22E-05,16,18,O1N1,,,
6487,241.08698,1287301,8.1,241.0870179,3.79E-05,15,13,O3,,,
6491,241.12349,1458452,9.5,241.1234034,8.66E-05,16,17,O2,8,0.000131843,
6493,241.14458,1698781,11.5,241.1445327,4.73E-05,13,21,O4,,,
6497,241.18095,7319788,57.7,241.1809182,3.18E-05,14,25,O3,,,
6500,241.21731,168332544,1382.2,241.2173038,6.25E-06,15,29,O2,1,0.015217146,
6533,242.11869,2291561,16.3,242.1186523,3.77E-05,15,16,O2N1,,,
6536,242.15506,1608056,10.7,242.1550378,2.22E-05,16,20,O1N1,,,
6537,242.17617,10927232,87.4,242.1761672,2.78E-06,13,24,O3N1,,,
6594,243.10273,1124854,6.7,243.1026679,6.21E-05,15,15,O3,,,
6597,243.13905,2006149,13.9,243.1390534,3.43E-06,16,19,O2,7,0.000181354,
6599,243.16018,1386701,8.8,243.1601828,2.80E-06,13,23,O4,,,
6601,243.17543,1594900,10.6,243.1754389,8.94E-06,17,23,O1,,,
6603,243.19658,1615004,10.7,243.1965683,1.17E-05,14,27,O3,,,
6657,244.11317,31050124,252,244.113173,3.03E-06,18,14,N1,,,
6659,244.13431,2487060,17.9,244.1343024,7.60E-06,15,18,O2N1,,,
6726,245.11832,1669915,11.2,245.118318,2.01E-06,15,17,O3,,,
6734,245.15473,4681002,35.8,245.1547035,2.65E-05,16,21,O2,6,0.000423159,
6736,245.19104,1590712,10.5,245.191089,4.90E-05,17,25,O1,,,
6776,246.14996,1185074,7.2,246.1499525,7.53E-06,15,20,O2N1,,,
6826,247.13391,1420130,9.1,247.1339681,5.81E-05,15,19,O3,,,
6830,247.17039,5169472,39.7,247.1703536,3.64E-05,16,23,O2,5,0.000467317,
6832,247.20679,1975118,13.6,247.2067391,5.09E-05,17,27,O1,,,
6884,248.10795,1402602,8.9,248.1080877,0.000137655,17,14,O1N1,,,
6887,248.14446,4352185,33,248.1444732,1.32E-05,18,18,N1,,,
6938,249.09215,1470818,9.5,249.0921032,4.68E-05,17,13,O2,11,0.000132961,
6939,249.1132,1324714,8.3,249.1132326,3.26E-05,14,17,O4,,,
6942,249.14963,3055928,22.4,249.1496181,1.19E-05,15,21,O3,,,
6945,249.18604,3649222,27.3,249.1860036,3.64E-05,16,25,O2,4,0.000329887,
7008,250.12378,2050600,14.2,250.1237377,4.23E-05,17,16,O1N1,,,
7009,250.1449,5123248,39.2,250.1448671,3.29E-05,14,20,O3N1,,,
