,m/z,I,S/N,em,error,C,H,Class
189,247.11282000000003,15811299,122.7,247.1128386829,1.8682899963096133e-05,18,15,O1
191,247.13396,9573101,73.3,247.13396805169998,8.051699978750548e-06,15,19,O3
192,248.10804,2619552,18.3,248.1080876547,4.765470001188987e-05,17,14,O1N1
194,248.14442999999997,10154160,77.9,248.1444731635,4.316350003819025e-05,18,18,N1
195,249.12845,3618403,26.2,249.1284887473,3.874730001030002e-05,18,17,O1
197,249.14962999999997,2854764,20.1,249.1496181161,1.1883899986742108e-05,15,21,O3
198,250.12375,2839190,19.9,250.1237377191,1.228089999472104e-05,17,16,O1N1
199,250.14482,4013599,29.1,250.1448670879,4.708789998630891e-05,14,20,O3N1
200,250.16009,27651110,215.2,250.16012322790002,3.322790001902831e-05,18,20,N1
201,251.07127999999997,2931247,20.6,251.0713677941,8.779410003967314e-05,16,11,O3
202,251.10775,6706623,50.3,251.1077533029,3.3028999837370066e-06,17,15,O2
204,251.14413,7121102,53.6,251.1441388117,8.811700013211521e-06,18,19,O1
207,251.16518,3040343,21.5,251.1652681805,8.818050000058975e-05,15,23,O3
208,251.20166,4938215,36.4,251.2016536893,6.310700001677105e-06,16,27,O2
210,252.10298999999998,3863910,28.0,252.1030022747,1.2274700026182472e-05,16,14,O2N1
213,253.08702000000002,8608003,65.3,253.08701785850002,2.141500004881891e-06,16,13,O3
214,253.12342999999998,4973842,36.7,253.1234033673,2.6632699984929786e-05,17,17,O2
215,253.14445,11802395,90.4,253.14453273610002,8.273610001197085e-05,14,21,O4
216,253.15968999999998,4655138,34.2,253.1597888761,9.887610002579095e-05,18,21,O1
217,253.21724,986827072,7765.8,253.2173037537,6.375370000455405e-05,16,29,O2
219,254.09747000000002,6687909,49.9,254.09752297030002,5.2970300004062665e-05,19,12,N1
220,254.11856,7291821,54.6,254.1186523391,9.233910000716605e-05,16,16,O2N1
222,254.24894,3253347,23.0,254.2489382343,1.7657000057624828e-06,16,32,O1N1
223,255.06617999999997,4611631,33.6,255.0662824141,0.000102414100012993,15,11,O4
224,255.10263999999998,19003452,146.3,255.10266792289997,2.7922899988652716e-05,16,15,O3
225,255.13905,4891724,35.8,255.1390534317,3.431700008604821e-06,17,19,O2
226,255.16008,2997588,21.0,255.16018280050002,0.00010280050003075303,14,23,O4
227,255.1966,4309347,31.3,255.1965683093,3.169069998421037e-05,15,27,O3
231,255.2328,5244242944,41061.0,255.23295381810001,0.00015381810001713347,16,31,O2
233,256.11311,31266256,242.4,256.11317303469997,6.303469996282729e-05,19,14,N1
236,257.08193,2952012,20.6,257.0819324785,2.4784999936855456e-06,15,13,O4
237,257.09716000000003,4613458,33.5,257.0971886185,2.8618499982258072e-05,19,13,O1
243,257.1758,4355185,31.5,257.1758328649,3.286489999254627e-05,14,25,O4
246,258.07712999999995,2757322,19.0,258.0771814503,5.145030002040585e-05,14,12,O4N1
247,258.09244,6909648,51.4,258.0924375903,2.4097000164147175e-06,18,12,O1N1
