,m/z,I,S/N,em,error,C,H,Class
2754,200.10797,1044823,6.5,200.1080876547,0.00011765470000568712,13,14,O1N1
2809,201.11328,1841389,13.3,201.1132326073,4.739269999731732e-05,10,17,O4
2810,201.12936000000002,1245681,8.2,201.1284887473,0.000871252700022751,14,17,O1
2873,202.08738,1813652,13.0,202.08735221030003,2.778969997052627e-05,12,12,O2N1
2933,203.07144,1016999,6.2,203.0713677941,7.220589998269134e-05,12,11,O3
2937,203.10776,9042385,74.8,203.1077533029,6.69710001943713e-06,13,15,O2
2939,203.14418999999998,1568220,10.9,203.1441388117,5.118829997741159e-05,14,19,O1
3052,205.08706,1689879,11.9,205.08701785850002,4.214149998915673e-05,12,13,O3
3054,205.12341999999998,7881762,64.7,205.1234033673,1.663269998175565e-05,13,17,O2
3158,207.0663,1197184,7.7,207.0662824141,1.7585900025096635e-05,11,11,O4
3159,207.08166,1355077,9.0,207.0815385541,0.00012144589999252275,15,11,O1
3162,207.10271,1279595,8.4,207.10266792289997,4.207710003356624e-05,12,15,O3
3165,207.13911000000002,1984791,14.4,207.1390534317,5.656830001044e-05,13,19,O2
3216,208.0768,2280007,16.9,208.07678752590002,1.2474099975179342e-05,14,10,O1N1
3218,208.1132,13036755,108.3,208.1131730347,2.696530000889652e-05,15,14,N1
3275,209.09718999999998,1601626,11.1,209.0971886185,1.3814999704209185e-06,15,13,O1
3282,209.15475,14109741,117.0,209.1547034961,4.6503899994831954e-05,13,21,O2
3338,210.05612000000002,1352672,9.0,210.0560520815,6.791850000809063e-05,13,8,O2N1
3392,211.07647000000003,2244322,16.5,211.0764531741,1.682590001905737e-05,14,11,O2
3398,211.13407999999998,1870871,13.3,211.13396805169998,0.00011194830000249567,12,19,O3
3400,211.17041,31082212,259.9,211.17035356050002,5.6439499985572184e-05,13,23,O2
3448,212.10822000000002,1208592,7.7,212.1080876547,0.00013234530001682288,14,14,O1N1
3497,213.09217,11189140,92.0,213.09210323850002,6.676149999407244e-05,14,13,O2
3498,213.11337000000003,1055676,6.4,213.1132326073,0.00013739270002588455,11,17,O4
3499,213.14969,2722409,20.5,213.1496181161,7.188390000578693e-05,12,21,O3
3502,213.18603,81283512,683.6,213.1860036249,2.6375099992037576e-05,13,25,O2
3554,214.08736000000002,1344642,8.8,214.08735221030003,7.789699992599708e-06,13,12,O2N1
3560,214.1238,2117520,15.3,214.1237377191,6.228089998217001e-05,14,16,O1N1
3561,214.14477999999997,1188951,7.5,214.1448670879,8.708790002742717e-05,11,20,O3N1
3616,215.10782999999998,3077248,23.4,215.1077533029,7.669709998481267e-05,14,15,O2
3618,215.12868999999998,1194888,7.6,215.1288826717,0.00019267170003445244,11,19,O4
3620,215.14412000000002,1004782,6.0,215.1441388117,1.8811699987963948e-05,15,19,O1
3674,216.08195,7094770,57.2,216.0818729059,7.70940999927916e-05,16,10,N1
3676,216.10307999999998,2577914,19.2,216.1030022747,7.772529997396305e-05,13,14,O2N1
3719,217.08711,2366774,17.4,217.08701785850002,9.21414999766057e-05,13,13,O3
3721,217.12344,12136324,99.3,217.1234033673,3.663269998810392e-05,14,17,O2
3724,217.15979,1713938,11.9,217.1597888761,1.1238999775287084e-06,15,21,O1
3726,217.18125,1049979,6.3,217.1809182449,0.00033175510000660324,12,25,O3
3772,218.1187,1273482,8.2,218.1186523391,4.766089998042844e-05,13,16,O2N1
3821,219.06642000000002,1088161,6.6,219.0662824141,0.00013758590003476456,12,11,O4
3826,219.10279,2917648,21.9,219.10266792289997,0.00012207710003053762,13,15,O3
3829,219.13913,14464158,118.4,219.1390534317,7.656829998836656e-05,14,19,O2
3831,219.15975,1050118,6.3,219.16018280050002,0.0004328005000218127,11,23,O4
3834,219.17548,5925805,47.0,219.17543894050002,4.105949997779135e-05,15,23,O1
3878,220.0981,1057663,6.3,220.09791689469998,0.0001831053000103111,12,14,O3N1
3879,220.11324,1188773,7.4,220.1131730347,6.696529999317136e-05,16,14,N1
3932,221.06087000000002,4121509,31.9,221.0608031097,6.689030001894025e-05,15,9,O2
3935,221.08201,1399534,9.2,221.0819324785,7.752150000328584e-05,12,13,O4
3936,221.0972,2006132,14.3,221.0971886185,1.1381499973595055e-05,16,13,O1
3938,221.11838999999998,1118877,6.9,221.11831798729997,7.201270000223303e-05,13,17,O3
3942,221.15479,6462924,51.5,221.1547034961,8.650389997910679e-05,14,21,O2
3988,222.09252,5602124,44.2,222.09243759030002,8.240969998496439e-05,15,12,O1N1
3989,222.12892000000002,19434330,159.3,222.1288230991,9.690090001868157e-05,16,16,N1
4046,223.0765,3985891,30.7,223.0764531741,4.682590000015807e-05,15,11,O2
4049,223.11298,1614834,11.0,223.1128386829,0.00014131710000242492,16,15,O1
4052,223.13405,1071930,6.4,223.13396805169998,8.194830002139497e-05,13,19,O3
4055,223.1704,33368330,275.3,223.17035356050002,4.643949998239805e-05,14,23,O2
4093,224.07177000000001,2850690,21.2,224.07170214590002,6.785409999565672e-05,14,10,O2N1
4144,225.05577000000002,2447775,17.8,225.0557177297,5.227030001719868e-05,14,9,O3
4151,225.09212999999997,6072879,47.9,225.09210323850002,2.6761499952954182e-05,15,13,O2
4154,225.12854,1124062,6.8,225.1284887473,5.1252699989845496e-05,16,17,O1
4156,225.14972999999998,2138951,15.3,225.1496181161,0.00011188389999006176,13,21,O3
4160,225.18608999999998,81253464,671.6,225.1860036249,8.637509998266069e-05,14,25,O2
4204,226.08747999999997,1311956,8.4,226.08735221030003,0.00012778969994542422,14,12,O2N1
4206,226.12382000000002,1589411,10.7,226.1237377191,8.228090001694e-05,15,16,O1N1
4251,227.07137000000003,1298167,8.3,227.0713677941,2.2059000173157983e-06,14,11,O3
4252,227.10778,9022855,72.4,227.1077533029,2.6697099997363694e-05,15,15,O2
4255,227.12901000000002,1783312,12.3,227.1288826717,0.0001273283000102765,12,19,O4
4259,227.16535,3338528,25.2,227.1652681805,8.181949999652716e-05,13,23,O3
4262,227.20171000000002,271407008,2249.1,227.2016536893,5.631070001754779e-05,14,27,O2
4310,228.10287999999997,1792689,12.3,228.1030022747,0.00012227470003267626,14,14,O2N1
4312,228.13924,1313857,8.4,228.1393877835,0.00014778350001165563,15,18,O1N1
4314,228.16051000000002,1225098,7.6,228.1605171523,7.152299986046273e-06,12,22,O3N1
4359,229.08702999999997,1061593,6.3,229.08701785850002,1.2141499951212609e-05,14,13,O3
4363,229.1235,6034665,47.4,229.1234033673,9.663270000714874e-05,15,17,O2
4364,229.14456,1497138,9.9,229.14453273610002,2.7263899994522944e-05,12,21,O4
4365,229.15987,2173433,15.5,229.1597888761,8.11239000029218e-05,16,21,O1
4410,230.09762999999998,37645456,308.7,230.09752297030002,0.00010702969996145839,17,12,N1
4412,230.11867,2288599,16.4,230.1186523391,1.766089999932774e-05,14,16,O2N1
4462,231.10272,2392835,17.2,231.10266792289997,5.2077100036740376e-05,14,15,O3
4466,231.13912000000002,13330514,107.3,231.1390534317,6.656830001361413e-05,15,19,O2
4467,231.16017000000002,1080923,6.4,231.16018280050002,1.28005000021858e-05,12,23,O4
4468,231.17547000000002,2616674,19.1,231.17543894050002,3.105950000303892e-05,16,23,O1
4511,232.13437000000002,1326660,8.4,232.13430240350002,6.759650000276451e-05,14,18,O2N1
4555,233.08196,1791201,12.2,233.0819324785,2.7521500015836864e-05,13,13,O4
4558,233.11843,3495601,26.3,233.11831798729997,0.00011201270001492958,14,17,O3
4561,233.15481,27686336,225.5,233.1547034961,0.00010650389998545506,15,21,O2
4564,233.19117999999997,2451409,17.7,233.1910890049,9.099509998122812e-05,16,25,O1
4609,234.09251,1347482,8.6,234.09243759030002,7.240969998179025e-05,16,12,O1N1
4614,234.12887999999998,2168170,15.3,234.1288230991,5.690089997756331e-05,17,16,N1
4662,235.07656,10550537,84.0,235.0764531741,0.00010682589999078118,16,11,O2
4666,235.11297000000002,1586584,10.5,235.1128386829,0.0001313171000276725,17,15,O1
4667,235.13398999999998,2461346,17.7,235.13396805169998,2.1948300002350152e-05,14,19,O3
4670,235.17036000000002,12013874,96.0,235.17035356050002,6.43949999812321e-06,15,23,O2
4721,236.10813,8821452,69.9,236.1080876547,4.234529998825565e-05,16,14,O1N1
4723,236.14456,18708188,151.0,236.1444731635,8.683650000307352e-05,17,18,N1
4772,237.05577999999997,1338154,8.4,237.0557177297,6.22702999635294e-05,15,9,O3
4773,237.0922,5773690,44.7,237.09210323850002,9.676149997517314e-05,16,13,O2
4778,237.1286,2015114,14.0,237.1284887473,0.00011125270000889032,17,17,O1
4784,237.18603,54196388,440.3,237.1860036249,2.6375099992037576e-05,15,25,O2
4817,238.08746000000002,3755308,28.2,238.08735221030003,0.00010778969999591936,15,12,O2N1
4866,239.07147,4905689,37.6,239.0713677941,0.00010220589999221374,15,11,O3
4871,239.10785,9847272,78.0,239.1077533029,9.669710001958265e-05,16,15,O2
4873,239.12892999999997,3395058,25.2,239.1288826717,4.7328299956461706e-05,13,19,O4
4875,239.14427,1557496,10.2,239.1441388117,0.00013118830000280468,17,19,O1
4876,239.16532999999998,3296002,24.4,239.1652681805,6.181949999017888e-05,14,23,O3
4878,239.20172999999997,92896272,756.5,239.2016536893,7.631069996705264e-05,15,27,O2
4925,240.10303,1508377,9.8,240.1030022747,2.7725299986514074e-05,15,14,O2N1
4929,240.13943999999998,1322793,8.3,240.1393877835,5.221649996656197e-05,16,18,O1N1
4966,241.08707,2000195,13.8,241.08701785850002,5.2141499992330864e-05,15,13,O3
4969,241.12339,9149523,72.0,241.1234033673,1.336729999934505e-05,16,17,O2
4970,241.14469,2063836,14.3,241.14453273610002,0.0001572638999789433,13,21,O4
4973,241.18098999999998,6672236,51.8,241.1809182449,7.175509998091911e-05,14,25,O3
4975,241.21732000000003,263679872,2143.1,241.2173037537,1.6246300020839044e-05,15,29,O2
5004,242.11872999999997,2520192,18.0,242.1186523391,7.766089996152914e-05,15,16,O2N1
5006,242.15515,1963152,13.5,242.15503784790002,0.00011215209997317288,16,20,O1N1
5007,242.17621,2857881,20.8,242.1761672167,4.278329998896879e-05,13,24,O3N1
5051,243.10281,1294887,8.0,243.10266792289997,0.0001420771000368859,15,15,O3
5054,243.13915,9410230,73.8,243.1390534317,9.656829999471483e-05,16,19,O2
5056,243.16026000000002,1623615,10.7,243.16018280050002,7.719949999795972e-05,13,23,O4
5057,243.17545,2343366,16.5,243.17543894050002,1.1059499996690647e-05,17,23,O1
5059,243.19662999999997,2110671,14.6,243.1965683093,6.169069996531107e-05,14,27,O3
5094,244.11325,73983064,597.0,244.1131730347,7.696529999634549e-05,18,14,N1
5097,244.13441,2091295,14.4,244.13430240350002,0.00010759649998703935,15,18,O2N1
5142,245.09724,1319992,8.2,245.0971886185,5.13814999862916e-05,18,13,O1
5145,245.11842000000001,3849985,28.7,245.11831798729997,0.00010201270004017715,15,17,O3
